Percentage served,Time in ms
0,1395.257
1,1452.760
2,1452.760
3,1457.510
4,1457.510
5,1542.104
6,1542.104
7,1587.006
8,1587.006
9,1603.001
10,1603.001
11,1604.205
12,1604.205
13,1649.219
14,1649.219
15,1650.923
16,1650.923
17,1654.575
18,1654.575
19,1664.224
20,1664.224
21,1706.830
22,1706.830
23,1729.394
24,1729.394
25,1741.560
26,1741.560
27,1777.523
28,1777.523
29,1828.942
30,1828.942
31,1830.380
32,1830.380
33,1852.383
34,1852.383
35,1858.207
36,1858.207
37,1872.962
38,1872.962
39,1956.671
40,1956.671
41,1971.141
42,1971.141
43,1973.362
44,1973.362
45,1973.898
46,1973.898
47,1975.215
48,1975.215
49,1994.709
50,1994.709
51,2000.128
52,2000.128
53,2003.842
54,2003.842
55,2179.081
56,2179.081
57,2222.213
58,2222.213
59,2268.209
60,2268.209
61,2293.199
62,2293.199
63,2309.114
64,2309.114
65,2358.327
66,2358.327
67,2414.855
68,2414.855
69,2422.474
70,2422.474
71,2500.434
72,2500.434
73,2671.639
74,2671.639
75,2732.561
76,2732.561
77,2760.791
78,2760.791
79,2764.929
80,2764.929
81,2857.441
82,2857.441
83,2966.998
84,2966.998
85,3080.137
86,3080.137
87,3610.387
88,3610.387
89,3790.373
90,3790.373
91,3958.867
92,3958.867
93,4020.794
94,4020.794
95,4132.369
96,4132.369
97,4330.765
98,4330.765
99,1.281
100,4330.765
