starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 20 01:43:59 2016	1461116639	0	1489	1490	1484
Wed Apr 20 01:45:00 2016	1461116700	0	2114	2114	2106
Wed Apr 20 01:47:14 2016	1461116834	0	10673	10674	10665
Wed Apr 20 01:47:27 2016	1461116847	0	10973	10973	10965
Wed Apr 20 01:47:25 2016	1461116845	0	12694	12695	12688
Wed Apr 20 01:47:25 2016	1461116845	0	12916	12916	12906
Wed Apr 20 01:45:02 2016	1461116702	1	13273	13274	13258
Wed Apr 20 01:45:02 2016	1461116702	0	16815	16815	16801
Wed Apr 20 01:45:57 2016	1461116757	0	18042	18042	18032
Wed Apr 20 01:46:16 2016	1461116776	0	18150	18150	18145
Wed Apr 20 01:45:39 2016	1461116739	0	18804	18805	18796
Wed Apr 20 01:44:00 2016	1461116640	0	18856	18857	18849
Wed Apr 20 01:45:42 2016	1461116742	0	18891	18891	18882
Wed Apr 20 01:45:23 2016	1461116723	0	19022	19022	19011
Wed Apr 20 01:46:15 2016	1461116775	0	19147	19148	19136
Wed Apr 20 01:45:58 2016	1461116758	0	19167	19167	19157
Wed Apr 20 01:46:35 2016	1461116795	0	19273	19273	19262
Wed Apr 20 01:45:15 2016	1461116715	0	19424	19424	19417
Wed Apr 20 01:46:34 2016	1461116794	0	19617	19617	19610
Wed Apr 20 01:45:19 2016	1461116719	0	19694	19694	19685
Wed Apr 20 01:44:56 2016	1461116696	0	19738	19738	19730
Wed Apr 20 01:44:20 2016	1461116660	0	20025	20025	20019
Wed Apr 20 01:45:38 2016	1461116738	0	20080	20080	20074
Wed Apr 20 01:44:40 2016	1461116680	0	20143	20143	20133
Wed Apr 20 01:45:03 2016	1461116703	0	20191	20191	20180
Wed Apr 20 01:45:35 2016	1461116735	0	20461	20461	20455
Wed Apr 20 01:46:01 2016	1461116761	0	20464	20464	20452
Wed Apr 20 01:46:54 2016	1461116814	0	20514	20514	20503
Wed Apr 20 01:44:19 2016	1461116659	1	20535	20536	20519
Wed Apr 20 01:44:43 2016	1461116683	0	20656	20656	20646
Wed Apr 20 01:45:55 2016	1461116755	0	20657	20657	20650
Wed Apr 20 01:46:54 2016	1461116814	0	20785	20785	20778
Wed Apr 20 01:47:07 2016	1461116827	0	20956	20956	20948
Wed Apr 20 01:43:59 2016	1461116639	0	20956	20957	20944
Wed Apr 20 01:44:21 2016	1461116661	0	21122	21122	21113
Wed Apr 20 01:43:37 2016	1461116617	15	21235	21250	21212
Wed Apr 20 01:44:00 2016	1461116640	1	21374	21375	21359
Wed Apr 20 01:43:37 2016	1461116617	38	21489	21528	21466
Wed Apr 20 01:46:22 2016	1461116782	0	21790	21791	21784
Wed Apr 20 01:43:37 2016	1461116617	1	21913	21914	21898
Wed Apr 20 01:46:40 2016	1461116800	0	22408	22408	22403
Wed Apr 20 01:45:15 2016	1461116715	0	22443	22444	22433
Wed Apr 20 01:44:39 2016	1461116679	0	22649	22650	22645
Wed Apr 20 01:43:37 2016	1461116617	62	22646	22708	22625
Wed Apr 20 01:46:17 2016	1461116777	0	22725	22725	22716
Wed Apr 20 01:47:02 2016	1461116822	0	22832	22832	22824
Wed Apr 20 01:46:44 2016	1461116804	0	22929	22929	22924
Wed Apr 20 01:47:14 2016	1461116834	0	23303	23303	23297
Wed Apr 20 01:43:59 2016	1461116639	0	25961	25962	25951
Wed Apr 20 01:44:25 2016	1461116665	0	30366	30366	30356
