Percentage served,Time in ms
0,1468.206
1,1656.174
2,1656.174
3,1713.976
4,1713.976
5,2235.438
6,2235.438
7,2409.204
8,2409.204
9,3055.343
10,3055.343
11,4094.727
12,4094.727
13,4185.473
14,4185.473
15,4208.273
16,4208.273
17,4294.393
18,4294.393
19,4373.679
20,4373.679
21,4484.190
22,4484.190
23,4523.085
24,4523.085
25,4535.061
26,4535.061
27,4556.049
28,4556.049
29,4592.421
30,4592.421
31,4677.255
32,4677.255
33,4706.885
34,4706.885
35,4816.337
36,4816.337
37,4876.066
38,4876.066
39,4881.666
40,4881.666
41,4882.570
42,4882.570
43,5149.871
44,5149.871
45,5157.558
46,5157.558
47,5165.314
48,5165.314
49,5185.719
50,5185.719
51,5190.050
52,5190.050
53,5235.372
54,5235.372
55,5247.366
56,5247.366
57,5306.751
58,5306.751
59,5346.906
60,5346.906
61,5540.436
62,5540.436
63,5575.692
64,5575.692
65,5816.023
66,5816.023
67,5847.879
68,5847.879
69,5859.682
70,5859.682
71,5994.350
72,5994.350
73,6061.058
74,6061.058
75,6356.374
76,6356.374
77,6385.790
78,6385.790
79,6624.395
80,6624.395
81,6684.476
82,6684.476
83,7275.947
84,7275.947
85,7282.669
86,7282.669
87,7295.755
88,7295.755
89,7489.659
90,7489.659
91,7790.212
92,7790.212
93,8558.015
94,8558.015
95,8739.482
96,8739.482
97,9484.933
98,9484.933
99,1.281
100,9484.933
