starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 20 02:08:01 2016	1461118081	0	1468	1468	1460
Wed Apr 20 02:07:52 2016	1461118072	0	1656	1656	1643
Wed Apr 20 02:08:02 2016	1461118082	0	1714	1714	1705
Wed Apr 20 02:07:37 2016	1461118057	0	2235	2235	2222
Wed Apr 20 02:07:24 2016	1461118044	0	2409	2409	2401
Wed Apr 20 02:07:53 2016	1461118073	0	3055	3055	3045
Wed Apr 20 02:07:26 2016	1461118046	0	4094	4095	4079
Wed Apr 20 02:07:30 2016	1461118050	0	4185	4185	4176
Wed Apr 20 02:08:07 2016	1461118087	1	4207	4208	4194
Wed Apr 20 02:08:18 2016	1461118098	1	4294	4294	4286
Wed Apr 20 02:08:18 2016	1461118098	0	4373	4374	4363
Wed Apr 20 02:07:35 2016	1461118055	0	4484	4484	4474
Wed Apr 20 02:08:13 2016	1461118093	0	4523	4523	4514
Wed Apr 20 02:08:14 2016	1461118094	0	4535	4535	4527
Wed Apr 20 02:08:04 2016	1461118084	0	4556	4556	4546
Wed Apr 20 02:07:57 2016	1461118077	0	4592	4592	4569
Wed Apr 20 02:07:26 2016	1461118046	0	4677	4677	4669
Wed Apr 20 02:08:09 2016	1461118089	0	4707	4707	4698
Wed Apr 20 02:08:18 2016	1461118098	0	4816	4816	4806
Wed Apr 20 02:07:30 2016	1461118050	0	4876	4876	4864
Wed Apr 20 02:07:47 2016	1461118067	0	4881	4882	4861
Wed Apr 20 02:08:03 2016	1461118083	0	4882	4883	4875
Wed Apr 20 02:07:39 2016	1461118059	0	5150	5150	5142
Wed Apr 20 02:08:13 2016	1461118093	0	5157	5158	5151
Wed Apr 20 02:07:45 2016	1461118065	0	5165	5165	5157
Wed Apr 20 02:07:52 2016	1461118072	0	5185	5186	5178
Wed Apr 20 02:08:19 2016	1461118099	0	5190	5190	5184
Wed Apr 20 02:07:42 2016	1461118062	0	5235	5235	5227
Wed Apr 20 02:07:34 2016	1461118054	0	5247	5247	5238
Wed Apr 20 02:07:24 2016	1461118044	0	5306	5307	5295
Wed Apr 20 02:07:25 2016	1461118045	0	5347	5347	5337
Wed Apr 20 02:08:09 2016	1461118089	0	5540	5540	5533
Wed Apr 20 02:07:47 2016	1461118067	0	5575	5576	5568
Wed Apr 20 02:07:48 2016	1461118068	1	5815	5816	5799
Wed Apr 20 02:07:31 2016	1461118051	0	5847	5848	5837
Wed Apr 20 02:07:36 2016	1461118056	0	5859	5860	5848
Wed Apr 20 02:08:03 2016	1461118083	1	5993	5994	5965
Wed Apr 20 02:07:56 2016	1461118076	0	6061	6061	6055
Wed Apr 20 02:08:12 2016	1461118092	0	6356	6356	6347
Wed Apr 20 02:07:17 2016	1461118037	16	6370	6386	6362
Wed Apr 20 02:07:50 2016	1461118070	0	6624	6624	6614
Wed Apr 20 02:07:57 2016	1461118077	0	6684	6684	6679
Wed Apr 20 02:07:39 2016	1461118059	0	7276	7276	7268
Wed Apr 20 02:07:40 2016	1461118060	0	7282	7283	7272
Wed Apr 20 02:07:17 2016	1461118037	62	7234	7296	7201
Wed Apr 20 02:07:30 2016	1461118050	0	7489	7490	7477
Wed Apr 20 02:07:17 2016	1461118037	24	7766	7790	7728
Wed Apr 20 02:08:04 2016	1461118084	0	8558	8558	8550
Wed Apr 20 02:07:17 2016	1461118037	1	8738	8739	8723
Wed Apr 20 02:07:53 2016	1461118073	0	9485	9485	9477
