Percentage served,Time in ms
0,2562.520
1,5498.491
2,5498.491
3,6315.693
4,6315.693
5,7669.266
6,7669.266
7,10752.751
8,10752.751
9,12934.216
10,12934.216
11,13469.783
12,13469.783
13,13900.699
14,13900.699
15,13962.984
16,13962.984
17,13987.780
18,13987.780
19,14999.368
20,14999.368
21,15344.382
22,15344.382
23,15907.860
24,15907.860
25,17062.569
26,17062.569
27,17286.931
28,17286.931
29,17310.181
30,17310.181
31,17363.418
32,17363.418
33,17507.439
34,17507.439
35,17663.002
36,17663.002
37,17964.022
38,17964.022
39,18038.577
40,18038.577
41,18156.556
42,18156.556
43,18255.222
44,18255.222
45,18537.239
46,18537.239
47,18648.494
48,18648.494
49,18734.916
50,18734.916
51,18798.414
52,18798.414
53,18965.885
54,18965.885
55,19010.809
56,19010.809
57,19842.111
58,19842.111
59,20135.460
60,20135.460
61,20377.814
62,20377.814
63,20427.956
64,20427.956
65,20775.823
66,20775.823
67,21000.912
68,21000.912
69,21016.263
70,21016.263
71,21100.691
72,21100.691
73,21311.066
74,21311.066
75,21692.588
76,21692.588
77,21898.808
78,21898.808
79,21950.407
80,21950.407
81,22381.981
82,22381.981
83,22678.335
84,22678.335
85,23853.953
86,23853.953
87,26337.938
88,26337.938
89,31065.366
90,31065.366
91,35884.828
92,35884.828
93,40969.087
94,40969.087
95,43842.036
96,43842.036
97,49065.189
98,49065.189
99,1.281
100,49065.189
