Percentage served,Time in ms
0,1644.354
1,1942.975
2,1942.975
3,1957.202
4,1957.202
5,2997.639
6,2997.639
7,3181.812
8,3181.812
9,3988.626
10,3988.626
11,4061.007
12,4061.007
13,4121.769
14,4121.769
15,4162.107
16,4162.107
17,4289.016
18,4289.016
19,4579.866
20,4579.866
21,4582.634
22,4582.634
23,4660.957
24,4660.957
25,4688.018
26,4688.018
27,4742.793
28,4742.793
29,4775.098
30,4775.098
31,4833.616
32,4833.616
33,4868.747
34,4868.747
35,4947.137
36,4947.137
37,4947.920
38,4947.920
39,4969.069
40,4969.069
41,4973.244
42,4973.244
43,4982.769
44,4982.769
45,5016.387
46,5016.387
47,5186.515
48,5186.515
49,5198.883
50,5198.883
51,5288.279
52,5288.279
53,5445.910
54,5445.910
55,5494.844
56,5494.844
57,5546.931
58,5546.931
59,5705.496
60,5705.496
61,5846.890
62,5846.890
63,5942.385
64,5942.385
65,6026.208
66,6026.208
67,6039.845
68,6039.845
69,6069.707
70,6069.707
71,6211.134
72,6211.134
73,6259.255
74,6259.255
75,6265.638
76,6265.638
77,6810.388
78,6810.388
79,7123.860
80,7123.860
81,7363.149
82,7363.149
83,7526.529
84,7526.529
85,7571.974
86,7571.974
87,7572.173
88,7572.173
89,7622.054
90,7622.054
91,7712.461
92,7712.461
93,7787.628
94,7787.628
95,8496.988
96,8496.988
97,9128.582
98,9128.582
99,1.281
100,9128.582
