starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 20 02:26:10 2016	1461119170	0	1644	1644	1634
Wed Apr 20 02:27:02 2016	1461119222	0	1943	1943	1932
Wed Apr 20 02:26:16 2016	1461119176	0	1957	1957	1946
Wed Apr 20 02:26:11 2016	1461119171	0	2997	2998	2984
Wed Apr 20 02:26:41 2016	1461119201	0	3181	3182	3174
Wed Apr 20 02:26:47 2016	1461119207	0	3988	3989	3978
Wed Apr 20 02:26:48 2016	1461119208	0	4061	4061	4046
Wed Apr 20 02:26:43 2016	1461119203	0	4121	4122	4107
Wed Apr 20 02:26:44 2016	1461119204	0	4162	4162	4155
Wed Apr 20 02:26:10 2016	1461119170	0	4289	4289	4277
Wed Apr 20 02:26:54 2016	1461119214	0	4579	4580	4570
Wed Apr 20 02:26:05 2016	1461119165	0	4582	4583	4567
Wed Apr 20 02:26:39 2016	1461119199	0	4661	4661	4651
Wed Apr 20 02:26:31 2016	1461119191	0	4688	4688	4682
Wed Apr 20 02:26:39 2016	1461119199	0	4742	4743	4733
Wed Apr 20 02:26:51 2016	1461119211	0	4775	4775	4766
Wed Apr 20 02:26:06 2016	1461119166	0	4833	4834	4825
Wed Apr 20 02:26:56 2016	1461119216	0	4868	4869	4861
Wed Apr 20 02:26:11 2016	1461119171	0	4947	4947	4939
Wed Apr 20 02:26:14 2016	1461119174	0	4948	4948	4942
Wed Apr 20 02:26:05 2016	1461119165	0	4969	4969	4958
Wed Apr 20 02:26:52 2016	1461119212	0	4973	4973	4964
Wed Apr 20 02:26:43 2016	1461119203	1	4982	4983	4972
Wed Apr 20 02:26:14 2016	1461119174	1	5016	5016	5005
Wed Apr 20 02:26:57 2016	1461119217	0	5186	5187	5181
Wed Apr 20 02:26:36 2016	1461119196	0	5199	5199	5186
Wed Apr 20 02:26:19 2016	1461119179	0	5288	5288	5281
Wed Apr 20 02:26:05 2016	1461119165	0	5446	5446	5437
Wed Apr 20 02:26:30 2016	1461119190	0	5494	5495	5484
Wed Apr 20 02:26:59 2016	1461119219	0	5547	5547	5532
Wed Apr 20 02:26:44 2016	1461119204	0	5705	5705	5700
Wed Apr 20 02:26:19 2016	1461119179	0	5846	5847	5840
Wed Apr 20 02:26:48 2016	1461119208	1	5942	5942	5923
Wed Apr 20 02:26:16 2016	1461119176	0	6026	6026	6019
Wed Apr 20 02:27:01 2016	1461119221	0	6039	6040	6031
Wed Apr 20 02:26:25 2016	1461119185	1	6069	6070	6060
Wed Apr 20 02:26:32 2016	1461119192	0	6211	6211	6202
Wed Apr 20 02:26:24 2016	1461119184	0	6259	6259	6249
Wed Apr 20 02:26:10 2016	1461119170	0	6265	6266	6258
Wed Apr 20 02:26:50 2016	1461119210	0	6810	6810	6805
Wed Apr 20 02:26:18 2016	1461119178	0	7124	7124	7107
Wed Apr 20 02:26:31 2016	1461119191	0	7363	7363	7353
Wed Apr 20 02:25:57 2016	1461119157	56	7471	7527	7437
Wed Apr 20 02:25:57 2016	1461119157	6	7566	7572	7541
Wed Apr 20 02:26:25 2016	1461119185	0	7572	7572	7561
Wed Apr 20 02:26:22 2016	1461119182	0	7622	7622	7614
Wed Apr 20 02:26:57 2016	1461119217	0	7712	7712	7704
Wed Apr 20 02:25:57 2016	1461119157	1	7787	7788	7781
Wed Apr 20 02:26:35 2016	1461119195	0	8497	8497	8453
Wed Apr 20 02:25:57 2016	1461119157	31	9098	9129	9073
