starttime	seconds	ctime	dtime	ttime	wait
Fri Apr 22 17:36:13 2016	1461346573	0	1057	1057	1050
Fri Apr 22 17:36:11 2016	1461346571	0	1066	1066	1059
Fri Apr 22 17:36:01 2016	1461346561	0	1069	1070	1062
Fri Apr 22 17:35:55 2016	1461346555	0	1071	1072	1061
Fri Apr 22 17:36:24 2016	1461346584	0	1072	1073	1068
Fri Apr 22 17:36:23 2016	1461346583	0	1072	1073	1065
Fri Apr 22 17:36:14 2016	1461346574	0	1073	1073	1064
Fri Apr 22 17:35:16 2016	1461346516	0	1073	1074	1063
Fri Apr 22 17:36:08 2016	1461346568	0	1074	1074	1068
Fri Apr 22 17:36:26 2016	1461346586	0	1074	1075	1064
Fri Apr 22 17:36:00 2016	1461346560	0	1075	1075	1061
Fri Apr 22 17:35:24 2016	1461346524	0	1076	1077	1067
Fri Apr 22 17:35:39 2016	1461346539	0	1076	1077	1067
Fri Apr 22 17:35:53 2016	1461346553	0	1077	1077	1066
Fri Apr 22 17:36:08 2016	1461346568	0	1077	1077	1071
Fri Apr 22 17:36:12 2016	1461346572	0	1077	1077	1069
Fri Apr 22 17:36:14 2016	1461346574	0	1079	1079	1072
Fri Apr 22 17:35:43 2016	1461346543	0	1080	1080	1072
Fri Apr 22 17:35:32 2016	1461346532	0	1081	1081	1075
Fri Apr 22 17:36:15 2016	1461346575	0	1083	1083	1076
Fri Apr 22 17:35:26 2016	1461346526	0	1083	1083	1072
Fri Apr 22 17:36:15 2016	1461346575	0	1083	1084	1074
Fri Apr 22 17:36:14 2016	1461346574	0	1085	1085	1078
Fri Apr 22 17:36:09 2016	1461346569	0	1085	1085	1078
Fri Apr 22 17:36:13 2016	1461346573	0	1085	1086	1080
Fri Apr 22 17:35:22 2016	1461346522	0	1085	1086	1073
Fri Apr 22 17:35:47 2016	1461346547	0	1086	1086	1075
Fri Apr 22 17:35:19 2016	1461346519	0	1086	1087	1081
Fri Apr 22 17:36:13 2016	1461346573	0	1087	1087	1079
Fri Apr 22 17:35:44 2016	1461346544	0	1088	1089	1081
Fri Apr 22 17:36:17 2016	1461346577	0	1091	1092	1080
Fri Apr 22 17:35:53 2016	1461346553	0	1092	1092	1084
Fri Apr 22 17:35:55 2016	1461346555	0	1092	1092	1087
Fri Apr 22 17:35:21 2016	1461346521	0	1092	1093	1086
Fri Apr 22 17:35:46 2016	1461346546	0	1093	1093	1081
Fri Apr 22 17:35:56 2016	1461346556	0	1093	1093	1084
Fri Apr 22 17:35:57 2016	1461346557	0	1093	1093	1081
Fri Apr 22 17:35:38 2016	1461346538	0	1094	1094	1085
Fri Apr 22 17:35:24 2016	1461346524	0	1094	1094	1085
Fri Apr 22 17:35:19 2016	1461346519	0	1095	1095	1089
Fri Apr 22 17:35:27 2016	1461346527	0	1095	1095	1084
Fri Apr 22 17:36:01 2016	1461346561	0	1096	1096	1088
Fri Apr 22 17:36:12 2016	1461346572	0	1096	1096	1088
Fri Apr 22 17:35:41 2016	1461346541	0	1096	1097	1091
Fri Apr 22 17:35:52 2016	1461346552	0	1097	1097	1088
Fri Apr 22 17:35:41 2016	1461346541	0	1098	1099	1088
Fri Apr 22 17:35:31 2016	1461346531	0	1099	1099	1093
Fri Apr 22 17:36:23 2016	1461346583	0	1099	1100	1092
Fri Apr 22 17:36:16 2016	1461346576	0	1099	1100	1092
Fri Apr 22 17:35:32 2016	1461346532	0	1100	1100	1086
Fri Apr 22 17:36:17 2016	1461346577	0	1100	1100	1092
Fri Apr 22 17:36:21 2016	1461346581	0	1100	1101	1092
Fri Apr 22 17:35:20 2016	1461346520	0	1101	1101	1091
Fri Apr 22 17:35:59 2016	1461346559	0	1101	1101	1092
Fri Apr 22 17:36:11 2016	1461346571	0	1101	1102	1092
Fri Apr 22 17:36:24 2016	1461346584	1	1101	1102	1092
Fri Apr 22 17:35:59 2016	1461346559	0	1102	1102	1093
Fri Apr 22 17:35:21 2016	1461346521	0	1102	1103	1095
Fri Apr 22 17:36:13 2016	1461346573	0	1102	1103	1092
Fri Apr 22 17:35:50 2016	1461346550	0	1103	1103	1096
Fri Apr 22 17:35:22 2016	1461346522	1	1103	1103	1089
Fri Apr 22 17:35:16 2016	1461346516	1	1103	1103	1096
Fri Apr 22 17:36:25 2016	1461346585	0	1103	1104	1090
Fri Apr 22 17:35:43 2016	1461346543	0	1104	1104	1095
Fri Apr 22 17:36:29 2016	1461346589	0	1104	1105	1097
Fri Apr 22 17:35:23 2016	1461346523	0	1105	1105	1095
Fri Apr 22 17:35:30 2016	1461346530	0	1105	1105	1096
Fri Apr 22 17:35:42 2016	1461346542	0	1105	1105	1096
Fri Apr 22 17:36:00 2016	1461346560	0	1105	1105	1098
Fri Apr 22 17:35:32 2016	1461346532	0	1105	1105	1094
Fri Apr 22 17:35:32 2016	1461346532	0	1106	1106	1094
Fri Apr 22 17:35:16 2016	1461346516	0	1107	1108	1096
Fri Apr 22 17:36:18 2016	1461346578	0	1108	1109	1097
Fri Apr 22 17:35:42 2016	1461346542	0	1108	1109	1101
Fri Apr 22 17:35:38 2016	1461346538	0	1109	1109	1104
Fri Apr 22 17:35:33 2016	1461346533	0	1109	1109	1097
Fri Apr 22 17:36:18 2016	1461346578	0	1110	1111	1104
Fri Apr 22 17:35:54 2016	1461346554	0	1110	1111	1098
Fri Apr 22 17:35:48 2016	1461346548	1	1110	1111	1102
Fri Apr 22 17:35:38 2016	1461346538	0	1111	1111	1103
Fri Apr 22 17:35:18 2016	1461346518	0	1111	1111	1105
Fri Apr 22 17:36:20 2016	1461346580	0	1111	1111	1104
Fri Apr 22 17:35:41 2016	1461346541	0	1111	1112	1104
Fri Apr 22 17:36:29 2016	1461346589	0	1112	1112	1102
Fri Apr 22 17:35:28 2016	1461346528	0	1112	1113	1105
Fri Apr 22 17:35:28 2016	1461346528	0	1112	1113	1103
Fri Apr 22 17:35:58 2016	1461346558	0	1113	1113	1092
Fri Apr 22 17:35:45 2016	1461346545	0	1114	1114	1106
Fri Apr 22 17:35:46 2016	1461346546	0	1115	1115	1109
Fri Apr 22 17:36:00 2016	1461346560	0	1115	1116	1107
Fri Apr 22 17:35:54 2016	1461346554	0	1116	1116	1107
Fri Apr 22 17:35:17 2016	1461346517	0	1116	1117	1109
Fri Apr 22 17:36:15 2016	1461346575	0	1116	1117	1106
Fri Apr 22 17:35:52 2016	1461346552	0	1116	1117	1108
Fri Apr 22 17:36:29 2016	1461346589	0	1116	1117	1090
Fri Apr 22 17:35:44 2016	1461346544	0	1117	1117	1108
Fri Apr 22 17:36:19 2016	1461346579	0	1117	1117	1107
Fri Apr 22 17:35:48 2016	1461346548	0	1117	1118	1099
Fri Apr 22 17:35:59 2016	1461346559	0	1118	1118	1072
Fri Apr 22 17:36:11 2016	1461346571	0	1122	1122	1116
Fri Apr 22 17:35:57 2016	1461346557	0	1122	1123	1114
Fri Apr 22 17:36:14 2016	1461346574	0	1122	1123	1116
Fri Apr 22 17:35:34 2016	1461346534	0	1123	1123	1114
Fri Apr 22 17:35:44 2016	1461346544	0	1123	1123	1114
Fri Apr 22 17:35:45 2016	1461346545	0	1123	1124	1104
Fri Apr 22 17:35:24 2016	1461346524	0	1123	1124	1113
Fri Apr 22 17:35:59 2016	1461346559	0	1124	1124	1080
Fri Apr 22 17:36:10 2016	1461346570	0	1124	1124	1113
Fri Apr 22 17:35:49 2016	1461346549	0	1124	1125	1112
Fri Apr 22 17:36:29 2016	1461346589	0	1125	1125	1119
Fri Apr 22 17:36:11 2016	1461346571	0	1126	1126	1117
Fri Apr 22 17:35:30 2016	1461346530	0	1126	1127	1118
Fri Apr 22 17:35:50 2016	1461346550	0	1127	1128	1119
Fri Apr 22 17:35:50 2016	1461346550	0	1127	1128	1119
Fri Apr 22 17:35:39 2016	1461346539	0	1128	1129	1112
Fri Apr 22 17:35:33 2016	1461346533	0	1128	1129	1121
Fri Apr 22 17:35:22 2016	1461346522	0	1129	1129	1120
Fri Apr 22 17:35:31 2016	1461346531	0	1129	1129	1122
Fri Apr 22 17:35:42 2016	1461346542	0	1130	1131	1121
Fri Apr 22 17:35:47 2016	1461346547	0	1133	1134	1125
Fri Apr 22 17:35:17 2016	1461346517	0	1134	1134	1124
Fri Apr 22 17:35:45 2016	1461346545	0	1134	1134	1126
Fri Apr 22 17:36:05 2016	1461346565	0	1134	1135	1124
Fri Apr 22 17:35:37 2016	1461346537	0	1136	1136	1128
Fri Apr 22 17:35:39 2016	1461346539	0	1136	1136	1125
Fri Apr 22 17:35:36 2016	1461346536	0	1136	1137	1115
Fri Apr 22 17:35:40 2016	1461346540	0	1137	1137	1126
Fri Apr 22 17:36:25 2016	1461346585	0	1137	1137	1128
Fri Apr 22 17:35:53 2016	1461346553	0	1138	1138	1129
Fri Apr 22 17:35:49 2016	1461346549	0	1138	1138	1127
Fri Apr 22 17:36:09 2016	1461346569	0	1138	1139	1127
Fri Apr 22 17:36:04 2016	1461346564	0	1138	1139	1129
Fri Apr 22 17:35:58 2016	1461346558	0	1141	1141	1133
Fri Apr 22 17:35:55 2016	1461346555	0	1141	1142	1132
Fri Apr 22 17:36:07 2016	1461346567	0	1141	1142	1135
Fri Apr 22 17:35:51 2016	1461346551	0	1142	1142	1133
Fri Apr 22 17:36:06 2016	1461346566	0	1143	1143	1129
Fri Apr 22 17:35:17 2016	1461346517	0	1143	1144	1118
Fri Apr 22 17:36:26 2016	1461346586	0	1145	1145	1136
Fri Apr 22 17:35:28 2016	1461346528	0	1145	1146	1136
Fri Apr 22 17:35:44 2016	1461346544	0	1147	1147	1130
Fri Apr 22 17:35:25 2016	1461346525	0	1148	1149	1137
Fri Apr 22 17:36:16 2016	1461346576	0	1149	1150	1133
Fri Apr 22 17:36:09 2016	1461346569	0	1150	1151	1143
Fri Apr 22 17:35:23 2016	1461346523	0	1151	1151	1122
Fri Apr 22 17:36:26 2016	1461346586	0	1152	1153	1146
Fri Apr 22 17:36:09 2016	1461346569	0	1155	1155	1124
Fri Apr 22 17:35:35 2016	1461346535	0	1156	1156	1146
Fri Apr 22 17:36:04 2016	1461346564	1	1158	1158	1138
Fri Apr 22 17:36:04 2016	1461346564	0	1158	1159	1152
Fri Apr 22 17:35:25 2016	1461346525	0	1159	1160	1135
Fri Apr 22 17:35:19 2016	1461346519	0	1160	1160	1125
Fri Apr 22 17:35:20 2016	1461346520	0	1160	1160	1142
Fri Apr 22 17:35:43 2016	1461346543	0	1160	1161	1156
Fri Apr 22 17:35:42 2016	1461346542	0	1161	1161	1120
Fri Apr 22 17:35:39 2016	1461346539	1	1161	1162	1144
Fri Apr 22 17:35:36 2016	1461346536	0	1163	1163	1155
Fri Apr 22 17:35:23 2016	1461346523	0	1164	1164	1156
Fri Apr 22 17:36:06 2016	1461346566	1	1168	1169	1155
Fri Apr 22 17:35:40 2016	1461346540	0	1171	1171	1163
Fri Apr 22 17:35:21 2016	1461346521	0	1171	1172	1158
Fri Apr 22 17:35:25 2016	1461346525	1	1173	1174	1159
Fri Apr 22 17:35:37 2016	1461346537	0	1176	1177	1168
Fri Apr 22 17:36:04 2016	1461346564	0	1177	1178	1125
Fri Apr 22 17:35:30 2016	1461346530	1	1177	1178	1163
Fri Apr 22 17:35:16 2016	1461346516	0	1178	1178	1171
Fri Apr 22 17:35:29 2016	1461346529	0	1178	1179	1168
Fri Apr 22 17:36:05 2016	1461346565	0	1182	1183	1174
Fri Apr 22 17:35:35 2016	1461346535	0	1183	1184	1174
Fri Apr 22 17:35:40 2016	1461346540	0	1184	1185	1179
Fri Apr 22 17:36:12 2016	1461346572	0	1185	1185	1177
Fri Apr 22 17:36:02 2016	1461346562	0	1189	1189	1182
Fri Apr 22 17:36:02 2016	1461346562	0	1190	1190	1185
Fri Apr 22 17:35:24 2016	1461346524	0	1192	1192	1187
Fri Apr 22 17:35:58 2016	1461346558	1	1193	1194	1178
Fri Apr 22 17:36:20 2016	1461346580	0	1199	1199	1192
Fri Apr 22 17:35:25 2016	1461346525	0	1200	1200	1191
Fri Apr 22 17:35:23 2016	1461346523	0	1201	1202	1190
Fri Apr 22 17:35:56 2016	1461346556	0	1202	1202	1177
Fri Apr 22 17:36:05 2016	1461346565	0	1202	1202	1177
Fri Apr 22 17:35:51 2016	1461346551	1	1203	1204	1192
Fri Apr 22 17:35:33 2016	1461346533	0	1212	1212	1203
Fri Apr 22 17:35:46 2016	1461346546	4	1209	1213	1199
Fri Apr 22 17:36:06 2016	1461346566	13	1202	1215	1160
Fri Apr 22 17:35:27 2016	1461346527	0	1217	1218	1207
Fri Apr 22 17:35:49 2016	1461346549	0	1219	1220	1213
Fri Apr 22 17:35:51 2016	1461346551	0	1220	1221	1213
Fri Apr 22 17:35:20 2016	1461346520	0	1221	1221	1210
Fri Apr 22 17:35:27 2016	1461346527	1	1226	1227	1217
Fri Apr 22 17:35:56 2016	1461346556	0	1228	1228	1214
Fri Apr 22 17:36:08 2016	1461346568	0	1229	1229	1218
Fri Apr 22 17:35:37 2016	1461346537	0	1234	1235	1227
Fri Apr 22 17:35:47 2016	1461346547	0	1243	1243	1236
Fri Apr 22 17:36:17 2016	1461346577	0	1243	1244	1236
Fri Apr 22 17:35:18 2016	1461346518	0	1247	1247	1233
Fri Apr 22 17:35:52 2016	1461346552	0	1252	1253	1243
Fri Apr 22 17:36:19 2016	1461346579	0	1254	1255	1249
Fri Apr 22 17:36:28 2016	1461346588	4	1257	1261	1229
Fri Apr 22 17:36:07 2016	1461346567	0	1265	1265	1255
Fri Apr 22 17:35:31 2016	1461346531	0	1269	1269	1247
Fri Apr 22 17:35:15 2016	1461346515	1	1268	1269	1255
Fri Apr 22 17:36:01 2016	1461346561	0	1274	1274	1268
Fri Apr 22 17:35:58 2016	1461346558	0	1284	1284	1278
Fri Apr 22 17:36:05 2016	1461346565	0	1285	1285	1280
Fri Apr 22 17:35:45 2016	1461346545	0	1289	1289	1278
