Percentage served,Time in ms
0,2551.062
1,2932.595
2,2932.595
3,3080.779
4,3080.779
5,4017.734
6,4017.734
7,4234.849
8,4234.849
9,4390.993
10,4390.993
11,6459.855
12,6459.855
13,6656.732
14,6656.732
15,6863.804
16,6863.804
17,6899.981
18,6899.981
19,7294.025
20,7294.025
21,7438.444
22,7438.444
23,7458.798
24,7458.798
25,7585.283
26,7585.283
27,7670.268
28,7670.268
29,7912.731
30,7912.731
31,7996.245
32,7996.245
33,8175.966
34,8175.966
35,8261.753
36,8261.753
37,8587.563
38,8587.563
39,8758.010
40,8758.010
41,8819.505
42,8819.505
43,8912.095
44,8912.095
45,8922.441
46,8922.441
47,9040.284
48,9040.284
49,9133.812
50,9133.812
51,9135.485
52,9135.485
53,9277.909
54,9277.909
55,9511.936
56,9511.936
57,9543.570
58,9543.570
59,9574.197
60,9574.197
61,9702.281
62,9702.281
63,9739.544
64,9739.544
65,9851.398
66,9851.398
67,9865.423
68,9865.423
69,9916.856
70,9916.856
71,9960.920
72,9960.920
73,10079.412
74,10079.412
75,10249.868
76,10249.868
77,10251.727
78,10251.727
79,10375.620
80,10375.620
81,10426.664
82,10426.664
83,10643.891
84,10643.891
85,10795.446
86,10795.446
87,10808.415
88,10808.415
89,10823.917
90,10823.917
91,10944.065
92,10944.065
93,11047.676
94,11047.676
95,12421.032
96,12421.032
97,15587.938
98,15587.938
99,1.281
100,15587.938
