starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 20 02:31:17 2016	1461119477	0	1078	1079	1070
Wed Apr 20 02:31:18 2016	1461119478	0	1187	1187	1181
Wed Apr 20 02:31:15 2016	1461119475	0	1193	1194	1185
Wed Apr 20 02:31:16 2016	1461119476	0	1234	1234	1225
Wed Apr 20 02:31:26 2016	1461119486	0	1280	1280	1275
Wed Apr 20 02:31:14 2016	1461119474	0	1319	1320	1311
Wed Apr 20 02:31:25 2016	1461119485	0	1325	1325	1319
Wed Apr 20 02:31:33 2016	1461119493	0	1348	1348	1338
Wed Apr 20 02:31:25 2016	1461119485	0	1356	1357	1351
Wed Apr 20 02:31:31 2016	1461119491	0	1404	1405	1397
Wed Apr 20 02:31:34 2016	1461119494	0	1411	1412	1403
Wed Apr 20 02:31:22 2016	1461119482	0	1461	1462	1453
Wed Apr 20 02:31:27 2016	1461119487	0	1464	1464	1457
Wed Apr 20 02:31:32 2016	1461119492	0	1501	1502	1493
Wed Apr 20 02:31:27 2016	1461119487	0	1506	1506	1497
Wed Apr 20 02:31:23 2016	1461119483	0	1510	1511	1498
Wed Apr 20 02:31:32 2016	1461119492	0	1528	1528	1518
Wed Apr 20 02:31:32 2016	1461119492	0	1531	1531	1525
Wed Apr 20 02:31:24 2016	1461119484	0	1582	1582	1573
Wed Apr 20 02:31:20 2016	1461119480	0	1601	1602	1595
Wed Apr 20 02:31:31 2016	1461119491	0	1631	1631	1623
Wed Apr 20 02:31:14 2016	1461119474	0	1664	1665	1654
Wed Apr 20 02:31:29 2016	1461119489	0	1712	1713	1705
Wed Apr 20 02:31:20 2016	1461119480	0	1713	1713	1703
Wed Apr 20 02:31:16 2016	1461119476	0	1729	1729	1713
Wed Apr 20 02:31:18 2016	1461119478	0	1782	1783	1772
Wed Apr 20 02:31:16 2016	1461119476	0	1784	1785	1778
Wed Apr 20 02:31:17 2016	1461119477	0	1786	1787	1773
Wed Apr 20 02:31:30 2016	1461119490	0	1803	1804	1795
Wed Apr 20 02:31:33 2016	1461119493	0	1809	1810	1801
Wed Apr 20 02:31:30 2016	1461119490	0	1842	1842	1837
Wed Apr 20 02:31:22 2016	1461119482	0	1870	1870	1864
Wed Apr 20 02:31:24 2016	1461119484	0	1947	1947	1940
Wed Apr 20 02:31:18 2016	1461119478	1	2099	2100	2086
Wed Apr 20 02:31:14 2016	1461119474	0	2123	2124	2115
Wed Apr 20 02:31:29 2016	1461119489	0	2135	2136	2129
Wed Apr 20 02:31:19 2016	1461119479	0	2179	2180	2169
Wed Apr 20 02:31:20 2016	1461119480	1	2180	2181	2170
Wed Apr 20 02:31:24 2016	1461119484	0	2201	2201	2196
Wed Apr 20 02:31:15 2016	1461119475	0	2240	2241	2232
Wed Apr 20 02:31:28 2016	1461119488	0	2417	2417	2404
Wed Apr 20 02:31:34 2016	1461119494	0	2648	2649	2640
Wed Apr 20 02:31:21 2016	1461119481	0	2737	2738	2730
Wed Apr 20 02:31:21 2016	1461119481	0	3025	3025	3017
Wed Apr 20 02:31:26 2016	1461119486	0	3166	3166	3154
Wed Apr 20 02:31:10 2016	1461119470	19	3456	3475	3406
Wed Apr 20 02:31:10 2016	1461119470	8	3814	3822	3803
Wed Apr 20 02:31:26 2016	1461119486	0	4248	4248	4242
Wed Apr 20 02:31:10 2016	1461119470	1	4362	4363	4355
Wed Apr 20 02:31:10 2016	1461119470	69	4562	4630	4467
