Percentage served,Time in ms
0,4113.957
1,5169.361
2,5169.361
3,6397.135
4,6397.135
5,10038.259
6,10038.259
7,10337.250
8,10337.250
9,11685.881
10,11685.881
11,12592.241
12,12592.241
13,17363.856
14,17363.856
15,17370.032
16,17370.032
17,17387.515
18,17387.515
19,17750.304
20,17750.304
21,18965.853
22,18965.853
23,19111.769
24,19111.769
25,19125.625
26,19125.625
27,19278.403
28,19278.403
29,19331.640
30,19331.640
31,19486.784
32,19486.784
33,19574.862
34,19574.862
35,19599.080
36,19599.080
37,19849.848
38,19849.848
39,20164.116
40,20164.116
41,20200.847
42,20200.847
43,20412.591
44,20412.591
45,20433.479
46,20433.479
47,20528.163
48,20528.163
49,20572.877
50,20572.877
51,20726.978
52,20726.978
53,21183.685
54,21183.685
55,21208.289
56,21208.289
57,21228.779
58,21228.779
59,21229.325
60,21229.325
61,21294.103
62,21294.103
63,21508.516
64,21508.516
65,21794.066
66,21794.066
67,21881.597
68,21881.597
69,21976.228
70,21976.228
71,22125.441
72,22125.441
73,22406.129
74,22406.129
75,22451.400
76,22451.400
77,22712.939
78,22712.939
79,23184.758
80,23184.758
81,23256.879
82,23256.879
83,23372.123
84,23372.123
85,23437.569
86,23437.569
87,23661.462
88,23661.462
89,24183.569
90,24183.569
91,24286.370
92,24286.370
93,24892.870
94,24892.870
95,26091.445
96,26091.445
97,26114.791
98,26114.791
99,1.281
100,26114.791
