starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 20 02:37:09 2016	1461119829	0	4114	4114	4105
Wed Apr 20 02:37:09 2016	1461119829	0	5169	5169	5159
Wed Apr 20 02:36:21 2016	1461119781	0	6397	6397	6386
Wed Apr 20 02:33:32 2016	1461119612	10	10028	10038	10012
Wed Apr 20 02:35:32 2016	1461119732	0	10337	10337	10329
Wed Apr 20 02:33:52 2016	1461119632	0	11686	11686	11676
Wed Apr 20 02:35:22 2016	1461119722	0	12592	12592	12584
Wed Apr 20 02:36:28 2016	1461119788	0	17364	17364	17350
Wed Apr 20 02:34:24 2016	1461119664	0	17370	17370	17358
Wed Apr 20 02:35:55 2016	1461119755	0	17387	17388	17347
Wed Apr 20 02:34:41 2016	1461119681	0	17750	17750	17740
Wed Apr 20 02:34:53 2016	1461119693	1	18965	18966	18958
Wed Apr 20 02:34:34 2016	1461119674	0	19111	19112	19083
Wed Apr 20 02:36:13 2016	1461119773	0	19125	19126	19112
Wed Apr 20 02:36:32 2016	1461119792	0	19278	19278	19267
Wed Apr 20 02:33:32 2016	1461119612	0	19331	19332	19321
Wed Apr 20 02:35:02 2016	1461119702	0	19486	19487	19476
Wed Apr 20 02:33:54 2016	1461119634	0	19575	19575	19568
Wed Apr 20 02:34:14 2016	1461119654	0	19599	19599	19588
Wed Apr 20 02:34:04 2016	1461119644	0	19849	19850	19842
Wed Apr 20 02:36:49 2016	1461119809	0	20164	20164	20154
Wed Apr 20 02:35:35 2016	1461119735	0	20201	20201	20192
Wed Apr 20 02:35:35 2016	1461119735	0	20412	20413	20405
Wed Apr 20 02:35:12 2016	1461119712	0	20433	20433	20424
Wed Apr 20 02:35:21 2016	1461119721	0	20528	20528	20519
Wed Apr 20 02:36:07 2016	1461119767	0	20573	20573	20565
Wed Apr 20 02:34:41 2016	1461119681	1	20726	20727	20696
Wed Apr 20 02:36:06 2016	1461119766	0	21183	21184	21175
Wed Apr 20 02:33:11 2016	1461119591	7	21201	21208	21171
Wed Apr 20 02:33:11 2016	1461119591	37	21192	21229	21165
Wed Apr 20 02:33:11 2016	1461119591	1	21229	21229	21221
Wed Apr 20 02:36:27 2016	1461119787	0	21294	21294	21285
Wed Apr 20 02:33:11 2016	1461119591	64	21444	21509	21428
Wed Apr 20 02:34:25 2016	1461119665	0	21794	21794	21781
Wed Apr 20 02:36:27 2016	1461119787	0	21881	21882	21874
Wed Apr 20 02:33:42 2016	1461119622	0	21976	21976	21968
Wed Apr 20 02:34:03 2016	1461119643	0	22125	22125	22116
Wed Apr 20 02:33:32 2016	1461119612	0	22406	22406	22386
Wed Apr 20 02:34:19 2016	1461119659	0	22451	22451	22443
Wed Apr 20 02:35:12 2016	1461119712	0	22713	22713	22707
Wed Apr 20 02:36:49 2016	1461119809	0	23184	23185	23179
Wed Apr 20 02:33:55 2016	1461119635	0	23256	23257	23248
Wed Apr 20 02:34:59 2016	1461119699	0	23372	23372	23365
Wed Apr 20 02:33:32 2016	1461119612	1	23437	23438	23427
Wed Apr 20 02:36:45 2016	1461119805	0	23661	23661	23650
Wed Apr 20 02:35:42 2016	1461119742	0	24183	24184	24171
Wed Apr 20 02:35:42 2016	1461119742	0	24286	24286	24278
Wed Apr 20 02:34:47 2016	1461119687	0	24892	24893	24886
Wed Apr 20 02:36:51 2016	1461119811	0	26091	26091	26083
Wed Apr 20 02:35:55 2016	1461119755	0	26114	26115	26105
