Percentage served,Time in ms
0,1836.054
1,1901.892
2,1901.892
3,2308.044
4,2308.044
5,2443.173
6,2443.173
7,3631.398
8,3631.398
9,4440.541
10,4440.541
11,4588.756
12,4588.756
13,4637.239
14,4637.239
15,4645.795
16,4645.795
17,4689.607
18,4689.607
19,4762.275
20,4762.275
21,4803.243
22,4803.243
23,4881.805
24,4881.805
25,4885.992
26,4885.992
27,4957.841
28,4957.841
29,5137.214
30,5137.214
31,5186.967
32,5186.967
33,5188.264
34,5188.264
35,5201.921
36,5201.921
37,5220.415
38,5220.415
39,5221.843
40,5221.843
41,5280.554
42,5280.554
43,5329.551
44,5329.551
45,5340.271
46,5340.271
47,5435.591
48,5435.591
49,5438.989
50,5438.989
51,5456.192
52,5456.192
53,5513.886
54,5513.886
55,5528.695
56,5528.695
57,5572.038
58,5572.038
59,5844.278
60,5844.278
61,6088.820
62,6088.820
63,6118.327
64,6118.327
65,6120.455
66,6120.455
67,6127.761
68,6127.761
69,6134.549
70,6134.549
71,6170.827
72,6170.827
73,6215.059
74,6215.059
75,6451.472
76,6451.472
77,6559.581
78,6559.581
79,6875.643
80,6875.643
81,6899.071
82,6899.071
83,6993.154
84,6993.154
85,7327.875
86,7327.875
87,7388.979
88,7388.979
89,7550.269
90,7550.269
91,7634.534
92,7634.534
93,7814.855
94,7814.855
95,8013.478
96,8013.478
97,10670.202
98,10670.202
99,1.281
100,10670.202
