starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 20 02:50:32 2016	1461120632	0	1836	1836	1828
Wed Apr 20 02:49:41 2016	1461120581	0	1901	1902	1893
Wed Apr 20 02:49:36 2016	1461120576	0	2308	2308	2300
Wed Apr 20 02:50:19 2016	1461120619	0	2443	2443	2433
Wed Apr 20 02:50:09 2016	1461120609	0	3631	3631	3624
Wed Apr 20 02:49:37 2016	1461120577	1	4440	4441	4427
Wed Apr 20 02:50:13 2016	1461120613	0	4588	4589	4581
Wed Apr 20 02:49:43 2016	1461120583	0	4637	4637	4616
Wed Apr 20 02:49:32 2016	1461120572	0	4645	4646	4636
Wed Apr 20 02:50:22 2016	1461120622	0	4689	4690	4675
Wed Apr 20 02:50:05 2016	1461120605	0	4762	4762	4754
Wed Apr 20 02:49:43 2016	1461120583	1	4802	4803	4774
Wed Apr 20 02:50:11 2016	1461120611	0	4881	4882	4876
Wed Apr 20 02:49:43 2016	1461120583	0	4886	4886	4877
Wed Apr 20 02:49:53 2016	1461120593	0	4957	4958	4950
Wed Apr 20 02:50:05 2016	1461120605	0	5137	5137	5125
Wed Apr 20 02:49:48 2016	1461120588	0	5187	5187	5180
Wed Apr 20 02:50:28 2016	1461120628	0	5188	5188	5180
Wed Apr 20 02:50:17 2016	1461120617	0	5202	5202	5195
Wed Apr 20 02:50:27 2016	1461120627	0	5220	5220	5212
Wed Apr 20 02:49:38 2016	1461120578	0	5221	5222	5007
Wed Apr 20 02:49:32 2016	1461120572	0	5280	5281	5274
Wed Apr 20 02:49:48 2016	1461120588	0	5329	5330	5322
Wed Apr 20 02:50:00 2016	1461120600	0	5340	5340	5331
Wed Apr 20 02:49:38 2016	1461120578	0	5435	5436	5428
Wed Apr 20 02:49:54 2016	1461120594	0	5439	5439	5421
Wed Apr 20 02:49:54 2016	1461120594	0	5456	5456	5446
Wed Apr 20 02:50:22 2016	1461120622	0	5513	5514	5296
Wed Apr 20 02:50:10 2016	1461120610	0	5528	5529	5492
Wed Apr 20 02:49:37 2016	1461120577	0	5572	5572	5561
Wed Apr 20 02:49:32 2016	1461120572	0	5844	5844	5836
Wed Apr 20 02:50:15 2016	1461120615	0	6088	6089	6077
Wed Apr 20 02:49:58 2016	1461120598	0	6118	6118	6110
Wed Apr 20 02:50:13 2016	1461120613	0	6120	6120	6115
Wed Apr 20 02:50:04 2016	1461120604	0	6127	6128	6119
Wed Apr 20 02:50:16 2016	1461120616	1	6134	6135	6124
Wed Apr 20 02:49:50 2016	1461120590	0	6170	6171	6162
Wed Apr 20 02:50:30 2016	1461120630	0	6215	6215	6205
Wed Apr 20 02:49:59 2016	1461120599	0	6451	6451	6441
Wed Apr 20 02:49:48 2016	1461120588	0	6559	6560	6551
Wed Apr 20 02:50:22 2016	1461120622	0	6875	6876	6865
Wed Apr 20 02:49:25 2016	1461120565	7	6892	6899	6869
Wed Apr 20 02:49:25 2016	1461120565	30	6963	6993	6942
Wed Apr 20 02:49:25 2016	1461120565	50	7277	7328	7258
Wed Apr 20 02:50:26 2016	1461120626	0	7389	7389	7380
Wed Apr 20 02:49:43 2016	1461120583	0	7550	7550	7534
Wed Apr 20 02:50:23 2016	1461120623	0	7634	7635	7629
Wed Apr 20 02:50:05 2016	1461120605	0	7815	7815	7809
Wed Apr 20 02:49:57 2016	1461120597	0	8013	8013	8003
Wed Apr 20 02:49:25 2016	1461120565	1	10669	10670	10663
