Percentage served,Time in ms
0,406.943
1,609.958
2,611.936
3,625.315
4,627.440
5,628.756
6,629.976
7,630.493
8,632.967
9,634.385
10,634.886
11,636.011
12,637.165
13,637.378
14,637.897
15,639.106
16,639.864
17,640.448
18,640.946
19,641.749
20,641.947
21,642.306
22,643.108
23,643.416
24,643.930
25,645.087
26,645.418
27,645.749
28,646.270
29,647.322
30,647.530
31,648.491
32,649.132
33,649.217
34,649.543
35,651.807
36,652.432
37,654.517
38,655.809
39,657.527
40,659.586
41,660.232
42,662.894
43,663.989
44,665.847
45,667.254
46,669.662
47,671.162
48,673.026
49,673.511
50,675.440
51,676.330
52,677.359
53,678.400
54,680.055
55,681.304
56,682.667
57,683.086
58,685.605
59,686.833
60,695.387
61,699.906
62,711.802
63,719.818
64,742.126
65,753.043
66,890.244
67,1201.873
68,1255.131
69,1267.211
70,1273.353
71,1274.905
72,1276.376
73,1278.725
74,1280.862
75,1282.796
76,1284.079
77,1285.543
78,1288.019
79,1290.568
80,1292.092
81,1292.563
82,1295.011
83,1296.878
84,1300.941
85,1306.703
86,1313.815
87,1315.167
88,1322.003
89,1329.821
90,1339.479
91,1345.587
92,1349.806
93,1351.971
94,1361.011
95,1369.861
96,1375.696
97,1388.461
98,1408.522
99,1570.919
100,1777.231
