starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 17 11:42:48 2016	1460893368	1	511	512	268
Sun Apr 17 11:42:15 2016	1460893335	0	691	691	475
Sun Apr 17 11:42:15 2016	1460893335	216	475	691	233
Sun Apr 17 11:42:27 2016	1460893347	198	499	697	250
Sun Apr 17 11:42:27 2016	1460893347	1	696	697	499
Sun Apr 17 11:42:46 2016	1460893366	1	705	706	475
Sun Apr 17 11:42:46 2016	1460893366	231	475	706	238
Sun Apr 17 11:41:22 2016	1460893282	228	478	706	235
Sun Apr 17 11:41:22 2016	1460893282	1	705	706	478
Sun Apr 17 11:41:30 2016	1460893290	224	483	707	237
Sun Apr 17 11:41:41 2016	1460893301	217	491	708	247
Sun Apr 17 11:41:39 2016	1460893299	232	477	709	241
Sun Apr 17 11:41:39 2016	1460893299	1	708	709	477
Sun Apr 17 11:42:04 2016	1460893324	1	709	710	480
Sun Apr 17 11:42:21 2016	1460893341	1	709	710	467
Sun Apr 17 11:42:21 2016	1460893341	242	468	710	233
Sun Apr 17 11:42:04 2016	1460893324	229	481	710	237
Sun Apr 17 11:41:11 2016	1460893271	240	471	711	232
Sun Apr 17 11:41:11 2016	1460893271	2	709	711	470
Sun Apr 17 11:42:31 2016	1460893351	236	475	711	241
Sun Apr 17 11:42:31 2016	1460893351	1	710	711	474
Sun Apr 17 11:42:35 2016	1460893355	239	473	712	233
Sun Apr 17 11:42:35 2016	1460893355	1	711	712	472
Sun Apr 17 11:41:42 2016	1460893302	238	474	712	229
Sun Apr 17 11:41:42 2016	1460893302	1	711	712	474
Sun Apr 17 11:41:32 2016	1460893292	244	469	712	237
Sun Apr 17 11:41:32 2016	1460893292	1	711	712	468
Sun Apr 17 11:41:28 2016	1460893288	238	474	712	243
Sun Apr 17 11:41:28 2016	1460893288	1	712	713	474
Sun Apr 17 11:41:25 2016	1460893285	239	474	713	240
Sun Apr 17 11:41:25 2016	1460893285	1	712	713	474
Sun Apr 17 11:41:05 2016	1460893265	233	480	714	241
Sun Apr 17 11:41:05 2016	1460893265	1	713	714	480
Sun Apr 17 11:41:59 2016	1460893319	238	476	715	235
Sun Apr 17 11:41:59 2016	1460893319	1	713	715	476
Sun Apr 17 11:41:45 2016	1460893305	235	479	715	238
Sun Apr 17 11:41:45 2016	1460893305	1	714	715	479
Sun Apr 17 11:42:25 2016	1460893345	1	714	715	478
Sun Apr 17 11:42:25 2016	1460893345	237	478	715	237
Sun Apr 17 11:41:37 2016	1460893297	237	478	715	242
Sun Apr 17 11:41:37 2016	1460893297	1	714	715	478
Sun Apr 17 11:41:47 2016	1460893307	235	480	716	237
Sun Apr 17 11:41:47 2016	1460893307	1	715	716	480
Sun Apr 17 11:40:49 2016	1460893249	246	470	716	241
Sun Apr 17 11:40:49 2016	1460893249	1	715	716	470
Sun Apr 17 11:41:06 2016	1460893266	237	479	716	238
Sun Apr 17 11:41:06 2016	1460893266	1	715	716	479
Sun Apr 17 11:42:46 2016	1460893366	240	476	716	237
Sun Apr 17 11:40:54 2016	1460893254	1	715	716	480
Sun Apr 17 11:42:46 2016	1460893366	1	715	716	476
Sun Apr 17 11:40:54 2016	1460893254	236	480	716	239
Sun Apr 17 11:42:35 2016	1460893355	238	479	717	237
Sun Apr 17 11:41:27 2016	1460893287	239	478	717	239
Sun Apr 17 11:42:35 2016	1460893355	1	716	717	478
Sun Apr 17 11:41:27 2016	1460893287	1	716	717	478
Sun Apr 17 11:42:23 2016	1460893343	238	479	717	236
Sun Apr 17 11:42:23 2016	1460893343	1	716	717	479
Sun Apr 17 11:42:01 2016	1460893321	238	479	718	245
Sun Apr 17 11:42:01 2016	1460893321	1	717	718	479
Sun Apr 17 11:41:02 2016	1460893262	226	492	718	241
Sun Apr 17 11:41:02 2016	1460893262	0	718	719	492
Sun Apr 17 11:42:38 2016	1460893358	236	483	719	243
Sun Apr 17 11:41:24 2016	1460893284	1	717	719	474
Sun Apr 17 11:41:24 2016	1460893284	244	475	719	238
Sun Apr 17 11:42:38 2016	1460893358	1	718	719	483
Sun Apr 17 11:41:54 2016	1460893314	237	482	719	240
Sun Apr 17 11:41:54 2016	1460893314	1	718	719	482
Sun Apr 17 11:41:18 2016	1460893278	238	480	719	240
Sun Apr 17 11:41:18 2016	1460893278	1	718	719	480
Sun Apr 17 11:41:52 2016	1460893312	1	718	719	488
Sun Apr 17 11:41:52 2016	1460893312	231	488	719	245
Sun Apr 17 11:42:43 2016	1460893363	241	478	719	239
Sun Apr 17 11:42:43 2016	1460893363	0	719	719	478
Sun Apr 17 11:41:33 2016	1460893293	236	484	720	242
Sun Apr 17 11:41:33 2016	1460893293	1	718	720	483
Sun Apr 17 11:42:38 2016	1460893358	5	715	720	518
Sun Apr 17 11:42:33 2016	1460893353	233	486	720	251
Sun Apr 17 11:42:38 2016	1460893358	202	518	720	246
Sun Apr 17 11:42:33 2016	1460893353	1	719	720	486
Sun Apr 17 11:41:57 2016	1460893317	238	482	720	241
Sun Apr 17 11:41:57 2016	1460893317	1	719	720	482
Sun Apr 17 11:42:40 2016	1460893360	239	481	720	243
Sun Apr 17 11:42:40 2016	1460893360	1	719	720	481
Sun Apr 17 11:42:41 2016	1460893361	239	481	720	235
Sun Apr 17 11:42:41 2016	1460893361	1	719	720	481
Sun Apr 17 11:41:00 2016	1460893260	247	474	720	236
Sun Apr 17 11:41:00 2016	1460893260	1	719	720	473
Sun Apr 17 11:41:30 2016	1460893290	13	707	721	483
Sun Apr 17 11:41:44 2016	1460893304	245	477	721	237
Sun Apr 17 11:41:44 2016	1460893304	1	720	721	476
Sun Apr 17 11:41:58 2016	1460893318	239	482	721	244
Sun Apr 17 11:41:58 2016	1460893318	1	721	722	482
Sun Apr 17 11:42:08 2016	1460893328	1	721	722	476
Sun Apr 17 11:42:08 2016	1460893328	246	476	722	234
Sun Apr 17 11:42:10 2016	1460893330	237	485	722	245
Sun Apr 17 11:42:10 2016	1460893330	1	721	722	484
Sun Apr 17 11:42:07 2016	1460893327	239	483	722	241
Sun Apr 17 11:42:07 2016	1460893327	1	722	722	483
Sun Apr 17 11:41:31 2016	1460893291	1	722	723	481
Sun Apr 17 11:41:31 2016	1460893291	241	482	723	247
Sun Apr 17 11:42:29 2016	1460893349	239	484	723	246
Sun Apr 17 11:42:29 2016	1460893349	1	722	723	483
Sun Apr 17 11:41:05 2016	1460893265	239	485	723	246
Sun Apr 17 11:41:05 2016	1460893265	1	722	723	485
Sun Apr 17 11:41:53 2016	1460893313	243	481	724	236
Sun Apr 17 11:41:53 2016	1460893313	1	722	724	480
Sun Apr 17 11:41:15 2016	1460893275	235	489	724	247
Sun Apr 17 11:41:15 2016	1460893275	1	723	724	489
Sun Apr 17 11:41:23 2016	1460893283	239	485	724	244
Sun Apr 17 11:41:23 2016	1460893283	1	723	724	485
Sun Apr 17 11:41:41 2016	1460893301	17	708	725	491
Sun Apr 17 11:41:20 2016	1460893280	242	482	725	242
Sun Apr 17 11:41:20 2016	1460893280	1	723	725	482
Sun Apr 17 11:42:12 2016	1460893332	244	480	725	237
Sun Apr 17 11:42:12 2016	1460893332	1	724	725	480
Sun Apr 17 11:41:50 2016	1460893310	234	491	725	244
Sun Apr 17 11:41:50 2016	1460893310	1	724	725	491
Sun Apr 17 11:41:36 2016	1460893296	0	725	725	480
Sun Apr 17 11:41:36 2016	1460893296	245	480	725	236
Sun Apr 17 11:42:05 2016	1460893325	242	483	725	243
Sun Apr 17 11:42:05 2016	1460893325	1	724	725	483
Sun Apr 17 11:42:32 2016	1460893352	1	724	725	479
Sun Apr 17 11:42:32 2016	1460893352	246	479	725	241
Sun Apr 17 11:41:17 2016	1460893277	1	724	725	489
Sun Apr 17 11:41:17 2016	1460893277	236	490	726	247
Sun Apr 17 11:41:09 2016	1460893269	1	725	726	480
Sun Apr 17 11:41:09 2016	1460893269	245	480	726	242
Sun Apr 17 11:42:11 2016	1460893331	1	725	726	481
Sun Apr 17 11:42:32 2016	1460893352	234	492	726	248
Sun Apr 17 11:42:32 2016	1460893352	1	725	726	492
Sun Apr 17 11:42:12 2016	1460893332	240	486	726	243
Sun Apr 17 11:42:11 2016	1460893331	245	481	726	235
Sun Apr 17 11:42:42 2016	1460893362	242	484	726	244
Sun Apr 17 11:42:12 2016	1460893332	1	725	726	486
Sun Apr 17 11:42:42 2016	1460893362	1	725	726	484
Sun Apr 17 11:41:55 2016	1460893315	235	491	726	251
Sun Apr 17 11:41:55 2016	1460893315	1	725	726	491
Sun Apr 17 11:41:50 2016	1460893310	1	725	726	488
Sun Apr 17 11:42:06 2016	1460893326	1	725	726	487
Sun Apr 17 11:41:50 2016	1460893310	238	488	726	242
Sun Apr 17 11:42:06 2016	1460893326	239	487	726	241
Sun Apr 17 11:41:49 2016	1460893309	244	483	726	238
Sun Apr 17 11:42:10 2016	1460893330	236	490	726	245
Sun Apr 17 11:42:10 2016	1460893330	1	725	727	490
Sun Apr 17 11:41:49 2016	1460893309	1	726	727	483
Sun Apr 17 11:41:28 2016	1460893288	1	726	727	481
Sun Apr 17 11:41:28 2016	1460893288	246	481	727	243
Sun Apr 17 11:40:58 2016	1460893258	243	484	727	242
Sun Apr 17 11:40:58 2016	1460893258	1	726	727	484
Sun Apr 17 11:41:45 2016	1460893305	1	726	727	477
Sun Apr 17 11:41:45 2016	1460893305	250	477	727	239
Sun Apr 17 11:42:29 2016	1460893349	246	481	728	240
Sun Apr 17 11:42:29 2016	1460893349	1	726	728	481
Sun Apr 17 11:42:47 2016	1460893367	240	488	728	243
Sun Apr 17 11:42:47 2016	1460893367	2	726	728	487
Sun Apr 17 11:41:39 2016	1460893299	1	727	729	483
Sun Apr 17 11:41:39 2016	1460893299	245	484	729	245
Sun Apr 17 11:42:03 2016	1460893323	236	493	729	245
Sun Apr 17 11:42:03 2016	1460893323	1	728	729	493
Sun Apr 17 11:40:50 2016	1460893250	242	486	729	236
Sun Apr 17 11:40:50 2016	1460893250	1	728	729	486
Sun Apr 17 11:41:08 2016	1460893268	240	489	729	249
Sun Apr 17 11:41:08 2016	1460893268	1	728	729	489
