Percentage served,Time in ms
0,1253.907
1,1295.642
2,1311.361
3,1316.732
4,1318.129
5,1325.041
6,1327.072
7,1336.573
8,1341.755
9,1358.961
10,1470.673
11,1678.303
12,1704.006
13,1712.119
14,1717.989
15,1719.803
16,1722.429
17,1725.295
18,1727.440
19,1730.311
20,1732.523
21,1734.583
22,1735.821
23,1737.429
24,1739.125
25,1740.517
26,1741.494
27,1742.740
28,1744.050
29,1745.173
30,1746.368
31,1747.811
32,1748.534
33,1749.775
34,1750.356
35,1751.592
36,1753.378
37,1754.116
38,1755.998
39,1757.071
40,1757.483
41,1757.790
42,1758.808
43,1759.889
44,1760.576
45,1761.847
46,1762.617
47,1763.812
48,1765.216
49,1766.176
50,1767.026
51,1768.504
52,1769.480
53,1769.740
54,1770.932
55,1771.988
56,1772.763
57,1773.331
58,1774.862
59,1775.747
60,1776.603
61,1777.383
62,1778.882
63,1779.954
64,1780.482
65,1781.675
66,1782.467
67,1783.257
68,1784.304
69,1785.334
70,1786.109
71,1786.970
72,1788.000
73,1790.559
74,1791.157
75,1791.893
76,1794.033
77,1795.390
78,1795.624
79,1797.560
80,1799.357
81,1800.167
82,1801.941
83,1803.868
84,1806.586
85,1808.502
86,1810.826
87,1815.674
88,1821.630
89,1832.403
90,1848.033
91,1871.370
92,1926.004
93,1958.172
94,1989.134
95,2617.945
96,2642.198
97,2658.353
98,2786.883
99,2897.397
100,31762.332
