Percentage served,Time in ms
0,1467.097
1,2252.384
2,2256.164
3,2260.434
4,2265.385
5,2267.607
6,2267.757
7,2270.922
8,2272.521
9,2274.868
10,2276.124
11,2278.619
12,2280.080
13,2281.674
14,2282.415
15,2283.338
16,2285.058
17,2285.721
18,2287.325
19,2287.739
20,2289.746
21,2291.674
22,2292.783
23,2294.771
24,2296.349
25,2296.944
26,2297.249
27,2298.956
28,2299.660
29,2300.004
30,2300.257
31,2300.888
32,2302.169
33,2302.345
34,2303.987
35,2305.535
36,2306.682
37,2308.354
38,2311.392
39,2313.543
40,2313.974
41,2314.737
42,2315.681
43,2316.830
44,2319.925
45,2320.459
46,2320.678
47,2321.600
48,2325.114
49,2325.598
50,2326.734
51,2327.469
52,2328.211
53,2330.207
54,2332.343
55,2334.395
56,2340.901
57,2346.798
58,2348.283
59,2348.770
60,2354.951
61,2360.256
62,2375.914
63,2397.082
64,2405.492
65,2420.918
66,2446.280
67,4505.345
68,4538.087
69,4547.348
70,4563.264
71,4567.542
72,4568.623
73,4573.525
74,4574.991
75,4579.452
76,4585.122
77,4587.170
78,4589.224
79,4597.346
80,4602.219
81,4603.207
82,4608.467
83,4612.179
84,4616.056
85,4620.532
86,4622.870
87,4625.724
88,4628.048
89,4634.164
90,4638.407
91,4641.712
92,4646.242
93,4654.423
94,4658.725
95,4669.127
96,4701.121
97,4724.177
98,4745.235
99,4801.185
100,4882.654
