starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 17 13:18:57 2016	1460899137	4	1464	1467	693
Sun Apr 17 13:13:26 2016	1460898806	755	1483	2238	735
Sun Apr 17 13:13:26 2016	1460898806	3	2235	2238	1483
Sun Apr 17 13:15:55 2016	1460898955	739	1512	2251	759
Sun Apr 17 13:15:55 2016	1460898955	3	2248	2251	1511
Sun Apr 17 13:14:34 2016	1460898874	749	1503	2252	751
Sun Apr 17 13:14:34 2016	1460898874	3	2250	2252	1503
Sun Apr 17 13:14:41 2016	1460898881	752	1504	2256	753
Sun Apr 17 13:14:41 2016	1460898881	4	2252	2256	1504
Sun Apr 17 13:12:47 2016	1460898767	732	1525	2256	754
Sun Apr 17 13:12:47 2016	1460898767	3	2253	2256	1524
Sun Apr 17 13:14:48 2016	1460898888	757	1502	2260	749
Sun Apr 17 13:14:09 2016	1460898849	747	1512	2260	762
Sun Apr 17 13:14:48 2016	1460898888	2	2258	2260	1502
Sun Apr 17 13:14:09 2016	1460898849	3	2257	2260	1512
Sun Apr 17 13:13:10 2016	1460898790	759	1501	2260	754
Sun Apr 17 13:13:10 2016	1460898790	4	2257	2260	1501
Sun Apr 17 13:14:50 2016	1460898890	755	1510	2265	747
Sun Apr 17 13:14:50 2016	1460898890	4	2261	2265	1510
Sun Apr 17 13:13:49 2016	1460898829	756	1509	2265	757
Sun Apr 17 13:13:49 2016	1460898829	3	2262	2265	1509
Sun Apr 17 13:15:44 2016	1460898944	753	1513	2266	770
Sun Apr 17 13:15:44 2016	1460898944	4	2262	2266	1512
Sun Apr 17 13:13:19 2016	1460898799	757	1510	2267	753
Sun Apr 17 13:13:19 2016	1460898799	4	2263	2267	1510
Sun Apr 17 13:12:51 2016	1460898771	761	1506	2268	762
Sun Apr 17 13:12:51 2016	1460898771	4	2264	2268	1506
Sun Apr 17 13:13:28 2016	1460898808	743	1525	2268	793
Sun Apr 17 13:13:28 2016	1460898808	4	2264	2268	1525
Sun Apr 17 13:13:53 2016	1460898833	4	2264	2268	1517
Sun Apr 17 13:13:53 2016	1460898833	751	1517	2268	778
Sun Apr 17 13:15:41 2016	1460898941	748	1521	2269	748
Sun Apr 17 13:15:41 2016	1460898941	3	2265	2269	1521
Sun Apr 17 13:15:50 2016	1460898950	737	1533	2271	766
Sun Apr 17 13:15:50 2016	1460898950	3	2268	2271	1533
Sun Apr 17 13:13:51 2016	1460898831	760	1511	2271	748
Sun Apr 17 13:13:51 2016	1460898831	4	2267	2271	1510
Sun Apr 17 13:14:28 2016	1460898868	3	2268	2272	1513
Sun Apr 17 13:14:28 2016	1460898868	758	1513	2272	749
Sun Apr 17 13:15:14 2016	1460898914	757	1516	2272	755
Sun Apr 17 13:15:14 2016	1460898914	3	2270	2273	1516
Sun Apr 17 13:14:14 2016	1460898854	764	1509	2273	748
Sun Apr 17 13:14:14 2016	1460898854	3	2269	2273	1509
Sun Apr 17 13:13:46 2016	1460898826	4	2270	2274	1513
Sun Apr 17 13:13:46 2016	1460898826	760	1514	2274	755
Sun Apr 17 13:13:35 2016	1460898815	737	1538	2275	766
Sun Apr 17 13:13:35 2016	1460898815	3	2272	2275	1538
Sun Apr 17 13:14:18 2016	1460898858	745	1531	2276	750
Sun Apr 17 13:14:18 2016	1460898858	3	2273	2276	1531
Sun Apr 17 13:13:58 2016	1460898838	3	2273	2276	1525
Sun Apr 17 13:13:58 2016	1460898838	751	1525	2276	755
Sun Apr 17 13:15:30 2016	1460898930	3	2273	2276	1512
Sun Apr 17 13:15:30 2016	1460898930	764	1513	2276	763
Sun Apr 17 13:18:24 2016	1460899104	4	2274	2277	1518
Sun Apr 17 13:18:24 2016	1460899104	759	1518	2277	747
Sun Apr 17 13:15:32 2016	1460898932	735	1544	2279	771
Sun Apr 17 13:15:32 2016	1460898932	3	2276	2279	1544
Sun Apr 17 13:18:17 2016	1460899097	751	1528	2279	767
Sun Apr 17 13:18:17 2016	1460899097	3	2276	2280	1528
Sun Apr 17 13:17:24 2016	1460899044	769	1511	2280	747
Sun Apr 17 13:17:24 2016	1460899044	3	2277	2280	1511
Sun Apr 17 13:13:21 2016	1460898801	761	1520	2281	747
Sun Apr 17 13:13:21 2016	1460898801	4	2277	2281	1520
Sun Apr 17 13:13:03 2016	1460898783	3	2278	2281	1529
Sun Apr 17 13:13:03 2016	1460898783	752	1529	2281	758
Sun Apr 17 13:14:05 2016	1460898845	3	2278	2282	1536
Sun Apr 17 13:14:05 2016	1460898845	746	1536	2282	762
Sun Apr 17 13:14:32 2016	1460898872	3	2279	2282	1524
Sun Apr 17 13:14:32 2016	1460898872	758	1524	2282	754
Sun Apr 17 13:14:23 2016	1460898863	742	1540	2282	767
Sun Apr 17 13:12:44 2016	1460898764	778	1505	2282	762
Sun Apr 17 13:14:23 2016	1460898863	3	2279	2282	1540
Sun Apr 17 13:12:44 2016	1460898764	4	2279	2283	1504
Sun Apr 17 13:17:19 2016	1460899039	765	1517	2283	772
Sun Apr 17 13:17:19 2016	1460899039	4	2279	2283	1517
Sun Apr 17 13:17:01 2016	1460899021	765	1518	2283	747
Sun Apr 17 13:17:01 2016	1460899021	4	2280	2283	1518
Sun Apr 17 13:12:33 2016	1460898753	1	2282	2284	2218
Sun Apr 17 13:12:33 2016	1460898753	66	2218	2284	1495
Sun Apr 17 13:12:33 2016	1460898753	789	1495	2284	747
Sun Apr 17 13:12:56 2016	1460898776	760	1525	2285	757
Sun Apr 17 13:12:56 2016	1460898776	4	2281	2285	1525
Sun Apr 17 13:17:22 2016	1460899042	755	1531	2286	768
Sun Apr 17 13:17:22 2016	1460899042	3	2282	2286	1530
