starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 17 12:35:21 2016	1460896521	2	946	948	437
Sun Apr 17 12:33:50 2016	1460896430	443	877	1320	440
Sun Apr 17 12:33:50 2016	1460896430	2	1318	1320	876
Sun Apr 17 12:32:51 2016	1460896371	2	1325	1327	894
Sun Apr 17 12:32:51 2016	1460896371	433	894	1327	446
Sun Apr 17 12:34:56 2016	1460896496	446	884	1330	446
Sun Apr 17 12:34:56 2016	1460896496	2	1329	1330	884
Sun Apr 17 12:34:46 2016	1460896486	2	1330	1332	892
Sun Apr 17 12:34:46 2016	1460896486	440	892	1332	447
Sun Apr 17 12:34:30 2016	1460896470	2	1331	1333	888
Sun Apr 17 12:34:30 2016	1460896470	445	888	1333	438
Sun Apr 17 12:34:52 2016	1460896492	440	894	1335	448
Sun Apr 17 12:34:52 2016	1460896492	2	1333	1335	894
Sun Apr 17 12:34:32 2016	1460896472	440	896	1336	443
Sun Apr 17 12:34:32 2016	1460896472	2	1334	1336	896
Sun Apr 17 12:34:45 2016	1460896485	2	1334	1336	887
Sun Apr 17 12:34:45 2016	1460896485	449	887	1336	441
Sun Apr 17 12:34:41 2016	1460896481	445	892	1336	440
Sun Apr 17 12:34:41 2016	1460896481	2	1335	1336	892
Sun Apr 17 12:33:31 2016	1460896411	449	889	1338	447
Sun Apr 17 12:33:31 2016	1460896411	1	1337	1338	889
Sun Apr 17 12:32:22 2016	1460896342	451	891	1341	450
Sun Apr 17 12:32:22 2016	1460896342	2	1340	1341	891
Sun Apr 17 12:34:57 2016	1460896497	445	898	1343	448
Sun Apr 17 12:34:57 2016	1460896497	2	1342	1343	898
Sun Apr 17 12:34:42 2016	1460896482	443	901	1344	452
Sun Apr 17 12:34:42 2016	1460896482	2	1342	1344	901
Sun Apr 17 12:32:18 2016	1460896338	443	901	1344	456
Sun Apr 17 12:32:18 2016	1460896338	2	1342	1344	901
Sun Apr 17 12:34:37 2016	1460896477	452	892	1344	445
Sun Apr 17 12:34:37 2016	1460896477	2	1343	1344	892
Sun Apr 17 12:34:44 2016	1460896484	457	887	1345	441
Sun Apr 17 12:34:44 2016	1460896484	1	1343	1345	887
Sun Apr 17 12:33:49 2016	1460896429	444	901	1345	457
Sun Apr 17 12:33:49 2016	1460896429	2	1343	1345	900
Sun Apr 17 12:32:33 2016	1460896353	449	897	1345	444
Sun Apr 17 12:32:33 2016	1460896353	2	1343	1345	896
Sun Apr 17 12:31:39 2016	1460896299	449	898	1347	451
Sun Apr 17 12:31:39 2016	1460896299	2	1346	1347	898
Sun Apr 17 12:34:33 2016	1460896473	2	1347	1348	899
Sun Apr 17 12:34:33 2016	1460896473	449	900	1348	445
Sun Apr 17 12:34:53 2016	1460896493	436	913	1349	451
Sun Apr 17 12:34:53 2016	1460896493	2	1347	1349	913
Sun Apr 17 12:34:05 2016	1460896445	445	905	1349	459
Sun Apr 17 12:34:05 2016	1460896445	2	1347	1349	904
Sun Apr 17 12:32:15 2016	1460896335	457	893	1350	452
Sun Apr 17 12:32:15 2016	1460896335	2	1348	1350	893
Sun Apr 17 12:31:44 2016	1460896304	448	902	1350	457
Sun Apr 17 12:31:44 2016	1460896304	2	1348	1350	902
Sun Apr 17 12:34:49 2016	1460896489	2	1349	1351	903
Sun Apr 17 12:34:49 2016	1460896489	448	903	1351	453
Sun Apr 17 12:33:21 2016	1460896401	446	906	1352	460
Sun Apr 17 12:33:21 2016	1460896401	2	1350	1352	906
Sun Apr 17 12:32:35 2016	1460896355	452	901	1352	451
Sun Apr 17 12:32:35 2016	1460896355	2	1351	1353	900
Sun Apr 17 12:34:51 2016	1460896491	448	904	1353	456
