Percentage served,Time in ms
0,2707.235
1,4093.737
2,4095.708
3,4108.653
4,4112.915
5,4117.840
6,4121.125
7,4125.250
8,4127.878
9,4131.067
10,4132.799
11,4136.064
12,4138.571
13,4142.772
14,4144.416
15,4146.853
16,4150.881
17,4155.720
18,4158.435
19,4169.262
20,4171.798
21,4173.494
22,4174.268
23,4175.903
24,4179.625
25,4185.311
26,4195.200
27,4197.470
28,4200.185
29,4208.495
30,4211.882
31,4215.055
32,4223.048
33,4229.571
34,4233.296
35,4239.774
36,4243.394
37,4254.091
38,4267.217
39,4293.243
40,4328.315
41,4508.004
42,4508.838
43,4516.904
44,4519.123
45,4528.865
46,4533.300
47,4538.785
48,4541.229
49,4542.241
50,4542.865
51,4547.055
52,4548.394
53,4551.319
54,4554.261
55,4556.424
56,4561.295
57,4566.340
58,4569.709
59,4578.649
60,4582.704
61,4591.133
62,4598.901
63,4606.318
64,4615.004
65,4627.962
66,4780.749
67,8223.921
68,8255.539
69,8265.533
70,8277.300
71,8294.595
72,8303.476
73,8312.282
74,8321.518
75,8328.383
76,8335.388
77,8340.702
78,8346.949
79,8357.032
80,8381.812
81,8400.851
82,8428.923
83,8441.089
84,8450.594
85,8466.641
86,8481.330
87,8642.296
88,9053.241
89,9061.982
90,9071.711
91,9088.494
92,9096.947
93,9106.256
94,9120.572
95,9130.745
96,9141.644
97,9156.610
98,9189.303
99,9328.710
100,12957.919
