starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 17 13:06:14 2016	1460898374	3	2705	2707	1269
Sun Apr 17 13:05:24 2016	1460898324	1371	2709	4080	1368
Sun Apr 17 13:05:24 2016	1460898324	2	4079	4080	2709
Sun Apr 17 13:05:37 2016	1460898337	1364	2724	4089	1362
Sun Apr 17 13:05:37 2016	1460898337	3	4086	4089	2724
Sun Apr 17 13:06:10 2016	1460898370	1341	2753	4094	1393
Sun Apr 17 13:06:10 2016	1460898370	3	4091	4094	2752
Sun Apr 17 13:01:59 2016	1460898119	1345	2748	4094	1370
Sun Apr 17 13:01:59 2016	1460898119	3	4091	4094	2748
Sun Apr 17 13:01:47 2016	1460898107	1374	2721	4096	1380
Sun Apr 17 13:01:47 2016	1460898107	3	4093	4096	2721
Sun Apr 17 12:59:45 2016	1460897985	1338	2768	4107	1383
Sun Apr 17 12:59:45 2016	1460897985	3	4104	4107	2768
Sun Apr 17 13:01:34 2016	1460898094	1375	2733	4108	1328
Sun Apr 17 13:01:34 2016	1460898094	2	4106	4108	2733
Sun Apr 17 12:59:20 2016	1460897960	2	4107	4109	2746
Sun Apr 17 12:59:20 2016	1460897960	1362	2746	4109	1340
Sun Apr 17 13:02:54 2016	1460898174	1396	2714	4111	1370
Sun Apr 17 13:02:54 2016	1460898174	3	4108	4111	2714
Sun Apr 17 13:01:00 2016	1460898060	3	4110	4113	2709
Sun Apr 17 13:01:00 2016	1460898060	1403	2710	4113	1332
Sun Apr 17 13:00:02 2016	1460898002	3	4113	4116	2767
Sun Apr 17 13:00:02 2016	1460898002	1349	2767	4117	1377
Sun Apr 17 12:59:12 2016	1460897952	1335	2783	4117	1404
Sun Apr 17 12:59:12 2016	1460897952	1	4116	4117	2783
Sun Apr 17 13:04:01 2016	1460898241	1415	2703	4118	1378
Sun Apr 17 13:04:01 2016	1460898241	3	4115	4118	2703
Sun Apr 17 12:59:33 2016	1460897973	3	4116	4119	2723
Sun Apr 17 12:59:33 2016	1460897973	1396	2723	4119	1378
Sun Apr 17 13:05:41 2016	1460898341	1397	2724	4121	1375
Sun Apr 17 13:05:41 2016	1460898341	3	4118	4121	2724
Sun Apr 17 13:02:33 2016	1460898153	3	4119	4122	2777
Sun Apr 17 13:02:33 2016	1460898153	1344	2778	4122	1400
Sun Apr 17 13:04:47 2016	1460898287	0	4122	4123	2777
