starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 17 10:50:36 2016	1460890236	447	901	1347	451
Sun Apr 17 10:50:36 2016	1460890236	2	1346	1347	900
Sun Apr 17 10:54:49 2016	1460890489	474	924	1399	458
Sun Apr 17 10:50:34 2016	1460890234	1	1437	1438	1397
Sun Apr 17 10:50:34 2016	1460890234	41	1397	1438	900
Sun Apr 17 10:50:34 2016	1460890234	538	900	1438	448
Sun Apr 17 10:51:08 2016	1460890268	33	1459	1492	908
Sun Apr 17 10:51:29 2016	1460890289	432	1327	1759	881
Sun Apr 17 10:51:36 2016	1460890296	431	1333	1765	885
Sun Apr 17 10:51:24 2016	1460890284	452	1316	1768	888
Sun Apr 17 10:51:25 2016	1460890285	428	1340	1769	888
Sun Apr 17 10:51:35 2016	1460890295	453	1317	1769	885
Sun Apr 17 10:51:39 2016	1460890299	447	1327	1774	886
Sun Apr 17 10:51:42 2016	1460890302	448	1327	1775	892
Sun Apr 17 10:52:30 2016	1460890350	452	1323	1775	891
Sun Apr 17 10:52:04 2016	1460890324	450	1325	1775	891
Sun Apr 17 10:51:32 2016	1460890292	441	1335	1776	885
Sun Apr 17 10:52:41 2016	1460890361	444	1333	1777	885
Sun Apr 17 10:51:24 2016	1460890284	445	1332	1777	880
Sun Apr 17 10:51:29 2016	1460890289	447	1330	1777	899
Sun Apr 17 10:53:17 2016	1460890397	437	1341	1778	887
Sun Apr 17 10:52:58 2016	1460890378	452	1326	1778	889
Sun Apr 17 10:52:40 2016	1460890360	454	1324	1779	881
Sun Apr 17 10:51:21 2016	1460890281	451	1328	1779	883
Sun Apr 17 10:52:47 2016	1460890367	450	1329	1779	880
Sun Apr 17 10:52:37 2016	1460890357	448	1331	1779	896
Sun Apr 17 10:52:05 2016	1460890325	435	1345	1780	891
Sun Apr 17 10:52:29 2016	1460890349	452	1328	1780	884
Sun Apr 17 10:52:29 2016	1460890349	444	1336	1780	885
Sun Apr 17 10:51:28 2016	1460890288	470	1310	1781	879
Sun Apr 17 10:52:30 2016	1460890350	433	1348	1781	896
Sun Apr 17 10:53:06 2016	1460890386	449	1332	1781	895
Sun Apr 17 10:51:24 2016	1460890284	457	1325	1782	880
Sun Apr 17 10:53:46 2016	1460890426	436	1346	1782	891
Sun Apr 17 10:52:27 2016	1460890347	446	1336	1782	900
Sun Apr 17 10:51:43 2016	1460890303	435	1348	1782	897
Sun Apr 17 10:54:04 2016	1460890444	439	1344	1783	895
