Percentage served,Time in ms
0,1411.502
1,2162.198
2,2171.639
3,2174.792
4,2178.949
5,2185.992
6,2186.602
7,2188.795
8,2190.134
9,2193.434
10,2198.153
11,2205.436
12,2208.608
13,2216.371
14,2218.466
15,2223.248
16,2241.880
17,2247.879
18,2259.043
19,2281.764
20,2298.724
21,2400.057
22,2401.126
23,2408.156
24,2411.625
25,2414.675
26,2414.836
27,2416.811
28,2418.828
29,2420.279
30,2422.419
31,2422.739
32,2424.246
33,2426.421
34,2426.746
35,2428.796
36,2430.073
37,2432.054
38,2433.905
39,2437.551
40,2439.092
41,2439.900
42,2440.760
43,2443.212
44,2443.856
45,2446.712
46,2449.535
47,2450.368
48,2455.089
49,2456.479
50,2458.935
51,2461.140
52,2463.311
53,2465.372
54,2466.187
55,2471.041
56,2472.277
57,2473.617
58,2481.962
59,2485.089
60,2490.150
61,2502.629
62,2516.013
63,2541.464
64,2548.186
65,3805.792
66,4348.760
67,4369.206
68,4375.455
69,4389.197
70,4400.558
71,4415.544
72,4442.421
73,4454.839
74,4461.555
75,4475.636
76,4736.318
77,4829.180
78,4841.182
79,4845.207
80,4851.644
81,4863.405
82,4865.176
83,4872.893
84,4880.206
85,4886.154
86,4889.982
87,4894.472
88,4897.440
89,4899.411
90,4901.939
91,4907.471
92,4915.832
93,4928.831
94,4937.724
95,4945.592
96,4986.085
97,5045.373
98,6045.191
99,8273.477
100,8641.639
