Percentage served,Time in ms
0,808.157
1,1236.897
2,1241.726
3,1245.418
4,1246.443
5,1247.469
6,1250.072
7,1250.482
8,1252.488
9,1254.104
10,1254.372
11,1254.783
12,1255.239
13,1255.638
14,1256.819
15,1257.874
16,1258.853
17,1260.059
18,1260.680
19,1261.109
20,1261.219
21,1262.274
22,1262.644
23,1263.937
24,1264.194
25,1265.133
26,1265.964
27,1267.252
28,1267.885
29,1268.120
30,1269.555
31,1269.906
32,1270.641
33,1271.499
34,1272.133
35,1272.495
36,1272.683
37,1274.190
38,1274.750
39,1276.251
40,1276.801
41,1278.104
42,1278.441
43,1278.910
44,1280.022
45,1281.822
46,1282.136
47,1282.966
48,1284.912
49,1285.626
50,1286.056
51,1287.060
52,1287.682
53,1289.438
54,1291.222
55,1292.718
56,1293.337
57,1297.445
58,1300.811
59,1301.519
60,1304.845
61,1307.576
62,1315.070
63,1316.120
64,1328.402
65,1335.787
66,1437.930
67,2474.955
68,2499.057
69,2503.432
70,2507.783
71,2511.576
72,2516.692
73,2520.283
74,2522.652
75,2524.623
76,2526.489
77,2528.425
78,2531.684
79,2534.532
80,2536.202
81,2538.079
82,2540.286
83,2542.025
84,2543.807
85,2548.140
86,2549.951
87,2552.712
88,2555.614
89,2558.947
90,2563.437
91,2569.350
92,2575.547
93,2580.687
94,2585.929
95,2589.631
96,2594.198
97,2600.353
98,2609.594
99,2632.088
100,2853.367
