starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 17 13:25:07 2016	1460899507	2	806	808	374
Sun Apr 17 13:22:24 2016	1460899344	412	819	1231	413
Sun Apr 17 13:24:00 2016	1460899440	412	822	1235	417
Sun Apr 17 13:24:00 2016	1460899440	2	1233	1235	822
Sun Apr 17 13:24:13 2016	1460899453	419	818	1237	410
Sun Apr 17 13:24:13 2016	1460899453	2	1235	1237	818
Sun Apr 17 13:22:19 2016	1460899339	410	829	1239	418
Sun Apr 17 13:22:19 2016	1460899339	1	1239	1239	829
Sun Apr 17 13:22:24 2016	1460899344	10	1230	1240	819
Sun Apr 17 13:22:29 2016	1460899349	1	1241	1242	842
Sun Apr 17 13:22:29 2016	1460899349	399	843	1242	422
Sun Apr 17 13:22:43 2016	1460899363	405	837	1242	415
Sun Apr 17 13:22:43 2016	1460899363	2	1240	1242	837
Sun Apr 17 13:22:25 2016	1460899345	414	831	1245	417
Sun Apr 17 13:22:25 2016	1460899345	2	1243	1245	831
Sun Apr 17 13:22:40 2016	1460899360	413	832	1245	417
Sun Apr 17 13:25:06 2016	1460899506	417	828	1245	414
Sun Apr 17 13:22:40 2016	1460899360	2	1244	1245	832
Sun Apr 17 13:25:06 2016	1460899506	2	1243	1245	828
Sun Apr 17 13:22:53 2016	1460899373	411	836	1246	416
Sun Apr 17 13:22:53 2016	1460899373	2	1245	1246	836
Sun Apr 17 13:22:11 2016	1460899331	1	1246	1247	832
Sun Apr 17 13:22:11 2016	1460899331	414	832	1247	418
Sun Apr 17 13:23:17 2016	1460899397	418	829	1247	411
Sun Apr 17 13:23:17 2016	1460899397	2	1246	1247	829
Sun Apr 17 13:22:45 2016	1460899365	424	824	1247	400
Sun Apr 17 13:22:45 2016	1460899365	2	1246	1248	823
Sun Apr 17 13:23:49 2016	1460899429	2	1248	1250	830
Sun Apr 17 13:23:49 2016	1460899429	419	831	1250	417
Sun Apr 17 13:23:20 2016	1460899400	404	846	1250	431
Sun Apr 17 13:22:13 2016	1460899333	424	826	1250	416
Sun Apr 17 13:22:13 2016	1460899333	2	1248	1250	826
Sun Apr 17 13:23:20 2016	1460899400	2	1248	1250	846
Sun Apr 17 13:23:14 2016	1460899394	416	834	1250	419
Sun Apr 17 13:23:14 2016	1460899394	2	1249	1250	834
Sun Apr 17 13:24:52 2016	1460899492	417	834	1250	418
Sun Apr 17 13:24:52 2016	1460899492	2	1249	1251	834
Sun Apr 17 13:23:03 2016	1460899383	416	836	1252	416
Sun Apr 17 13:23:03 2016	1460899383	2	1251	1252	836
Sun Apr 17 13:24:45 2016	1460899485	409	843	1252	419
Sun Apr 17 13:24:45 2016	1460899485	2	1251	1252	843
Sun Apr 17 13:23:37 2016	1460899417	413	840	1253	418
Sun Apr 17 13:23:37 2016	1460899417	2	1251	1253	839
Sun Apr 17 13:23:54 2016	1460899434	415	839	1254	418
Sun Apr 17 13:23:54 2016	1460899434	2	1252	1254	838
Sun Apr 17 13:22:42 2016	1460899362	409	845	1254	426
Sun Apr 17 13:22:42 2016	1460899362	2	1252	1254	844
Sun Apr 17 13:22:39 2016	1460899359	428	826	1254	409
Sun Apr 17 13:22:39 2016	1460899359	2	1252	1254	826
Sun Apr 17 13:23:09 2016	1460899389	418	836	1254	416
Sun Apr 17 13:23:09 2016	1460899389	2	1253	1254	836
Sun Apr 17 13:23:53 2016	1460899433	424	830	1254	409
Sun Apr 17 13:23:53 2016	1460899433	2	1253	1255	830
Sun Apr 17 13:22:35 2016	1460899355	426	829	1255	404
Sun Apr 17 13:22:15 2016	1460899335	419	836	1255	423
Sun Apr 17 13:22:15 2016	1460899335	2	1253	1255	836
Sun Apr 17 13:22:35 2016	1460899355	2	1253	1255	829
Sun Apr 17 13:23:35 2016	1460899415	2	1253	1255	835
Sun Apr 17 13:23:35 2016	1460899415	420	835	1255	416
Sun Apr 17 13:22:44 2016	1460899364	410	845	1255	426
Sun Apr 17 13:22:49 2016	1460899369	421	834	1255	424
Sun Apr 17 13:22:44 2016	1460899364	2	1254	1255	845
Sun Apr 17 13:22:49 2016	1460899369	2	1253	1255	834
Sun Apr 17 13:23:26 2016	1460899406	427	829	1255	414
Sun Apr 17 13:23:26 2016	1460899406	1	1255	1255	828
Sun Apr 17 13:21:46 2016	1460899306	418	838	1256	416
Sun Apr 17 13:22:20 2016	1460899340	2	1254	1256	833
Sun Apr 17 13:22:20 2016	1460899340	423	833	1256	426
Sun Apr 17 13:21:46 2016	1460899306	2	1254	1256	838
Sun Apr 17 13:22:48 2016	1460899368	2	1255	1257	836
Sun Apr 17 13:22:48 2016	1460899368	421	836	1257	415
Sun Apr 17 13:24:26 2016	1460899466	414	843	1257	422
Sun Apr 17 13:24:26 2016	1460899466	2	1255	1257	842
Sun Apr 17 13:23:12 2016	1460899392	416	842	1258	421
Sun Apr 17 13:23:12 2016	1460899392	1	1257	1258	842
Sun Apr 17 13:21:44 2016	1460899304	418	840	1258	423
Sun Apr 17 13:21:44 2016	1460899304	2	1256	1258	840
Sun Apr 17 13:24:30 2016	1460899470	413	845	1258	429
Sun Apr 17 13:24:30 2016	1460899470	2	1256	1258	845
Sun Apr 17 13:22:31 2016	1460899351	2	1257	1259	836
Sun Apr 17 13:22:31 2016	1460899351	423	836	1259	418
Sun Apr 17 13:22:52 2016	1460899372	424	836	1260	419
Sun Apr 17 13:23:30 2016	1460899410	421	838	1260	420
Sun Apr 17 13:22:52 2016	1460899372	2	1258	1260	836
Sun Apr 17 13:23:30 2016	1460899410	1	1259	1260	838
Sun Apr 17 13:23:45 2016	1460899425	2	1258	1260	843
Sun Apr 17 13:23:45 2016	1460899425	417	844	1260	417
Sun Apr 17 13:23:43 2016	1460899423	429	831	1260	415
Sun Apr 17 13:23:43 2016	1460899423	2	1259	1260	831
Sun Apr 17 13:23:13 2016	1460899393	420	841	1261	428
Sun Apr 17 13:23:08 2016	1460899388	2	1259	1261	840
Sun Apr 17 13:23:08 2016	1460899388	420	840	1261	420
Sun Apr 17 13:23:13 2016	1460899393	2	1259	1261	841
Sun Apr 17 13:23:44 2016	1460899424	413	848	1261	416
Sun Apr 17 13:23:44 2016	1460899424	2	1259	1261	848
Sun Apr 17 13:22:16 2016	1460899336	409	852	1261	422
Sun Apr 17 13:24:21 2016	1460899461	410	851	1261	428
