starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 17 13:34:47 2016	1460900087	1	516	517	251
Sun Apr 17 13:34:16 2016	1460900056	231	498	729	250
Sun Apr 17 13:34:16 2016	1460900056	1	728	729	498
Sun Apr 17 13:33:13 2016	1460899993	246	495	741	249
Sun Apr 17 13:33:13 2016	1460899993	1	740	741	495
Sun Apr 17 13:34:03 2016	1460900043	1	741	742	496
Sun Apr 17 13:34:03 2016	1460900043	245	497	742	248
Sun Apr 17 13:33:00 2016	1460899980	249	495	744	247
Sun Apr 17 13:33:00 2016	1460899980	1	742	744	495
Sun Apr 17 13:34:28 2016	1460900068	246	501	748	253
Sun Apr 17 13:34:28 2016	1460900068	1	747	748	501
Sun Apr 17 13:33:33 2016	1460900013	1	748	749	504
Sun Apr 17 13:33:33 2016	1460900013	244	505	749	248
Sun Apr 17 13:34:41 2016	1460900081	1	748	750	503
Sun Apr 17 13:34:41 2016	1460900081	246	503	750	252
Sun Apr 17 13:33:27 2016	1460900007	246	506	752	247
Sun Apr 17 13:33:27 2016	1460900007	1	751	752	506
Sun Apr 17 13:34:22 2016	1460900062	253	500	753	244
Sun Apr 17 13:34:22 2016	1460900062	1	752	753	500
Sun Apr 17 13:34:37 2016	1460900077	248	505	753	260
Sun Apr 17 13:34:37 2016	1460900077	1	752	753	505
Sun Apr 17 13:33:15 2016	1460899995	248	506	754	245
Sun Apr 17 13:34:24 2016	1460900064	256	498	754	238
Sun Apr 17 13:33:15 2016	1460899995	1	753	754	506
Sun Apr 17 13:34:24 2016	1460900064	1	752	754	498
Sun Apr 17 13:33:36 2016	1460900016	262	492	754	249
Sun Apr 17 13:33:36 2016	1460900016	1	753	754	492
Sun Apr 17 13:32:48 2016	1460899968	247	507	754	245
Sun Apr 17 13:32:48 2016	1460899968	2	753	754	506
Sun Apr 17 13:33:02 2016	1460899982	1	753	754	510
Sun Apr 17 13:34:43 2016	1460900083	241	513	755	264
Sun Apr 17 13:34:43 2016	1460900083	1	753	755	513
Sun Apr 17 13:33:02 2016	1460899982	244	510	755	249
Sun Apr 17 13:33:26 2016	1460900006	247	508	755	253
Sun Apr 17 13:33:26 2016	1460900006	1	754	755	507
Sun Apr 17 13:33:23 2016	1460900003	261	494	756	245
Sun Apr 17 13:33:23 2016	1460900003	1	755	756	494
Sun Apr 17 13:33:16 2016	1460899996	246	510	756	262
Sun Apr 17 13:33:16 2016	1460899996	1	755	756	510
Sun Apr 17 13:33:38 2016	1460900018	252	505	757	251
Sun Apr 17 13:33:38 2016	1460900018	1	756	757	505
Sun Apr 17 13:33:17 2016	1460899997	262	496	758	248
Sun Apr 17 13:33:17 2016	1460899997	1	756	758	496
Sun Apr 17 13:33:03 2016	1460899983	244	514	758	264
Sun Apr 17 13:33:03 2016	1460899983	1	757	758	514
Sun Apr 17 13:34:14 2016	1460900054	259	500	759	249
Sun Apr 17 13:33:21 2016	1460900001	248	511	759	249
Sun Apr 17 13:33:21 2016	1460900001	1	757	759	511
Sun Apr 17 13:34:14 2016	1460900054	1	758	759	500
Sun Apr 17 13:33:51 2016	1460900031	253	506	759	255
Sun Apr 17 13:34:26 2016	1460900066	1	758	759	494
Sun Apr 17 13:34:01 2016	1460900041	261	499	759	253
Sun Apr 17 13:34:26 2016	1460900066	265	495	759	247
Sun Apr 17 13:33:51 2016	1460900031	1	758	759	506
Sun Apr 17 13:34:01 2016	1460900041	1	758	759	499
Sun Apr 17 13:33:48 2016	1460900028	257	503	760	251
Sun Apr 17 13:33:48 2016	1460900028	1	759	760	502
Sun Apr 17 13:34:05 2016	1460900045	256	504	760	246
Sun Apr 17 13:34:05 2016	1460900045	1	759	760	503
Sun Apr 17 13:34:25 2016	1460900065	248	512	760	262
Sun Apr 17 13:34:25 2016	1460900065	1	760	761	512
Sun Apr 17 13:33:28 2016	1460900008	1	760	761	521
Sun Apr 17 13:32:56 2016	1460899976	247	515	761	267
Sun Apr 17 13:34:06 2016	1460900046	247	514	761	263
Sun Apr 17 13:34:06 2016	1460900046	1	760	761	514
Sun Apr 17 13:32:58 2016	1460899978	266	495	761	248
