starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 24 12:17:38 2016	1461500258	0	10446	10447	10438
Sun Apr 24 12:20:44 2016	1461500444	0	10610	10610	10602
Sun Apr 24 12:20:03 2016	1461500403	0	10750	10750	10744
Sun Apr 24 12:21:10 2016	1461500470	0	10830	10830	10820
Sun Apr 24 12:25:46 2016	1461500746	0	10954	10954	10946
Sun Apr 24 12:17:39 2016	1461500259	0	10981	10981	10974
Sun Apr 24 12:20:02 2016	1461500402	0	11034	11035	11026
Sun Apr 24 12:21:31 2016	1461500491	0	11103	11104	11096
Sun Apr 24 12:17:13 2016	1461500233	0	11178	11178	11169
Sun Apr 24 12:17:50 2016	1461500270	0	11247	11247	11239
Sun Apr 24 12:21:19 2016	1461500479	0	11339	11340	11333
Sun Apr 24 12:14:15 2016	1461500055	0	11459	11459	11441
Sun Apr 24 12:18:32 2016	1461500312	0	11459	11459	11451
Sun Apr 24 12:18:10 2016	1461500290	0	11462	11462	11452
Sun Apr 24 12:19:55 2016	1461500395	0	11494	11495	11487
Sun Apr 24 12:13:52 2016	1461500032	0	11512	11512	11506
Sun Apr 24 12:19:05 2016	1461500345	0	11547	11548	11539
Sun Apr 24 12:13:18 2016	1461499998	0	11576	11576	11571
Sun Apr 24 12:15:30 2016	1461500130	0	11606	11606	11592
Sun Apr 24 12:12:12 2016	1461499932	0	11659	11660	11652
Sun Apr 24 12:26:17 2016	1461500777	0	11695	11695	11690
Sun Apr 24 12:12:36 2016	1461499956	0	11712	11712	11701
Sun Apr 24 12:21:29 2016	1461500489	0	11761	11761	11752
Sun Apr 24 12:16:02 2016	1461500162	0	11810	11810	11799
Sun Apr 24 12:25:18 2016	1461500718	0	11819	11820	11809
Sun Apr 24 12:23:50 2016	1461500630	0	11829	11830	11821
Sun Apr 24 12:23:15 2016	1461500595	0	11841	11841	11834
Sun Apr 24 12:16:28 2016	1461500188	0	11870	11871	11865
Sun Apr 24 12:14:43 2016	1461500083	0	11878	11879	11871
Sun Apr 24 12:18:26 2016	1461500306	0	11899	11899	11890
Sun Apr 24 12:12:24 2016	1461499944	0	11929	11929	11924
Sun Apr 24 12:24:46 2016	1461500686	0	11948	11948	11942
Sun Apr 24 12:22:36 2016	1461500556	0	11956	11956	11943
Sun Apr 24 12:13:24 2016	1461500004	1	11990	11990	11975
Sun Apr 24 12:18:53 2016	1461500333	0	12005	12006	11999
Sun Apr 24 12:24:14 2016	1461500654	0	12008	12008	12002
Sun Apr 24 12:19:06 2016	1461500346	0	12014	12015	12007
Sun Apr 24 12:17:12 2016	1461500232	0	12077	12077	12069
Sun Apr 24 12:21:17 2016	1461500477	0	12083	12083	12074
Sun Apr 24 12:13:12 2016	1461499992	0	12106	12107	12097
Sun Apr 24 12:22:51 2016	1461500571	0	12119	12119	12111
Sun Apr 24 12:24:58 2016	1461500698	0	12124	12124	12117
Sun Apr 24 12:22:39 2016	1461500559	0	12184	12184	12173
Sun Apr 24 12:12:25 2016	1461499945	0	12235	12235	12226
Sun Apr 24 12:13:05 2016	1461499985	0	12249	12250	12239
Sun Apr 24 12:24:02 2016	1461500642	0	12288	12288	12280
Sun Apr 24 12:26:14 2016	1461500774	0	12299	12299	12288
Sun Apr 24 12:16:31 2016	1461500191	0	12309	12310	12299
Sun Apr 24 12:17:01 2016	1461500221	0	12316	12317	12310
Sun Apr 24 12:23:59 2016	1461500639	0	12374	12375	12369
Sun Apr 24 12:23:50 2016	1461500630	0	12388	12389	12380
Sun Apr 24 12:14:44 2016	1461500084	0	12406	12406	12396
Sun Apr 24 12:22:34 2016	1461500554	0	12459	12460	12450
Sun Apr 24 12:16:15 2016	1461500175	0	12494	12494	12488
Sun Apr 24 12:21:55 2016	1461500515	0	12535	12535	12529
Sun Apr 24 12:15:20 2016	1461500120	0	12574	12575	12566
Sun Apr 24 12:17:58 2016	1461500278	0	12656	12656	12642
Sun Apr 24 12:25:18 2016	1461500718	0	12707	12707	12701
Sun Apr 24 12:22:48 2016	1461500568	0	12763	12763	12756
Sun Apr 24 12:13:50 2016	1461500030	0	12766	12766	12758
Sun Apr 24 12:11:56 2016	1461499916	0	12783	12784	12774
Sun Apr 24 12:26:17 2016	1461500777	0	12801	12801	12794
Sun Apr 24 12:12:37 2016	1461499957	0	12809	12809	12801
Sun Apr 24 12:15:04 2016	1461500104	0	12824	12824	12812
Sun Apr 24 12:12:50 2016	1461499970	0	12843	12844	12827
Sun Apr 24 12:11:56 2016	1461499916	0	12946	12947	12933
Sun Apr 24 12:24:02 2016	1461500642	0	12970	12970	12964
Sun Apr 24 12:14:19 2016	1461500059	0	13092	13093	13085
Sun Apr 24 12:15:17 2016	1461500117	0	13112	13113	13103
Sun Apr 24 12:11:43 2016	1461499903	1	13157	13158	13143
Sun Apr 24 12:11:43 2016	1461499903	55	13404	13459	13397
Sun Apr 24 12:20:37 2016	1461500437	0	13497	13498	13486
Sun Apr 24 12:18:37 2016	1461500317	0	13596	13596	13590
Sun Apr 24 12:25:13 2016	1461500713	0	13781	13781	13770
Sun Apr 24 12:14:55 2016	1461500095	0	13809	13810	13800
Sun Apr 24 12:20:34 2016	1461500434	0	13829	13829	13820
Sun Apr 24 12:16:58 2016	1461500218	0	13841	13842	13831
Sun Apr 24 12:22:20 2016	1461500540	0	13861	13861	13852
Sun Apr 24 12:17:27 2016	1461500247	0	13863	13863	13857
Sun Apr 24 12:17:24 2016	1461500244	0	14043	14043	14023
Sun Apr 24 12:23:36 2016	1461500616	0	14059	14060	14051
Sun Apr 24 12:16:43 2016	1461500203	0	14114	14115	14107
Sun Apr 24 12:20:50 2016	1461500450	0	14133	14133	14124
Sun Apr 24 12:23:27 2016	1461500607	0	14147	14148	14141
Sun Apr 24 12:15:56 2016	1461500156	0	14161	14162	14155
Sun Apr 24 12:11:43 2016	1461499903	14	14154	14168	14144
Sun Apr 24 12:26:26 2016	1461500786	0	14213	14213	14206
Sun Apr 24 12:15:48 2016	1461500148	0	14218	14218	14208
Sun Apr 24 12:18:01 2016	1461500281	0	14221	14222	14213
Sun Apr 24 12:22:26 2016	1461500546	0	14253	14253	14246
Sun Apr 24 12:14:49 2016	1461500089	0	14302	14302	14294
Sun Apr 24 12:23:25 2016	1461500605	0	14316	14317	14306
Sun Apr 24 12:20:48 2016	1461500448	0	14319	14320	14312
Sun Apr 24 12:16:42 2016	1461500202	0	14329	14330	14321
Sun Apr 24 12:25:03 2016	1461500703	0	14364	14365	14357
Sun Apr 24 12:15:40 2016	1461500140	0	14370	14371	14364
Sun Apr 24 12:20:13 2016	1461500413	0	14399	14399	14390
Sun Apr 24 12:22:24 2016	1461500544	0	14402	14402	14395
Sun Apr 24 12:17:41 2016	1461500261	0	14423	14424	14413
Sun Apr 24 12:19:49 2016	1461500389	0	14425	14425	14419
Sun Apr 24 12:18:35 2016	1461500315	0	14434	14435	14426
Sun Apr 24 12:20:14 2016	1461500414	0	14437	14437	14429
Sun Apr 24 12:15:42 2016	1461500142	0	14472	14472	14463
Sun Apr 24 12:21:51 2016	1461500511	0	14475	14475	14467
Sun Apr 24 12:17:24 2016	1461500244	0	14475	14475	14462
Sun Apr 24 12:23:10 2016	1461500590	0	14492	14492	14480
Sun Apr 24 12:13:03 2016	1461499983	0	14492	14493	14483
Sun Apr 24 12:24:15 2016	1461500655	0	14513	14514	14504
Sun Apr 24 12:17:28 2016	1461500248	1	14514	14515	14503
Sun Apr 24 12:21:42 2016	1461500502	0	14517	14517	14505
Sun Apr 24 12:22:05 2016	1461500525	0	14540	14541	14532
Sun Apr 24 12:25:54 2016	1461500754	0	14541	14541	14533
Sun Apr 24 12:22:21 2016	1461500541	0	14552	14553	14544
Sun Apr 24 12:15:29 2016	1461500129	0	14558	14558	14549
Sun Apr 24 12:13:03 2016	1461499983	0	14561	14562	14544
Sun Apr 24 12:21:41 2016	1461500501	0	14588	14588	14582
Sun Apr 24 12:17:14 2016	1461500234	0	14622	14622	14611
Sun Apr 24 12:21:02 2016	1461500462	0	14623	14624	14614
Sun Apr 24 12:25:10 2016	1461500710	0	14655	14655	14648
Sun Apr 24 12:19:34 2016	1461500374	0	14663	14663	14654
Sun Apr 24 12:12:26 2016	1461499946	0	14682	14683	14670
Sun Apr 24 12:22:56 2016	1461500576	0	14704	14704	14693
Sun Apr 24 12:21:37 2016	1461500497	0	14708	14709	14700
Sun Apr 24 12:25:24 2016	1461500724	0	14708	14709	14703
Sun Apr 24 12:22:12 2016	1461500532	0	14718	14719	14713
Sun Apr 24 12:19:32 2016	1461500372	0	14733	14733	14718
Sun Apr 24 12:14:03 2016	1461500043	0	14755	14755	14746
Sun Apr 24 12:16:56 2016	1461500216	0	14761	14762	14756
Sun Apr 24 12:26:41 2016	1461500801	0	14789	14789	14783
Sun Apr 24 12:18:38 2016	1461500318	0	14804	14804	14794
Sun Apr 24 12:20:07 2016	1461500407	0	14887	14887	14873
Sun Apr 24 12:13:30 2016	1461500010	0	14889	14889	14880
Sun Apr 24 12:23:00 2016	1461500580	0	14897	14898	14892
Sun Apr 24 12:18:05 2016	1461500285	0	14928	14928	14914
Sun Apr 24 12:21:05 2016	1461500465	0	14937	14937	14932
Sun Apr 24 12:17:43 2016	1461500263	0	14939	14939	14930
Sun Apr 24 12:16:00 2016	1461500160	0	14986	14986	14977
Sun Apr 24 12:14:00 2016	1461500040	0	15020	15020	15012
Sun Apr 24 12:25:39 2016	1461500739	0	15033	15033	15028
Sun Apr 24 12:16:10 2016	1461500170	0	15034	15035	15025
Sun Apr 24 12:25:30 2016	1461500730	0	15036	15036	15029
Sun Apr 24 12:11:57 2016	1461499917	0	15036	15037	15023
Sun Apr 24 12:11:43 2016	1461499903	23	15032	15055	15000
Sun Apr 24 12:18:22 2016	1461500302	0	15068	15068	15058
Sun Apr 24 12:21:56 2016	1461500516	0	15079	15080	15073
Sun Apr 24 12:15:25 2016	1461500125	0	15107	15107	15097
Sun Apr 24 12:24:58 2016	1461500698	0	15127	15128	15122
Sun Apr 24 12:15:55 2016	1461500155	0	15137	15137	15131
Sun Apr 24 12:17:55 2016	1461500275	0	15139	15139	15128
Sun Apr 24 12:13:44 2016	1461500024	0	15139	15139	15128
Sun Apr 24 12:19:24 2016	1461500364	0	15140	15140	15132
Sun Apr 24 12:14:04 2016	1461500044	0	15156	15156	15150
Sun Apr 24 12:14:32 2016	1461500072	0	15156	15157	15149
Sun Apr 24 12:20:22 2016	1461500422	0	15160	15161	15152
Sun Apr 24 12:22:40 2016	1461500560	0	15198	15198	15192
Sun Apr 24 12:23:35 2016	1461500615	0	15208	15208	15195
Sun Apr 24 12:18:59 2016	1461500339	0	15233	15234	15227
Sun Apr 24 12:22:06 2016	1461500526	0	15250	15250	15238
Sun Apr 24 12:12:57 2016	1461499977	0	15277	15278	15267
Sun Apr 24 12:19:17 2016	1461500357	0	15292	15292	15285
Sun Apr 24 12:18:44 2016	1461500324	0	15313	15313	15304
