Percentage served,Time in ms
0,9405.753
1,10238.841
2,10443.563
3,10672.004
4,10888.834
5,11126.039
6,11175.681
7,11260.447
8,11358.720
9,11559.314
10,11659.752
11,11800.569
12,11925.869
13,12069.173
14,12099.716
15,12177.450
16,12228.280
17,12425.048
18,12484.948
19,12531.453
20,12568.170
21,12592.602
22,12633.019
23,12753.538
24,12781.776
25,12946.236
26,13122.450
27,13374.169
28,13420.384
29,13444.151
30,13515.212
31,13604.827
32,13733.884
33,13902.383
34,13925.535
35,14049.365
36,14070.610
37,14116.209
38,14195.945
39,14238.935
40,14275.392
41,14338.945
42,14350.780
43,14400.681
44,14420.186
45,14479.269
46,14555.009
47,14622.829
48,14677.007
49,14713.114
50,14775.002
51,14836.441
52,14891.341
53,14921.304
54,14936.023
55,14958.136
56,15029.923
57,15068.448
58,15110.472
59,15186.580
60,15232.333
61,15325.168
62,15363.994
63,15476.501
64,15501.517
65,15645.340
66,15652.321
67,15705.086
68,15749.775
69,15792.157
70,15822.907
71,15962.174
72,16018.027
73,16146.172
74,16168.471
75,16456.340
76,16474.085
77,16559.621
78,16585.053
79,16625.225
80,16689.204
81,16743.572
82,16779.349
83,16829.336
84,16944.671
85,17060.179
86,17095.777
87,17174.011
88,17257.946
89,17342.021
90,17429.824
91,17524.077
92,17639.616
93,17688.056
94,17758.659
95,18649.998
96,18995.377
97,19129.284
98,19454.759
99,21066.917
100,25955.867
