starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 24 12:33:01 2016	1461501181	0	9405	9406	9396
Sun Apr 24 12:36:39 2016	1461501399	0	10161	10161	10156
Sun Apr 24 12:47:09 2016	1461502029	0	10209	10209	10200
Sun Apr 24 12:35:17 2016	1461501317	0	10239	10239	10228
Sun Apr 24 12:47:25 2016	1461502045	0	10423	10423	10414
Sun Apr 24 12:47:35 2016	1461502055	0	10443	10444	10433
Sun Apr 24 12:36:29 2016	1461501389	0	10501	10502	10493
Sun Apr 24 12:36:18 2016	1461501378	0	10549	10550	10541
Sun Apr 24 12:39:15 2016	1461501555	0	10672	10672	10660
Sun Apr 24 12:33:02 2016	1461501182	0	10734	10734	10725
Sun Apr 24 12:40:48 2016	1461501648	0	10888	10889	10878
Sun Apr 24 12:32:47 2016	1461501167	0	10890	10890	10879
Sun Apr 24 12:35:41 2016	1461501341	0	11040	11041	11034
Sun Apr 24 12:38:48 2016	1461501528	0	11126	11126	11117
Sun Apr 24 12:44:42 2016	1461501882	0	11154	11154	11144
Sun Apr 24 12:39:55 2016	1461501595	0	11175	11176	11165
Sun Apr 24 12:38:59 2016	1461501539	0	11205	11205	11193
Sun Apr 24 12:34:49 2016	1461501289	0	11206	11206	11200
Sun Apr 24 12:39:06 2016	1461501546	0	11260	11260	11248
Sun Apr 24 12:33:40 2016	1461501220	0	11270	11270	11262
Sun Apr 24 12:37:40 2016	1461501460	0	11358	11359	11350
Sun Apr 24 12:38:55 2016	1461501535	0	11469	11469	11458
Sun Apr 24 12:35:01 2016	1461501301	0	11506	11506	11500
Sun Apr 24 12:32:51 2016	1461501171	0	11559	11559	11549
Sun Apr 24 12:36:07 2016	1461501367	0	11628	11629	11616
Sun Apr 24 12:40:06 2016	1461501606	0	11659	11660	11649
Sun Apr 24 12:35:55 2016	1461501355	0	11691	11691	11679
Sun Apr 24 12:39:59 2016	1461501599	0	11754	11754	11744
Sun Apr 24 12:34:49 2016	1461501289	0	11800	11801	11792
Sun Apr 24 12:46:35 2016	1461501995	0	11837	11837	11830
Sun Apr 24 12:36:14 2016	1461501374	0	11926	11926	11920
Sun Apr 24 12:35:52 2016	1461501352	0	12044	12044	12035
Sun Apr 24 12:41:00 2016	1461501660	0	12054	12054	12048
Sun Apr 24 12:39:17 2016	1461501557	0	12069	12069	12060
Sun Apr 24 12:32:20 2016	1461501140	1	12083	12084	12075
Sun Apr 24 12:38:19 2016	1461501499	0	12099	12100	12089
Sun Apr 24 12:47:01 2016	1461502021	0	12102	12103	12094
Sun Apr 24 12:42:20 2016	1461501740	0	12173	12173	12164
Sun Apr 24 12:42:45 2016	1461501765	0	12177	12177	12168
Sun Apr 24 12:42:14 2016	1461501734	0	12223	12223	12217
Sun Apr 24 12:41:57 2016	1461501717	0	12228	12228	12219
Sun Apr 24 12:40:06 2016	1461501606	0	12285	12285	12068
Sun Apr 24 12:40:28 2016	1461501628	0	12294	12294	12288
Sun Apr 24 12:42:27 2016	1461501747	0	12425	12425	12415
Sun Apr 24 12:47:27 2016	1461502047	0	12429	12430	12424
Sun Apr 24 12:33:41 2016	1461501221	0	12485	12485	12477
Sun Apr 24 12:32:35 2016	1461501155	0	12491	12492	12475
Sun Apr 24 12:40:18 2016	1461501618	0	12497	12498	12488
Sun Apr 24 12:38:31 2016	1461501511	0	12531	12531	12524
Sun Apr 24 12:46:14 2016	1461501974	0	12556	12556	12545
Sun Apr 24 12:34:46 2016	1461501286	0	12568	12568	12560
Sun Apr 24 12:41:44 2016	1461501704	0	12577	12577	12568
Sun Apr 24 12:36:19 2016	1461501379	0	12588	12588	12577
Sun Apr 24 12:33:49 2016	1461501229	0	12592	12593	12584
Sun Apr 24 12:46:42 2016	1461502002	0	12629	12629	12623
Sun Apr 24 12:37:50 2016	1461501470	0	12633	12633	12619
Sun Apr 24 12:33:11 2016	1461501191	0	12650	12650	12641
Sun Apr 24 12:37:03 2016	1461501423	0	12705	12705	12697
Sun Apr 24 12:35:12 2016	1461501312	1	12753	12754	12737
Sun Apr 24 12:34:37 2016	1461501277	0	12753	12754	12746
Sun Apr 24 12:42:32 2016	1461501752	0	12781	12782	12775
Sun Apr 24 12:32:58 2016	1461501178	0	12895	12895	12887
Sun Apr 24 12:34:36 2016	1461501276	0	12903	12903	12896
Sun Apr 24 12:33:24 2016	1461501204	0	12946	12946	12935
Sun Apr 24 12:34:58 2016	1461501298	0	13001	13002	12992
Sun Apr 24 12:37:11 2016	1461501431	0	13122	13122	13104
Sun Apr 24 12:35:42 2016	1461501342	0	13257	13258	13246
Sun Apr 24 12:39:24 2016	1461501564	0	13315	13315	13307
Sun Apr 24 12:39:26 2016	1461501566	0	13374	13374	13363
Sun Apr 24 12:34:10 2016	1461501250	0	13419	13419	13413
