Percentage served,Time in ms
0,3084.247
1,3227.598
2,3270.541
3,3289.615
4,3347.814
5,3393.256
6,3422.562
7,3443.520
8,3457.959
9,3470.850
10,3493.820
11,3530.866
12,3539.664
13,3567.471
14,3581.670
15,3597.590
16,3600.643
17,3625.545
18,3636.116
19,3648.789
20,3688.667
21,3698.920
22,3703.088
23,3732.314
24,3738.189
25,3745.860
26,3752.186
27,3762.857
28,3771.413
29,3805.241
30,3813.903
31,3823.496
32,3845.819
33,3854.943
34,3856.434
35,3860.419
36,3863.448
37,3872.330
38,3878.087
39,3888.805
40,3891.971
41,3903.085
42,3905.804
43,3936.166
44,3951.437
45,3962.494
46,3966.104
47,3984.864
48,4019.786
49,4054.860
50,4060.421
51,4081.907
52,4112.544
53,4131.855
54,4174.877
55,4182.179
56,4192.197
57,4206.116
58,4212.439
59,4242.697
60,4251.804
61,4277.941
62,4306.879
63,4347.966
64,4360.847
65,4394.343
66,4455.598
67,4475.829
68,4501.765
69,4518.078
70,4519.997
71,4550.598
72,4574.120
73,4705.015
74,4724.546
75,4757.195
76,4783.796
77,4801.896
78,4816.270
79,4839.072
80,4845.373
81,4872.778
82,4916.315
83,5150.619
84,5188.482
85,5289.989
86,5335.567
87,5354.419
88,5414.421
89,5490.462
90,5504.031
91,5557.747
92,5713.133
93,5835.718
94,5873.362
95,6006.084
96,6064.357
97,6374.532
98,6934.067
99,7911.234
100,8516.846
