starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 24 12:49:43 2016	1461502183	0	3084	3084	3079
Sun Apr 24 12:51:14 2016	1461502274	1	3175	3176	3163
Sun Apr 24 12:50:41 2016	1461502241	0	3215	3215	3208
Sun Apr 24 12:52:30 2016	1461502350	0	3227	3228	3217
Sun Apr 24 12:51:58 2016	1461502318	1	3270	3270	3261
Sun Apr 24 12:49:37 2016	1461502177	0	3270	3271	3258
Sun Apr 24 12:48:51 2016	1461502131	0	3272	3273	3266
Sun Apr 24 12:49:32 2016	1461502172	0	3274	3274	3266
Sun Apr 24 12:50:03 2016	1461502203	0	3289	3290	3284
Sun Apr 24 12:49:35 2016	1461502175	0	3336	3336	3328
Sun Apr 24 12:50:38 2016	1461502238	0	3347	3348	3339
Sun Apr 24 12:49:48 2016	1461502188	0	3351	3351	3342
Sun Apr 24 12:48:44 2016	1461502124	0	3378	3378	3361
Sun Apr 24 12:50:52 2016	1461502252	0	3393	3393	3385
Sun Apr 24 12:49:11 2016	1461502151	0	3416	3417	3409
Sun Apr 24 12:50:31 2016	1461502231	0	3422	3423	3413
Sun Apr 24 12:48:37 2016	1461502117	1	3426	3427	3415
Sun Apr 24 12:52:13 2016	1461502333	0	3440	3440	3434
Sun Apr 24 12:50:36 2016	1461502236	0	3443	3444	3434
Sun Apr 24 12:52:06 2016	1461502326	0	3455	3455	3447
Sun Apr 24 12:49:49 2016	1461502189	0	3458	3458	3447
Sun Apr 24 12:49:20 2016	1461502160	0	3469	3469	3462
Sun Apr 24 12:49:10 2016	1461502150	0	3470	3470	3463
Sun Apr 24 12:48:56 2016	1461502136	0	3471	3471	3458
Sun Apr 24 12:49:02 2016	1461502142	0	3474	3474	3464
Sun Apr 24 12:51:50 2016	1461502310	0	3493	3494	3488
Sun Apr 24 12:48:33 2016	1461502113	0	3517	3517	3506
Sun Apr 24 12:51:32 2016	1461502292	0	3529	3529	3523
Sun Apr 24 12:49:13 2016	1461502153	0	3531	3531	3519
Sun Apr 24 12:51:09 2016	1461502269	0	3531	3532	3526
Sun Apr 24 12:51:54 2016	1461502314	0	3539	3540	3532
Sun Apr 24 12:50:06 2016	1461502206	1	3545	3545	3537
Sun Apr 24 12:51:24 2016	1461502284	0	3545	3546	3537
Sun Apr 24 12:48:55 2016	1461502135	0	3567	3567	3561
Sun Apr 24 12:51:36 2016	1461502296	0	3573	3573	3562
Sun Apr 24 12:52:15 2016	1461502335	0	3581	3582	3571
Sun Apr 24 12:49:52 2016	1461502192	0	3589	3589	3581
Sun Apr 24 12:48:33 2016	1461502113	0	3591	3591	3580
Sun Apr 24 12:48:44 2016	1461502124	0	3597	3598	3592
Sun Apr 24 12:50:39 2016	1461502239	0	3600	3600	3595
Sun Apr 24 12:48:40 2016	1461502120	0	3600	3601	3585
Sun Apr 24 12:48:51 2016	1461502131	1	3618	3619	3604
Sun Apr 24 12:50:50 2016	1461502250	0	3625	3625	3616
Sun Apr 24 12:50:48 2016	1461502248	0	3625	3626	3618
Sun Apr 24 12:49:07 2016	1461502147	0	3627	3627	3619
Sun Apr 24 12:50:17 2016	1461502217	0	3636	3636	3628
Sun Apr 24 12:49:22 2016	1461502162	0	3638	3639	3629
Sun Apr 24 12:52:12 2016	1461502332	0	3641	3642	3627
Sun Apr 24 12:48:22 2016	1461502102	0	3648	3649	3640
Sun Apr 24 12:48:19 2016	1461502099	0	3686	3686	3677
Sun Apr 24 12:50:34 2016	1461502234	0	3688	3689	3680
Sun Apr 24 12:50:27 2016	1461502227	0	3691	3691	3684
Sun Apr 24 12:49:16 2016	1461502156	0	3695	3695	3683
Sun Apr 24 12:48:48 2016	1461502128	0	3699	3699	3687
Sun Apr 24 12:50:34 2016	1461502234	0	3701	3701	3696
Sun Apr 24 12:48:44 2016	1461502124	0	3703	3703	3694
Sun Apr 24 12:50:28 2016	1461502228	0	3707	3707	3696
Sun Apr 24 12:51:24 2016	1461502284	0	3724	3725	3713
Sun Apr 24 12:48:48 2016	1461502128	0	3732	3732	3724
Sun Apr 24 12:51:05 2016	1461502265	0	3734	3734	3725
Sun Apr 24 12:50:11 2016	1461502211	0	3738	3738	3717
Sun Apr 24 12:48:23 2016	1461502103	0	3744	3745	3738
Sun Apr 24 12:50:54 2016	1461502254	0	3745	3745	3737
Sun Apr 24 12:49:03 2016	1461502143	0	3745	3746	3740
Sun Apr 24 12:51:59 2016	1461502319	1	3747	3748	3737
Sun Apr 24 12:49:40 2016	1461502180	0	3752	3752	3744
Sun Apr 24 12:50:44 2016	1461502244	0	3758	3758	3747
Sun Apr 24 12:48:40 2016	1461502120	0	3758	3758	3748
Sun Apr 24 12:49:26 2016	1461502166	0	3762	3763	3752
Sun Apr 24 12:48:17 2016	1461502097	0	3766	3766	3754
Sun Apr 24 12:50:49 2016	1461502249	0	3771	3771	3766
Sun Apr 24 12:51:56 2016	1461502316	0	3778	3779	3769
Sun Apr 24 12:49:03 2016	1461502143	0	3788	3788	3742
Sun Apr 24 12:50:21 2016	1461502221	1	3805	3805	3796
Sun Apr 24 12:52:23 2016	1461502343	1	3811	3812	3805
Sun Apr 24 12:48:19 2016	1461502099	0	3814	3814	3804
Sun Apr 24 12:49:19 2016	1461502159	0	3819	3820	3810
Sun Apr 24 12:52:22 2016	1461502342	0	3822	3822	3813
Sun Apr 24 12:49:29 2016	1461502169	0	3823	3823	3815
Sun Apr 24 12:50:42 2016	1461502242	0	3845	3845	3837
Sun Apr 24 12:50:15 2016	1461502215	1	3845	3846	3836
Sun Apr 24 12:49:59 2016	1461502199	0	3846	3846	3837
Sun Apr 24 12:50:37 2016	1461502237	0	3850	3850	3843
Sun Apr 24 12:50:30 2016	1461502230	0	3855	3855	3846
Sun Apr 24 12:49:55 2016	1461502195	0	3855	3855	3849
Sun Apr 24 12:48:19 2016	1461502099	0	3856	3856	3843
Sun Apr 24 12:49:49 2016	1461502189	0	3857	3857	3851
Sun Apr 24 12:52:26 2016	1461502346	0	3859	3859	3849
Sun Apr 24 12:48:13 2016	1461502093	0	3860	3860	3854
Sun Apr 24 12:51:16 2016	1461502276	0	3861	3862	3854
Sun Apr 24 12:50:02 2016	1461502202	0	3863	3863	3852
Sun Apr 24 12:49:33 2016	1461502173	0	3864	3864	3848
Sun Apr 24 12:48:09 2016	1461502089	0	3870	3871	3856
Sun Apr 24 12:50:17 2016	1461502217	0	3872	3872	3866
Sun Apr 24 12:48:48 2016	1461502128	0	3874	3874	3865
Sun Apr 24 12:48:59 2016	1461502139	0	3878	3878	3869
Sun Apr 24 12:48:36 2016	1461502116	0	3881	3881	3875
Sun Apr 24 12:48:25 2016	1461502105	0	3884	3884	3874
Sun Apr 24 12:49:58 2016	1461502198	0	3888	3889	3877
Sun Apr 24 12:49:14 2016	1461502154	0	3891	3891	3883
Sun Apr 24 12:49:33 2016	1461502173	0	3892	3892	3878
Sun Apr 24 12:50:21 2016	1461502221	0	3894	3895	3889
Sun Apr 24 12:51:14 2016	1461502274	0	3895	3895	3885
Sun Apr 24 12:49:45 2016	1461502185	0	3903	3903	3889
Sun Apr 24 12:48:09 2016	1461502089	0	3904	3905	3894
Sun Apr 24 12:51:06 2016	1461502266	1	3905	3906	3880
Sun Apr 24 12:50:46 2016	1461502246	0	3925	3925	3917
Sun Apr 24 12:51:12 2016	1461502272	0	3927	3927	3920
Sun Apr 24 12:49:04 2016	1461502144	0	3936	3936	3928
Sun Apr 24 12:50:46 2016	1461502246	0	3939	3940	3932
Sun Apr 24 12:48:05 2016	1461502085	14	3937	3951	3927
Sun Apr 24 12:50:39 2016	1461502239	1	3953	3954	3940
Sun Apr 24 12:50:32 2016	1461502232	0	3962	3962	3953
Sun Apr 24 12:48:21 2016	1461502101	0	3962	3962	3955
Sun Apr 24 12:50:24 2016	1461502224	0	3963	3963	3951
Sun Apr 24 12:49:41 2016	1461502181	0	3966	3966	3958
Sun Apr 24 12:49:51 2016	1461502191	0	3970	3970	3963
Sun Apr 24 12:50:02 2016	1461502202	0	3975	3976	3966
Sun Apr 24 12:48:05 2016	1461502085	1	3984	3985	3970
Sun Apr 24 12:52:21 2016	1461502341	1	4012	4013	4003
Sun Apr 24 12:48:15 2016	1461502095	0	4019	4020	3992
Sun Apr 24 12:49:05 2016	1461502145	0	4023	4023	4017
Sun Apr 24 12:51:41 2016	1461502301	0	4048	4049	4041
Sun Apr 24 12:51:45 2016	1461502305	0	4054	4055	4047
Sun Apr 24 12:51:28 2016	1461502288	0	4058	4059	4050
Sun Apr 24 12:51:20 2016	1461502280	0	4060	4060	4054
Sun Apr 24 12:51:43 2016	1461502303	0	4060	4061	4052
Sun Apr 24 12:48:47 2016	1461502127	0	4072	4072	4066
Sun Apr 24 12:49:28 2016	1461502168	0	4082	4082	4071
Sun Apr 24 12:49:00 2016	1461502140	0	4088	4089	4075
Sun Apr 24 12:51:37 2016	1461502297	0	4112	4113	4103
Sun Apr 24 12:51:16 2016	1461502276	0	4113	4113	4102
Sun Apr 24 12:49:37 2016	1461502177	0	4115	4115	4108
Sun Apr 24 12:49:18 2016	1461502158	0	4132	4132	4118
Sun Apr 24 12:51:57 2016	1461502317	0	4169	4169	4158
Sun Apr 24 12:48:59 2016	1461502139	0	4175	4175	4162
Sun Apr 24 12:51:12 2016	1461502272	1	4177	4178	4168
Sun Apr 24 12:50:18 2016	1461502218	0	4180	4180	4174
Sun Apr 24 12:52:13 2016	1461502333	0	4182	4182	4175
Sun Apr 24 12:52:08 2016	1461502328	0	4186	4187	4175
Sun Apr 24 12:51:02 2016	1461502262	0	4192	4192	4186
Sun Apr 24 12:51:51 2016	1461502311	1	4194	4195	4188
Sun Apr 24 12:52:31 2016	1461502351	0	4203	4203	4190
Sun Apr 24 12:48:51 2016	1461502131	1	4205	4206	4175
Sun Apr 24 12:48:32 2016	1461502112	0	4209	4210	4184
Sun Apr 24 12:51:53 2016	1461502313	1	4212	4212	4201
Sun Apr 24 12:50:10 2016	1461502210	0	4226	4226	4215
Sun Apr 24 12:51:18 2016	1461502278	0	4238	4239	4230
Sun Apr 24 12:48:23 2016	1461502103	0	4242	4243	4234
Sun Apr 24 12:48:05 2016	1461502085	50	4200	4250	4170
Sun Apr 24 12:50:52 2016	1461502252	0	4251	4252	4244
Sun Apr 24 12:51:27 2016	1461502287	0	4266	4267	4258
Sun Apr 24 12:50:14 2016	1461502214	0	4272	4272	4265
Sun Apr 24 12:48:51 2016	1461502131	2	4276	4278	4265
Sun Apr 24 12:51:49 2016	1461502309	0	4282	4282	4272
Sun Apr 24 12:48:29 2016	1461502109	0	4307	4307	4298
Sun Apr 24 12:49:23 2016	1461502163	0	4331	4332	4325
Sun Apr 24 12:48:36 2016	1461502116	0	4332	4332	4322
Sun Apr 24 12:51:00 2016	1461502260	0	4348	4348	4340
Sun Apr 24 12:50:56 2016	1461502256	0	4352	4353	4347
Sun Apr 24 12:49:44 2016	1461502184	0	4360	4361	4355
Sun Apr 24 12:51:04 2016	1461502264	0	4387	4388	4379
Sun Apr 24 12:48:40 2016	1461502120	0	4392	4393	4382
Sun Apr 24 12:49:09 2016	1461502149	0	4394	4394	4387
Sun Apr 24 12:49:52 2016	1461502192	0	4450	4450	4419
Sun Apr 24 12:50:13 2016	1461502213	0	4455	4456	4448
Sun Apr 24 12:48:32 2016	1461502112	0	4460	4461	4451
Sun Apr 24 12:49:14 2016	1461502154	0	4465	4465	4459
Sun Apr 24 12:52:03 2016	1461502323	0	4475	4476	4468
Sun Apr 24 12:49:08 2016	1461502148	0	4476	4476	4465
Sun Apr 24 12:50:23 2016	1461502223	0	4501	4502	4493
Sun Apr 24 12:51:45 2016	1461502305	0	4516	4516	4506
Sun Apr 24 12:52:26 2016	1461502346	1	4517	4517	4505
Sun Apr 24 12:51:09 2016	1461502269	0	4518	4518	4512
Sun Apr 24 12:49:07 2016	1461502147	0	4519	4519	4511
Sun Apr 24 12:52:01 2016	1461502321	0	4520	4520	4509
Sun Apr 24 12:50:34 2016	1461502234	2	4520	4522	4511
Sun Apr 24 12:49:36 2016	1461502176	0	4537	4537	4527
Sun Apr 24 12:50:06 2016	1461502206	0	4550	4551	4541
Sun Apr 24 12:52:17 2016	1461502337	0	4563	4564	4555
Sun Apr 24 12:52:08 2016	1461502328	0	4574	4574	4568
Sun Apr 24 12:51:41 2016	1461502301	0	4606	4606	4596
Sun Apr 24 12:50:56 2016	1461502256	0	4656	4657	4628
Sun Apr 24 12:48:09 2016	1461502089	0	4705	4705	4697
Sun Apr 24 12:51:25 2016	1461502285	4	4720	4724	4714
Sun Apr 24 12:49:30 2016	1461502170	0	4724	4725	4713
Sun Apr 24 12:50:57 2016	1461502257	0	4740	4740	4734
Sun Apr 24 12:51:47 2016	1461502307	0	4742	4742	4734
Sun Apr 24 12:49:24 2016	1461502164	0	4757	4757	4751
Sun Apr 24 12:50:50 2016	1461502250	0	4767	4767	4759
Sun Apr 24 12:52:18 2016	1461502338	0	4783	4784	4775
Sun Apr 24 12:52:25 2016	1461502345	0	4787	4787	4776
Sun Apr 24 12:50:19 2016	1461502219	1	4795	4796	4787
Sun Apr 24 12:52:32 2016	1461502352	0	4802	4802	4788
Sun Apr 24 12:51:10 2016	1461502270	0	4803	4804	4795
Sun Apr 24 12:52:27 2016	1461502347	0	4816	4816	4804
Sun Apr 24 12:51:49 2016	1461502309	0	4821	4821	4815
Sun Apr 24 12:52:21 2016	1461502341	1	4836	4836	4830
Sun Apr 24 12:50:24 2016	1461502224	0	4839	4839	4828
Sun Apr 24 12:48:27 2016	1461502107	0	4843	4843	4838
Sun Apr 24 12:51:45 2016	1461502305	0	4845	4845	4835
Sun Apr 24 12:51:22 2016	1461502282	0	4867	4867	4860
Sun Apr 24 12:48:05 2016	1461502085	24	4843	4867	4817
Sun Apr 24 12:49:38 2016	1461502178	0	4872	4873	4864
Sun Apr 24 12:50:55 2016	1461502255	0	4881	4882	4876
Sun Apr 24 12:49:24 2016	1461502164	0	4916	4916	4907
Sun Apr 24 12:52:17 2016	1461502337	0	4956	4956	4948
Sun Apr 24 12:48:42 2016	1461502122	0	4970	4970	4962
Sun Apr 24 12:50:43 2016	1461502243	0	5150	5151	5142
Sun Apr 24 12:51:20 2016	1461502280	1	5182	5183	5175
Sun Apr 24 12:51:06 2016	1461502266	0	5188	5188	5180
Sun Apr 24 12:51:00 2016	1461502260	1	5213	5214	5178
Sun Apr 24 12:50:28 2016	1461502228	1	5261	5262	5251
Sun Apr 24 12:52:01 2016	1461502321	0	5290	5290	5282
Sun Apr 24 12:50:25 2016	1461502225	0	5305	5306	5299
Sun Apr 24 12:52:09 2016	1461502329	0	5335	5336	5330
Sun Apr 24 12:50:41 2016	1461502241	0	5337	5337	5327
Sun Apr 24 12:51:31 2016	1461502291	1	5349	5350	5341
Sun Apr 24 12:52:30 2016	1461502350	0	5354	5354	5346
Sun Apr 24 12:51:00 2016	1461502260	0	5414	5414	5399
Sun Apr 24 12:49:52 2016	1461502192	0	5414	5414	5408
Sun Apr 24 12:50:01 2016	1461502201	0	5433	5434	5427
Sun Apr 24 12:48:13 2016	1461502093	0	5442	5442	5432
Sun Apr 24 12:49:46 2016	1461502186	0	5490	5490	5482
Sun Apr 24 12:49:57 2016	1461502197	0	5492	5493	5484
Sun Apr 24 12:51:37 2016	1461502297	0	5504	5504	5496
Sun Apr 24 12:50:06 2016	1461502206	0	5523	5523	5516
Sun Apr 24 12:48:26 2016	1461502106	0	5533	5533	5524
Sun Apr 24 12:49:13 2016	1461502153	0	5557	5558	5539
Sun Apr 24 12:49:55 2016	1461502195	1	5681	5681	5672
Sun Apr 24 12:52:15 2016	1461502335	0	5713	5713	5707
Sun Apr 24 12:50:11 2016	1461502211	0	5774	5775	5766
Sun Apr 24 12:49:27 2016	1461502167	0	5825	5826	5816
Sun Apr 24 12:48:56 2016	1461502136	0	5835	5836	5821
Sun Apr 24 12:48:13 2016	1461502093	0	5837	5837	5829
Sun Apr 24 12:48:36 2016	1461502116	0	5873	5873	5864
Sun Apr 24 12:52:02 2016	1461502322	0	5888	5888	5879
Sun Apr 24 12:49:18 2016	1461502158	1	5891	5891	5879
Sun Apr 24 12:51:35 2016	1461502295	0	6006	6006	5993
Sun Apr 24 12:51:18 2016	1461502278	0	6033	6033	6023
Sun Apr 24 12:51:39 2016	1461502299	0	6064	6064	6058
Sun Apr 24 12:48:09 2016	1461502089	0	6077	6078	6064
Sun Apr 24 12:48:54 2016	1461502134	0	6165	6165	6154
Sun Apr 24 12:50:06 2016	1461502206	0	6374	6375	6365
Sun Apr 24 12:48:26 2016	1461502106	0	6637	6637	6625
Sun Apr 24 12:52:06 2016	1461502326	0	6934	6934	6902
Sun Apr 24 12:51:29 2016	1461502289	1	7625	7626	7620
Sun Apr 24 12:51:27 2016	1461502287	1	7885	7885	7875
Sun Apr 24 12:51:54 2016	1461502314	0	7911	7911	7904
Sun Apr 24 12:49:40 2016	1461502180	0	8516	8517	8507
