Percentage served,Time in ms
0,10990.303
1,11616.379
2,11776.244
3,12023.720
4,12134.008
5,12400.383
6,12506.110
7,12617.077
8,12857.999
9,12940.072
10,13083.437
11,13305.665
12,13365.399
13,13525.230
14,13602.655
15,13686.416
16,13711.145
17,13863.265
18,13891.886
19,13928.353
20,14027.424
21,14174.590
22,14242.601
23,14302.801
24,14495.262
25,14594.792
26,14688.079
27,14859.490
28,14905.475
29,14997.727
30,15027.791
31,15118.049
32,15134.472
33,15195.878
34,15299.370
35,15365.367
36,15415.056
37,15490.901
38,15543.264
39,15620.915
40,15653.984
41,15757.256
42,15790.889
43,15828.796
44,15873.023
45,15987.412
46,16018.717
47,16156.631
48,16210.312
49,16271.085
50,16285.241
51,16371.103
52,16400.654
53,16517.747
54,16598.124
55,16619.715
56,16697.395
57,16760.566
58,16777.136
59,16853.449
60,16873.767
61,16915.471
62,16959.209
63,17005.959
64,17083.515
65,17167.678
66,17203.823
67,17287.875
68,17396.873
69,17443.490
70,17496.053
71,17620.066
72,17718.293
73,17812.558
74,17916.956
75,18047.106
76,18218.245
77,18289.684
78,18332.809
79,18430.293
80,18501.669
81,18549.686
82,18646.915
83,18701.625
84,18843.839
85,18872.041
86,18913.285
87,19009.241
88,19118.088
89,19173.092
90,19255.444
91,19388.099
92,19733.082
93,20053.986
94,20465.625
95,20816.521
96,21238.278
97,22054.598
98,22944.705
99,26745.357
100,27184.823
