starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 24 19:47:47 2016	1461527267	1	3254	3254	3241
Sun Apr 24 19:47:14 2016	1461527234	0	3285	3285	3278
Sun Apr 24 19:45:31 2016	1461527131	0	3359	3359	3351
Sun Apr 24 19:45:34 2016	1461527134	0	3387	3387	3377
Sun Apr 24 19:45:50 2016	1461527150	0	3391	3391	3383
Sun Apr 24 19:46:53 2016	1461527213	0	3401	3402	3395
Sun Apr 24 19:46:14 2016	1461527174	0	3408	3409	3396
Sun Apr 24 19:45:21 2016	1461527121	0	3410	3410	3402
Sun Apr 24 19:47:40 2016	1461527260	0	3427	3428	3412
Sun Apr 24 19:46:50 2016	1461527210	0	3437	3437	3432
Sun Apr 24 19:47:20 2016	1461527240	0	3503	3504	3493
Sun Apr 24 19:48:21 2016	1461527301	0	3510	3511	3504
Sun Apr 24 19:45:28 2016	1461527128	0	3536	3536	3526
Sun Apr 24 19:45:31 2016	1461527131	1	3549	3550	3542
Sun Apr 24 19:46:53 2016	1461527213	0	3561	3562	3548
Sun Apr 24 19:47:05 2016	1461527225	0	3589	3590	3578
Sun Apr 24 19:46:59 2016	1461527219	1	3589	3590	3584
Sun Apr 24 19:46:22 2016	1461527182	0	3593	3593	3578
Sun Apr 24 19:48:20 2016	1461527300	0	3612	3613	3604
Sun Apr 24 19:47:24 2016	1461527244	0	3617	3618	3609
Sun Apr 24 19:47:47 2016	1461527267	0	3621	3622	3610
Sun Apr 24 19:45:40 2016	1461527140	0	3628	3629	3622
Sun Apr 24 19:47:16 2016	1461527236	0	3631	3631	3617
Sun Apr 24 19:45:47 2016	1461527147	0	3638	3638	3631
Sun Apr 24 19:45:33 2016	1461527133	0	3640	3641	3629
Sun Apr 24 19:45:53 2016	1461527153	0	3641	3641	3631
Sun Apr 24 19:45:32 2016	1461527132	0	3645	3645	3635
Sun Apr 24 19:47:36 2016	1461527256	0	3646	3646	3637
Sun Apr 24 19:49:21 2016	1461527361	0	3649	3649	3639
Sun Apr 24 19:45:55 2016	1461527155	0	3654	3654	3643
Sun Apr 24 19:47:13 2016	1461527233	0	3657	3658	3652
Sun Apr 24 19:46:21 2016	1461527181	0	3659	3660	3648
Sun Apr 24 19:48:32 2016	1461527312	0	3665	3665	3655
Sun Apr 24 19:49:39 2016	1461527379	1	3676	3676	3669
Sun Apr 24 19:45:36 2016	1461527136	0	3687	3687	3676
Sun Apr 24 19:46:41 2016	1461527201	0	3704	3704	3696
Sun Apr 24 19:49:06 2016	1461527346	0	3704	3704	3696
Sun Apr 24 19:48:11 2016	1461527291	0	3706	3706	3698
Sun Apr 24 19:47:24 2016	1461527244	6	3702	3708	3687
Sun Apr 24 19:48:10 2016	1461527290	0	3716	3716	3701
Sun Apr 24 19:47:50 2016	1461527270	0	3731	3731	3722
Sun Apr 24 19:45:21 2016	1461527121	0	3734	3734	3726
Sun Apr 24 19:45:39 2016	1461527139	0	3737	3738	3725
Sun Apr 24 19:46:23 2016	1461527183	0	3750	3750	3730
Sun Apr 24 19:46:52 2016	1461527212	0	3751	3751	3741
Sun Apr 24 19:46:20 2016	1461527180	0	3753	3754	3745
Sun Apr 24 19:48:24 2016	1461527304	0	3758	3759	3750
Sun Apr 24 19:49:50 2016	1461527390	0	3763	3763	3751
Sun Apr 24 19:49:47 2016	1461527387	0	3767	3767	3758
Sun Apr 24 19:48:17 2016	1461527297	0	3778	3778	3771
Sun Apr 24 19:48:23 2016	1461527303	1	3783	3783	3731
Sun Apr 24 19:46:13 2016	1461527173	0	3798	3798	3790
Sun Apr 24 19:45:47 2016	1461527147	0	3815	3815	3808
Sun Apr 24 19:46:46 2016	1461527206	0	3820	3821	3812
Sun Apr 24 19:48:45 2016	1461527325	0	3821	3822	3801
Sun Apr 24 19:49:35 2016	1461527375	0	3825	3826	3819
Sun Apr 24 19:46:42 2016	1461527202	0	3825	3826	3820
Sun Apr 24 19:48:13 2016	1461527293	0	3826	3826	3814
Sun Apr 24 19:45:49 2016	1461527149	0	3832	3832	3824
Sun Apr 24 19:49:47 2016	1461527387	0	3855	3855	3847
Sun Apr 24 19:49:14 2016	1461527354	0	3858	3858	3851
Sun Apr 24 19:45:43 2016	1461527143	0	3860	3860	3855
Sun Apr 24 19:47:05 2016	1461527225	0	3865	3865	3854
Sun Apr 24 19:46:29 2016	1461527189	0	3871	3872	3863
Sun Apr 24 19:48:33 2016	1461527313	0	3909	3910	3903
Sun Apr 24 19:47:36 2016	1461527256	0	3912	3912	3902
Sun Apr 24 19:48:49 2016	1461527329	0	3914	3914	3905
Sun Apr 24 19:48:15 2016	1461527295	0	3917	3917	3912
Sun Apr 24 19:49:32 2016	1461527372	0	3920	3920	3911
