Percentage served,Time in ms
0,400.130
1,596.683
2,601.631
3,603.327
4,604.953
5,607.210
6,607.992
7,608.504
8,608.670
9,609.463
10,609.962
11,610.325
12,610.662
13,610.770
14,611.036
15,611.388
16,612.451
17,612.928
18,613.245
19,613.630
20,614.872
21,615.280
22,615.713
23,615.846
24,616.617
25,616.827
26,617.300
27,617.604
28,618.377
29,618.824
30,619.227
31,619.477
32,620.204
33,620.469
34,620.741
35,621.095
36,621.458
37,622.437
38,622.906
39,624.410
40,625.799
41,628.139
42,628.995
43,632.115
44,634.337
45,635.888
46,637.164
47,637.657
48,638.776
49,640.221
50,640.516
51,640.950
52,641.398
53,642.497
54,643.688
55,644.561
56,646.673
57,647.428
58,648.940
59,651.283
60,652.516
61,655.605
62,661.570
63,683.997
64,694.886
65,809.681
66,832.982
67,1197.281
68,1211.908
69,1215.162
70,1217.336
71,1220.658
72,1223.666
73,1225.403
74,1226.170
75,1228.494
76,1230.829
77,1231.382
78,1231.882
79,1233.081
80,1233.360
81,1234.535
82,1236.085
83,1236.714
84,1237.928
85,1241.622
86,1246.547
87,1253.104
88,1257.266
89,1260.786
90,1267.579
91,1275.268
92,1281.947
93,1284.128
94,1287.501
95,1292.413
96,1300.629
97,1308.159
98,1360.525
99,1475.522
100,1678.282
