Percentage served,Time in ms
0,1694.983
1,2405.784
2,2414.373
3,2432.687
4,2440.863
5,2445.447
6,2448.410
7,2482.684
8,2502.374
9,2505.087
10,2506.607
11,2508.253
12,2511.502
13,2512.361
14,2514.327
15,2515.749
16,2517.318
17,2519.148
18,2521.852
19,2522.369
20,2522.965
21,2524.527
22,2528.378
23,2529.472
24,2530.656
25,2532.838
26,2537.184
27,2539.974
28,2541.934
29,2543.423
30,2545.123
31,2546.434
32,2547.752
33,2548.424
34,2550.612
35,2553.350
36,2555.354
37,2556.926
38,2558.592
39,2559.628
40,2561.375
41,2563.717
42,2564.712
43,2567.072
44,2568.292
45,2573.685
46,2580.698
47,2582.017
48,2587.325
49,2588.902
50,2594.161
51,2602.495
52,2603.719
53,2608.613
54,2611.826
55,2614.689
56,2617.990
57,2621.758
58,2632.453
59,2642.279
60,2649.564
61,2652.073
62,2655.076
63,2662.224
64,2683.590
65,2731.418
66,2789.744
67,4768.518
68,4853.601
69,4883.336
70,4922.940
71,5013.637
72,5026.772
73,5037.110
74,5050.765
75,5056.376
76,5064.059
77,5071.257
78,5073.091
79,5079.255
80,5083.311
81,5085.878
82,5088.306
83,5097.511
84,5106.221
85,5117.886
86,5126.008
87,5128.811
88,5151.173
89,5158.444
90,5165.483
91,5168.676
92,5181.654
93,5195.515
94,5227.789
95,5239.531
96,5259.286
97,5291.785
98,5314.249
99,5392.108
100,5475.956
