starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 18 01:18:22 2016	1460942302	1	472	473	229
Mon Apr 18 01:18:19 2016	1460942299	184	477	661	236
Mon Apr 18 01:18:19 2016	1460942299	0	661	661	475
Mon Apr 18 01:16:29 2016	1460942189	199	498	697	241
Mon Apr 18 01:16:29 2016	1460942189	7	690	697	498
Mon Apr 18 01:17:22 2016	1460942242	235	472	707	243
Mon Apr 18 01:17:22 2016	1460942242	1	706	707	472
Mon Apr 18 01:16:52 2016	1460942212	242	466	708	240
Mon Apr 18 01:16:52 2016	1460942212	1	707	708	466
Mon Apr 18 01:16:46 2016	1460942206	234	475	709	245
Mon Apr 18 01:16:46 2016	1460942206	1	708	709	475
Mon Apr 18 01:16:50 2016	1460942210	1	708	709	468
Mon Apr 18 01:17:17 2016	1460942237	240	469	709	236
Mon Apr 18 01:17:17 2016	1460942237	1	708	709	469
Mon Apr 18 01:16:50 2016	1460942210	241	468	709	234
Mon Apr 18 01:17:57 2016	1460942277	231	479	710	243
Mon Apr 18 01:17:57 2016	1460942277	1	709	710	479
Mon Apr 18 01:16:32 2016	1460942192	238	474	712	241
Mon Apr 18 01:16:32 2016	1460942192	1	711	712	474
Mon Apr 18 01:17:04 2016	1460942224	230	482	712	242
Mon Apr 18 01:17:52 2016	1460942272	1	711	712	475
Mon Apr 18 01:18:15 2016	1460942295	234	478	712	247
Mon Apr 18 01:18:15 2016	1460942295	1	711	712	477
Mon Apr 18 01:17:52 2016	1460942272	238	475	712	233
Mon Apr 18 01:17:08 2016	1460942228	1	711	713	472
Mon Apr 18 01:17:08 2016	1460942228	240	473	713	236
Mon Apr 18 01:17:04 2016	1460942224	2	712	713	482
Mon Apr 18 01:17:27 2016	1460942247	231	483	714	247
Mon Apr 18 01:17:52 2016	1460942272	1	713	714	477
Mon Apr 18 01:17:52 2016	1460942272	237	477	714	239
Mon Apr 18 01:17:27 2016	1460942247	1	712	714	482
Mon Apr 18 01:16:26 2016	1460942186	242	473	715	240
Mon Apr 18 01:16:26 2016	1460942186	1	714	715	473
Mon Apr 18 01:17:53 2016	1460942273	237	479	716	236
Mon Apr 18 01:17:53 2016	1460942273	1	715	716	478
Mon Apr 18 01:17:19 2016	1460942239	1	715	716	477
Mon Apr 18 01:17:19 2016	1460942239	239	477	716	242
Mon Apr 18 01:17:16 2016	1460942236	1	716	717	480
Mon Apr 18 01:17:16 2016	1460942236	237	480	717	246
Mon Apr 18 01:17:13 2016	1460942233	244	474	718	236
Mon Apr 18 01:17:13 2016	1460942233	1	717	718	474
Mon Apr 18 01:17:11 2016	1460942231	240	479	718	235
Mon Apr 18 01:17:11 2016	1460942231	1	718	718	479
Mon Apr 18 01:17:38 2016	1460942258	238	481	718	241
Mon Apr 18 01:17:38 2016	1460942258	1	717	719	480
Mon Apr 18 01:16:43 2016	1460942203	2	717	719	478
Mon Apr 18 01:16:43 2016	1460942203	240	479	719	235
Mon Apr 18 01:18:08 2016	1460942288	237	483	719	244
Mon Apr 18 01:18:08 2016	1460942288	1	718	719	482
Mon Apr 18 01:18:06 2016	1460942286	233	486	719	248
Mon Apr 18 01:18:06 2016	1460942286	1	718	719	486
Mon Apr 18 01:17:55 2016	1460942275	239	481	719	246
Mon Apr 18 01:17:42 2016	1460942262	1	718	719	481
Mon Apr 18 01:17:42 2016	1460942262	239	481	719	238
Mon Apr 18 01:17:55 2016	1460942275	1	718	719	480
Mon Apr 18 01:16:38 2016	1460942198	1	719	720	481
Mon Apr 18 01:16:38 2016	1460942198	239	481	720	241
Mon Apr 18 01:17:56 2016	1460942276	240	480	720	238
Mon Apr 18 01:17:56 2016	1460942276	2	718	720	480
Mon Apr 18 01:17:57 2016	1460942277	238	482	720	242
Mon Apr 18 01:17:57 2016	1460942277	1	719	720	482
Mon Apr 18 01:17:58 2016	1460942278	237	483	720	237
Mon Apr 18 01:17:58 2016	1460942278	1	719	720	483
Mon Apr 18 01:17:41 2016	1460942261	243	477	721	231
Mon Apr 18 01:17:16 2016	1460942236	245	475	721	236
Mon Apr 18 01:17:41 2016	1460942261	1	720	721	477
Mon Apr 18 01:17:29 2016	1460942249	244	477	721	233
Mon Apr 18 01:17:16 2016	1460942236	1	720	721	475
Mon Apr 18 01:16:55 2016	1460942215	233	488	721	247
Mon Apr 18 01:16:55 2016	1460942215	1	720	721	488
Mon Apr 18 01:17:29 2016	1460942249	2	719	721	477
Mon Apr 18 01:16:46 2016	1460942206	240	481	721	239
Mon Apr 18 01:17:02 2016	1460942222	235	486	721	239
Mon Apr 18 01:16:57 2016	1460942217	250	471	721	235
Mon Apr 18 01:16:57 2016	1460942217	1	720	721	471
Mon Apr 18 01:16:46 2016	1460942206	1	720	721	481
Mon Apr 18 01:17:02 2016	1460942222	1	720	721	486
Mon Apr 18 01:16:57 2016	1460942217	241	480	721	242
Mon Apr 18 01:16:57 2016	1460942217	1	720	721	480
Mon Apr 18 01:18:12 2016	1460942292	1	720	722	482
Mon Apr 18 01:18:12 2016	1460942292	239	482	722	249
Mon Apr 18 01:17:44 2016	1460942264	1	721	722	496
Mon Apr 18 01:17:49 2016	1460942269	1	721	722	477
