Percentage served,Time in ms
0,1538.215
1,2306.675
2,2312.260
3,2320.794
4,2321.988
5,2326.829
6,2329.281
7,2333.616
8,2334.903
9,2336.092
10,2337.651
11,2340.483
12,2345.230
13,2348.475
14,2349.312
15,2350.639
16,2351.296
17,2353.147
18,2354.602
19,2356.378
20,2357.437
21,2358.051
22,2358.993
23,2359.594
24,2359.873
25,2360.918
26,2361.661
27,2364.045
28,2364.400
29,2365.117
30,2365.379
31,2365.788
32,2366.256
33,2367.753
34,2368.444
35,2368.943
36,2369.509
37,2369.994
38,2371.342
39,2372.614
40,2373.339
41,2375.228
42,2375.448
43,2376.454
44,2378.209
45,2381.051
46,2383.015
47,2384.473
48,2384.932
49,2386.312
50,2386.918
51,2388.412
52,2389.166
53,2390.291
54,2391.549
55,2395.802
56,2396.943
57,2399.842
58,2401.444
59,2403.865
60,2407.221
61,2415.394
62,2417.749
63,2418.880
64,2424.107
65,2426.798
66,2557.029
67,4607.937
68,4641.375
69,4657.062
70,4666.874
71,4684.873
72,4694.197
73,4701.308
74,4707.389
75,4710.682
76,4714.546
77,4719.118
78,4723.713
79,4725.305
80,4727.260
81,4728.691
82,4731.073
83,4737.920
84,4743.104
85,4744.898
86,4747.607
87,4751.947
88,4753.048
89,4758.816
90,4761.231
91,4767.504
92,4772.693
93,4778.343
94,4784.427
95,4791.465
96,4800.727
97,4812.188
98,4821.103
99,4873.333
100,4931.764
