starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 18 01:53:21 2016	1460944401	2	1537	1538	756
Mon Apr 18 01:47:30 2016	1460944050	764	1525	2289	764
Mon Apr 18 01:47:30 2016	1460944050	2	2287	2289	1525
Mon Apr 18 01:46:57 2016	1460944017	756	1549	2306	788
Mon Apr 18 01:46:57 2016	1460944017	2	2304	2306	1549
Mon Apr 18 01:47:09 2016	1460944029	759	1547	2307	770
Mon Apr 18 01:47:09 2016	1460944029	1	2306	2307	1547
Mon Apr 18 01:47:42 2016	1460944062	767	1545	2312	769
Mon Apr 18 01:47:42 2016	1460944062	1	2311	2312	1545
Mon Apr 18 01:48:57 2016	1460944137	774	1538	2312	778
Mon Apr 18 01:48:57 2016	1460944137	2	2311	2312	1538
Mon Apr 18 01:47:25 2016	1460944045	774	1544	2317	777
Mon Apr 18 01:47:25 2016	1460944045	2	2315	2317	1543
Mon Apr 18 01:47:28 2016	1460944048	761	1558	2320	772
Mon Apr 18 01:47:28 2016	1460944048	2	2318	2320	1558
Mon Apr 18 01:47:39 2016	1460944059	2	2319	2321	1548
Mon Apr 18 01:47:39 2016	1460944059	772	1549	2321	781
Mon Apr 18 01:47:32 2016	1460944052	770	1552	2322	765
Mon Apr 18 01:47:32 2016	1460944052	2	2320	2322	1552
Mon Apr 18 01:47:35 2016	1460944055	767	1554	2322	784
Mon Apr 18 01:47:37 2016	1460944057	767	1555	2322	778
Mon Apr 18 01:47:35 2016	1460944055	2	2320	2322	1554
Mon Apr 18 01:47:37 2016	1460944057	2	2320	2322	1555
Mon Apr 18 01:47:02 2016	1460944022	769	1556	2325	774
Mon Apr 18 01:47:02 2016	1460944022	2	2323	2325	1555
Mon Apr 18 01:47:16 2016	1460944036	780	1547	2327	781
Mon Apr 18 01:47:16 2016	1460944036	2	2325	2327	1546
Mon Apr 18 01:48:50 2016	1460944130	769	1559	2327	776
Mon Apr 18 01:48:50 2016	1460944130	2	2326	2327	1559
Mon Apr 18 01:47:18 2016	1460944038	775	1554	2329	780
Mon Apr 18 01:47:18 2016	1460944038	2	2328	2329	1554
Mon Apr 18 01:47:21 2016	1460944041	779	1550	2330	775
Mon Apr 18 01:47:21 2016	1460944041	2	2328	2330	1550
Mon Apr 18 01:53:02 2016	1460944382	774	1560	2333	781
Mon Apr 18 01:53:02 2016	1460944382	2	2332	2333	1560
Mon Apr 18 01:47:58 2016	1460944078	777	1557	2334	775
Mon Apr 18 01:47:58 2016	1460944078	2	2332	2334	1557
Mon Apr 18 01:52:24 2016	1460944344	2	2332	2334	1563
Mon Apr 18 01:52:24 2016	1460944344	771	1563	2334	777
Mon Apr 18 01:46:59 2016	1460944019	776	1559	2335	777
Mon Apr 18 01:47:51 2016	1460944071	2	2333	2335	1546
Mon Apr 18 01:46:59 2016	1460944019	2	2333	2335	1559
Mon Apr 18 01:47:51 2016	1460944071	789	1546	2335	770
Mon Apr 18 01:46:55 2016	1460944015	766	1570	2336	797
Mon Apr 18 01:46:55 2016	1460944015	2	2335	2336	1570
