Percentage served,Time in ms
0,2275.443
1,2290.300
2,2294.980
3,2304.197
4,2312.564
5,2316.360
6,2318.770
7,2322.548
8,2329.184
9,2333.161
10,2345.404
11,2347.450
12,2354.113
13,2357.350
14,2359.204
15,2361.630
16,2366.613
17,2368.910
18,2371.907
19,2376.835
20,2385.258
21,2386.063
22,2388.846
23,2390.875
24,2392.965
25,2395.480
26,2397.301
27,2400.878
28,2407.004
29,2409.069
30,2411.742
31,2411.814
32,2414.692
33,2415.702
34,2419.897
35,2423.043
36,2427.393
37,2429.225
38,2430.409
39,2434.609
40,2441.051
41,2468.577
42,2473.319
43,2475.105
44,2482.360
45,2489.395
46,2490.911
47,2494.759
48,2503.510
49,2505.443
50,2505.682
51,2522.428
52,2526.382
53,2532.399
54,2537.031
55,2541.160
56,2547.119
57,2548.731
58,2554.563
59,2557.789
60,2563.603
61,2567.814
62,2594.420
63,2596.338
64,3339.141
65,3361.361
66,3380.034
67,3389.249
68,4589.410
69,4618.400
70,4633.267
71,4650.379
72,4667.448
73,4689.208
74,4718.166
75,4735.512
76,4746.763
77,4755.946
78,4773.488
79,4777.899
80,4786.267
81,4796.768
82,4801.527
83,4810.622
84,4818.692
85,4833.022
86,4848.016
87,4862.448
88,4903.426
89,4925.118
90,4963.678
91,4975.709
92,5009.886
93,5041.944
94,5049.401
95,5072.010
96,5087.319
97,5112.136
98,5131.718
99,5157.617
100,33473.867
