starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 18 02:55:20 2016	1460948120	758	1517	2275	771
Mon Apr 18 02:55:20 2016	1460948120	4	2272	2275	1517
Mon Apr 18 02:55:57 2016	1460948157	751	1537	2289	780
Mon Apr 18 02:55:57 2016	1460948157	4	2285	2289	1537
Mon Apr 18 02:55:34 2016	1460948134	763	1527	2290	764
Mon Apr 18 02:55:34 2016	1460948134	4	2287	2290	1526
Mon Apr 18 02:55:41 2016	1460948141	766	1527	2293	762
Mon Apr 18 02:55:41 2016	1460948141	3	2290	2293	1527
Mon Apr 18 02:55:25 2016	1460948125	772	1523	2295	768
Mon Apr 18 02:55:25 2016	1460948125	4	2291	2295	1523
Mon Apr 18 02:55:27 2016	1460948127	758	1537	2295	754
Mon Apr 18 02:55:27 2016	1460948127	3	2292	2295	1537
Mon Apr 18 02:56:02 2016	1460948162	3	2293	2296	1546
Mon Apr 18 02:56:02 2016	1460948162	750	1546	2296	786
Mon Apr 18 02:55:53 2016	1460948153	4	2300	2304	1534
Mon Apr 18 02:55:53 2016	1460948153	770	1534	2304	761
Mon Apr 18 02:55:32 2016	1460948132	773	1533	2305	757
Mon Apr 18 02:55:32 2016	1460948132	3	2302	2305	1533
Mon Apr 18 02:55:48 2016	1460948148	779	1528	2307	754
Mon Apr 18 02:55:48 2016	1460948148	4	2304	2308	1528
Mon Apr 18 02:55:36 2016	1460948136	757	1555	2313	761
Mon Apr 18 02:55:36 2016	1460948136	3	2309	2313	1555
Mon Apr 18 02:55:50 2016	1460948150	770	1544	2315	753
Mon Apr 18 02:55:50 2016	1460948150	4	2311	2315	1544
Mon Apr 18 02:56:09 2016	1460948169	773	1543	2316	772
Mon Apr 18 02:56:09 2016	1460948169	3	2313	2316	1543
Mon Apr 18 02:55:06 2016	1460948106	761	1556	2317	785
Mon Apr 18 02:55:06 2016	1460948106	4	2313	2317	1555
Mon Apr 18 02:55:43 2016	1460948143	760	1558	2319	787
Mon Apr 18 02:55:43 2016	1460948143	3	2315	2319	1558
Mon Apr 18 02:55:03 2016	1460948103	1	2318	2319	1538
Mon Apr 18 02:55:03 2016	1460948103	780	1539	2319	776
Mon Apr 18 02:55:29 2016	1460948129	812	1508	2319	757
Mon Apr 18 02:55:29 2016	1460948129	3	2316	2320	1508
Mon Apr 18 02:54:59 2016	1460948099	768	1554	2323	767
Mon Apr 18 02:54:59 2016	1460948099	2	2321	2323	1554
Mon Apr 18 02:55:15 2016	1460948115	780	1544	2324	791
Mon Apr 18 02:55:15 2016	1460948115	3	2321	2324	1544
Mon Apr 18 02:56:14 2016	1460948174	777	1548	2325	774
Mon Apr 18 02:56:14 2016	1460948174	4	2322	2325	1548
Mon Apr 18 02:55:10 2016	1460948110	761	1568	2329	762
Mon Apr 18 02:55:10 2016	1460948110	4	2325	2329	1568
Mon Apr 18 02:55:59 2016	1460948159	767	1566	2333	775
Mon Apr 18 02:55:59 2016	1460948159	3	2330	2333	1566
Mon Apr 18 02:56:16 2016	1460948176	748	1585	2333	800
Mon Apr 18 02:56:16 2016	1460948176	4	2329	2333	1584
Mon Apr 18 02:56:04 2016	1460948164	764	1573	2338	784
Mon Apr 18 02:56:04 2016	1460948164	3	2334	2338	1573
Mon Apr 18 02:56:37 2016	1460948197	770	1572	2342	784
Mon Apr 18 02:56:37 2016	1460948197	3	2339	2342	1572
Mon Apr 18 02:55:01 2016	1460948101	3	2342	2345	1595
Mon Apr 18 02:55:01 2016	1460948101	750	1596	2345	793
Mon Apr 18 02:55:55 2016	1460948155	769	1577	2347	811
Mon Apr 18 02:55:55 2016	1460948155	3	2343	2347	1577
Mon Apr 18 02:56:47 2016	1460948207	788	1559	2347	780
Mon Apr 18 02:56:47 2016	1460948207	3	2345	2347	1559
Mon Apr 18 02:57:13 2016	1460948233	779	1570	2350	791
Mon Apr 18 02:57:13 2016	1460948233	4	2346	2350	1570
Mon Apr 18 02:55:39 2016	1460948139	770	1582	2352	816
Mon Apr 18 02:55:39 2016	1460948139	3	2349	2352	1582
Mon Apr 18 02:57:34 2016	1460948254	780	1574	2354	799
Mon Apr 18 02:57:34 2016	1460948254	4	2351	2354	1574
Mon Apr 18 02:56:42 2016	1460948202	782	1574	2356	785
Mon Apr 18 02:56:42 2016	1460948202	3	2353	2356	1574
Mon Apr 18 02:57:11 2016	1460948231	783	1574	2357	788
Mon Apr 18 02:57:11 2016	1460948231	3	2354	2357	1574
Mon Apr 18 02:54:56 2016	1460948096	750	1609	2359	821
Mon Apr 18 02:56:11 2016	1460948171	775	1584	2359	805
