Percentage served,Time in ms
0,486.577
1,730.812
2,737.449
3,743.089
4,745.640
5,747.611
6,748.536
7,749.554
8,750.561
9,751.036
10,751.730
11,751.926
12,752.425
13,752.870
14,753.432
15,753.830
16,754.650
17,754.938
18,755.049
19,755.377
20,755.476
21,755.732
22,756.664
23,757.532
24,757.883
25,757.968
26,758.197
27,758.554
28,758.888
29,759.071
30,760.265
31,760.701
32,761.559
33,761.840
34,762.183
35,763.228
36,763.340
37,764.072
38,764.469
39,765.235
40,765.935
41,766.043
42,766.508
43,767.236
44,767.934
45,768.633
46,769.208
47,770.010
48,770.633
49,772.274
50,773.046
51,775.700
52,776.576
53,777.921
54,779.723
55,782.080
56,785.199
57,786.842
58,787.449
59,790.234
60,791.745
61,795.454
62,796.868
63,798.806
64,807.352
65,863.766
66,922.579
67,1474.491
68,1496.358
69,1502.337
70,1503.741
71,1505.769
72,1507.139
73,1509.939
74,1513.314
75,1515.527
76,1516.377
77,1516.586
78,1519.005
79,1520.666
80,1521.459
81,1522.940
82,1525.958
83,1527.337
84,1529.048
85,1529.966
86,1531.138
87,1531.982
88,1533.823
89,1536.505
90,1538.583
91,1542.840
92,1543.968
93,1549.683
94,1550.735
95,1553.641
96,1558.512
97,1564.803
98,1576.483
99,1653.874
100,1814.380
