starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 18 02:14:23 2016	1460945663	2	849	851	395
Mon Apr 18 02:14:12 2016	1460945652	444	867	1311	434
Mon Apr 18 02:14:12 2016	1460945652	2	1309	1311	867
Mon Apr 18 02:14:16 2016	1460945656	427	886	1313	439
Mon Apr 18 02:14:16 2016	1460945656	2	1311	1313	886
Mon Apr 18 02:14:21 2016	1460945661	438	880	1318	440
Mon Apr 18 02:14:21 2016	1460945661	2	1317	1318	880
Mon Apr 18 02:12:43 2016	1460945563	436	884	1319	447
Mon Apr 18 02:12:43 2016	1460945563	1	1318	1319	884
Mon Apr 18 02:13:30 2016	1460945610	2	1318	1320	880
Mon Apr 18 02:13:30 2016	1460945610	440	880	1320	438
Mon Apr 18 02:11:41 2016	1460945501	438	884	1322	443
Mon Apr 18 02:11:41 2016	1460945501	2	1320	1322	884
Mon Apr 18 02:12:00 2016	1460945520	440	883	1322	442
Mon Apr 18 02:12:00 2016	1460945520	2	1321	1322	883
Mon Apr 18 02:13:35 2016	1460945615	442	880	1323	432
Mon Apr 18 02:13:35 2016	1460945615	2	1321	1323	880
Mon Apr 18 02:13:50 2016	1460945630	2	1321	1323	874
Mon Apr 18 02:13:50 2016	1460945630	449	875	1323	442
Mon Apr 18 02:13:22 2016	1460945602	2	1322	1324	889
Mon Apr 18 02:13:22 2016	1460945602	435	889	1324	446
Mon Apr 18 02:11:10 2016	1460945470	435	889	1324	451
Mon Apr 18 02:11:10 2016	1460945470	2	1323	1324	889
Mon Apr 18 02:11:39 2016	1460945499	441	884	1325	444
Mon Apr 18 02:11:39 2016	1460945499	2	1323	1325	884
Mon Apr 18 02:12:47 2016	1460945567	437	888	1325	439
Mon Apr 18 02:12:47 2016	1460945567	2	1324	1325	888
Mon Apr 18 02:14:19 2016	1460945659	444	881	1326	432
Mon Apr 18 02:14:19 2016	1460945659	2	1324	1326	881
Mon Apr 18 02:13:26 2016	1460945606	439	887	1326	446
Mon Apr 18 02:13:26 2016	1460945606	2	1324	1326	886
Mon Apr 18 02:13:49 2016	1460945629	442	884	1326	443
Mon Apr 18 02:13:49 2016	1460945629	2	1324	1326	884
Mon Apr 18 02:13:44 2016	1460945624	438	888	1327	445
Mon Apr 18 02:13:44 2016	1460945624	2	1325	1327	888
Mon Apr 18 02:11:09 2016	1460945469	445	884	1328	445
Mon Apr 18 02:11:09 2016	1460945469	2	1327	1328	884
Mon Apr 18 02:13:40 2016	1460945620	459	869	1328	441
Mon Apr 18 02:13:40 2016	1460945620	2	1327	1328	869
Mon Apr 18 02:11:20 2016	1460945480	439	889	1329	444
Mon Apr 18 02:11:20 2016	1460945480	2	1327	1329	889
Mon Apr 18 02:11:56 2016	1460945516	447	882	1329	442
Mon Apr 18 02:11:56 2016	1460945516	2	1327	1329	882
Mon Apr 18 02:13:02 2016	1460945582	2	1328	1329	886
Mon Apr 18 02:13:02 2016	1460945582	443	886	1329	442
Mon Apr 18 02:11:13 2016	1460945473	2	1328	1329	886
Mon Apr 18 02:11:13 2016	1460945473	443	886	1329	445
Mon Apr 18 02:13:25 2016	1460945605	441	889	1330	444
Mon Apr 18 02:13:25 2016	1460945605	2	1328	1330	889
Mon Apr 18 02:13:06 2016	1460945586	442	888	1330	446
Mon Apr 18 02:13:06 2016	1460945586	2	1328	1330	888
Mon Apr 18 02:13:48 2016	1460945628	445	886	1331	445
Mon Apr 18 02:13:48 2016	1460945628	1	1330	1331	885
Mon Apr 18 02:12:29 2016	1460945549	2	1329	1331	889
Mon Apr 18 02:12:36 2016	1460945556	445	886	1331	444
Mon Apr 18 02:12:29 2016	1460945549	442	889	1331	449
Mon Apr 18 02:12:36 2016	1460945556	2	1330	1331	886
Mon Apr 18 02:12:02 2016	1460945522	447	885	1332	433
Mon Apr 18 02:12:02 2016	1460945522	2	1330	1332	885
Mon Apr 18 02:11:26 2016	1460945486	446	886	1332	446
Mon Apr 18 02:11:26 2016	1460945486	2	1330	1332	886
Mon Apr 18 02:13:38 2016	1460945618	449	884	1333	443
Mon Apr 18 02:13:38 2016	1460945618	2	1331	1333	884
Mon Apr 18 02:12:40 2016	1460945560	446	887	1333	445
Mon Apr 18 02:12:04 2016	1460945524	427	906	1333	454
Mon Apr 18 02:12:40 2016	1460945560	2	1331	1333	887
Mon Apr 18 02:12:04 2016	1460945524	0	1333	1333	902
Mon Apr 18 02:12:16 2016	1460945536	440	893	1334	446
Mon Apr 18 02:12:16 2016	1460945536	2	1332	1334	893
Mon Apr 18 02:11:21 2016	1460945481	2	1332	1334	891
Mon Apr 18 02:11:21 2016	1460945481	443	891	1334	449
Mon Apr 18 02:13:53 2016	1460945633	2	1333	1334	891
Mon Apr 18 02:13:53 2016	1460945633	443	892	1334	449
Mon Apr 18 02:13:10 2016	1460945590	2	1333	1335	891
Mon Apr 18 02:13:52 2016	1460945632	437	898	1335	445
Mon Apr 18 02:13:52 2016	1460945632	2	1333	1335	897
Mon Apr 18 02:13:10 2016	1460945590	443	891	1335	445
Mon Apr 18 02:11:16 2016	1460945476	441	894	1335	450
Mon Apr 18 02:11:16 2016	1460945476	2	1334	1335	894
Mon Apr 18 02:13:41 2016	1460945621	447	889	1336	447
Mon Apr 18 02:13:31 2016	1460945611	442	894	1336	447
Mon Apr 18 02:13:31 2016	1460945611	2	1334	1336	894
Mon Apr 18 02:13:41 2016	1460945621	2	1334	1336	889
Mon Apr 18 02:14:11 2016	1460945651	442	895	1336	439
Mon Apr 18 02:14:11 2016	1460945651	2	1335	1336	894
Mon Apr 18 02:14:01 2016	1460945641	453	883	1336	451
Mon Apr 18 02:14:01 2016	1460945641	2	1335	1336	883
Mon Apr 18 02:13:56 2016	1460945636	447	890	1337	440
Mon Apr 18 02:13:04 2016	1460945584	445	893	1337	450
Mon Apr 18 02:12:44 2016	1460945564	438	899	1338	439
Mon Apr 18 02:13:56 2016	1460945636	2	1336	1338	890
Mon Apr 18 02:11:08 2016	1460945468	447	891	1338	438
Mon Apr 18 02:11:08 2016	1460945468	2	1336	1338	891
Mon Apr 18 02:12:44 2016	1460945564	2	1336	1338	899
Mon Apr 18 02:13:04 2016	1460945584	2	1336	1338	892
Mon Apr 18 02:12:17 2016	1460945537	455	883	1338	443
Mon Apr 18 02:12:17 2016	1460945537	2	1336	1338	883
Mon Apr 18 02:13:11 2016	1460945591	2	1337	1338	903
Mon Apr 18 02:13:11 2016	1460945591	435	903	1338	450
Mon Apr 18 02:14:17 2016	1460945657	2	1337	1338	893
Mon Apr 18 02:14:17 2016	1460945657	445	893	1338	446
Mon Apr 18 02:11:40 2016	1460945500	442	897	1339	443
Mon Apr 18 02:11:40 2016	1460945500	2	1337	1339	897
Mon Apr 18 02:13:07 2016	1460945587	2	1337	1339	882
Mon Apr 18 02:13:07 2016	1460945587	457	882	1339	441
Mon Apr 18 02:13:12 2016	1460945592	452	887	1339	443
Mon Apr 18 02:13:12 2016	1460945592	2	1337	1339	887
Mon Apr 18 02:11:17 2016	1460945477	2	1337	1339	896
Mon Apr 18 02:11:17 2016	1460945477	443	896	1339	441
Mon Apr 18 02:11:31 2016	1460945491	442	898	1340	449
Mon Apr 18 02:11:31 2016	1460945491	2	1338	1340	898
Mon Apr 18 02:13:27 2016	1460945607	441	899	1340	454
Mon Apr 18 02:13:27 2016	1460945607	2	1338	1340	899
Mon Apr 18 02:13:45 2016	1460945625	445	896	1340	452
Mon Apr 18 02:13:45 2016	1460945625	2	1339	1341	895
Mon Apr 18 02:11:25 2016	1460945485	445	896	1341	459
Mon Apr 18 02:11:25 2016	1460945485	2	1339	1341	896
Mon Apr 18 02:12:32 2016	1460945552	445	897	1342	456
Mon Apr 18 02:12:32 2016	1460945552	2	1340	1342	897
Mon Apr 18 02:12:14 2016	1460945534	445	897	1342	452
Mon Apr 18 02:11:05 2016	1460945465	444	898	1342	450
Mon Apr 18 02:11:05 2016	1460945465	2	1340	1342	898
Mon Apr 18 02:12:14 2016	1460945534	2	1340	1342	896
Mon Apr 18 02:13:17 2016	1460945597	2	1340	1342	885
Mon Apr 18 02:13:17 2016	1460945597	457	885	1342	443
Mon Apr 18 02:12:30 2016	1460945550	439	904	1343	459
Mon Apr 18 02:13:58 2016	1460945638	448	895	1343	457
Mon Apr 18 02:13:58 2016	1460945638	2	1341	1343	895
Mon Apr 18 02:12:30 2016	1460945550	2	1342	1343	904
Mon Apr 18 02:14:07 2016	1460945647	457	887	1343	443
Mon Apr 18 02:14:07 2016	1460945647	2	1341	1343	886
Mon Apr 18 02:14:08 2016	1460945648	451	893	1344	442
Mon Apr 18 02:13:21 2016	1460945601	447	897	1344	459
Mon Apr 18 02:13:21 2016	1460945601	2	1342	1344	897
Mon Apr 18 02:14:08 2016	1460945648	2	1343	1344	893
Mon Apr 18 02:11:29 2016	1460945489	443	901	1344	442
Mon Apr 18 02:11:29 2016	1460945489	2	1343	1344	901
Mon Apr 18 02:12:33 2016	1460945553	444	900	1344	446
Mon Apr 18 02:12:21 2016	1460945541	447	897	1344	453
Mon Apr 18 02:12:21 2016	1460945541	2	1343	1344	897
Mon Apr 18 02:12:33 2016	1460945553	2	1343	1345	900
Mon Apr 18 02:13:03 2016	1460945583	2	1343	1345	902
Mon Apr 18 02:13:03 2016	1460945583	443	902	1345	462
Mon Apr 18 02:11:04 2016	1460945464	442	903	1345	453
Mon Apr 18 02:11:04 2016	1460945464	2	1343	1345	903
Mon Apr 18 02:12:25 2016	1460945545	441	904	1345	449
Mon Apr 18 02:12:25 2016	1460945545	2	1343	1345	904
Mon Apr 18 02:13:33 2016	1460945613	450	895	1345	451
Mon Apr 18 02:13:33 2016	1460945613	2	1344	1345	895
Mon Apr 18 02:12:26 2016	1460945546	450	895	1345	445
Mon Apr 18 02:12:26 2016	1460945546	2	1344	1346	895
Mon Apr 18 02:10:58 2016	1460945458	439	907	1346	445
Mon Apr 18 02:10:58 2016	1460945458	2	1344	1346	907
Mon Apr 18 02:10:55 2016	1460945455	448	898	1346	449
Mon Apr 18 02:10:55 2016	1460945455	2	1344	1346	898
Mon Apr 18 02:11:22 2016	1460945482	2	1344	1346	889
Mon Apr 18 02:11:22 2016	1460945482	457	889	1346	445
Mon Apr 18 02:11:43 2016	1460945503	454	892	1346	446
Mon Apr 18 02:11:43 2016	1460945503	2	1345	1346	892
Mon Apr 18 02:11:24 2016	1460945484	443	903	1347	433
Mon Apr 18 02:11:24 2016	1460945484	2	1345	1347	903
Mon Apr 18 02:11:33 2016	1460945493	457	891	1347	449
Mon Apr 18 02:11:52 2016	1460945512	457	890	1347	443
Mon Apr 18 02:11:33 2016	1460945493	2	1346	1347	890
