Percentage served,Time in ms
0,2970.937
1,4398.694
2,4413.026
3,4425.984
4,4436.977
5,4445.135
6,4445.716
7,4455.601
8,4460.003
9,4465.386
10,4469.331
11,4483.014
12,4484.932
13,4504.269
14,4519.377
15,4617.288
16,4739.640
17,4773.063
18,4779.191
19,4792.097
20,4820.491
21,4838.625
22,4843.833
23,4849.556
24,4852.765
25,4869.789
26,4876.943
27,4879.509
28,4901.127
29,4908.192
30,4920.657
31,4925.197
32,4973.492
33,5028.814
34,5065.119
35,5068.454
36,5088.867
37,5100.294
38,5115.931
39,5128.948
40,5141.529
41,5148.252
42,5180.849
43,5184.960
44,5189.966
45,5194.860
46,5199.486
47,5202.372
48,5219.739
49,5221.874
50,5237.546
51,5240.292
52,5255.921
53,5267.146
54,5278.288
55,5287.954
56,5301.861
57,5308.425
58,5333.819
59,5346.098
60,5372.441
61,5395.185
62,5409.913
63,5427.005
64,5460.865
65,5488.292
66,5572.127
67,8839.839
68,8862.970
69,8877.498
70,8888.096
71,8904.508
72,8929.010
73,8988.619
74,9088.339
75,9599.262
76,9649.245
77,9662.564
78,9687.679
79,9712.126
80,9734.491
81,9761.954
82,9786.974
83,10115.854
84,10135.353
85,10239.342
86,10278.475
87,10314.165
88,10353.723
89,10387.925
90,10416.585
91,10437.428
92,10458.679
93,10507.458
94,10578.328
95,10631.333
96,10692.831
97,10771.469
98,10849.783
99,10978.538
100,11112.531
