starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 18 02:27:05 2016	1460946425	791	1574	2364	781
Mon Apr 18 02:27:05 2016	1460946425	2	2363	2364	1574
Mon Apr 18 02:26:55 2016	1460946415	797	1570	2367	773
Mon Apr 18 02:26:55 2016	1460946415	2	2365	2367	1569
Mon Apr 18 02:26:43 2016	1460946403	2	2365	2367	1579
Mon Apr 18 02:26:43 2016	1460946403	787	1580	2367	790
Mon Apr 18 02:26:41 2016	1460946401	782	1587	2368	790
Mon Apr 18 02:26:41 2016	1460946401	2	2367	2369	1587
Mon Apr 18 02:26:58 2016	1460946418	797	1587	2384	797
Mon Apr 18 02:26:58 2016	1460946418	2	2382	2384	1587
Mon Apr 18 02:27:00 2016	1460946420	786	1600	2386	803
Mon Apr 18 02:27:00 2016	1460946420	2	2384	2386	1599
Mon Apr 18 02:27:10 2016	1460946430	790	1606	2396	804
Mon Apr 18 02:27:10 2016	1460946430	1	2395	2396	1606
Mon Apr 18 02:26:50 2016	1460946410	798	1598	2396	806
Mon Apr 18 02:26:50 2016	1460946410	2	2395	2396	1598
Mon Apr 18 02:27:02 2016	1460946422	789	1616	2405	823
Mon Apr 18 02:27:02 2016	1460946422	2	2404	2405	1616
Mon Apr 18 02:27:12 2016	1460946432	793	1618	2411	805
Mon Apr 18 02:27:12 2016	1460946432	2	2409	2411	1618
Mon Apr 18 02:26:45 2016	1460946405	787	1625	2412	810
Mon Apr 18 02:26:45 2016	1460946405	2	2410	2412	1625
Mon Apr 18 02:33:53 2016	1460946833	804	1643	2447	820
Mon Apr 18 02:27:07 2016	1460946427	2	2451	2453	1657
Mon Apr 18 02:27:07 2016	1460946427	795	1658	2453	805
Mon Apr 18 02:26:38 2016	1460946398	38	2420	2458	1622
Mon Apr 18 02:26:38 2016	1460946398	836	1622	2458	816
Mon Apr 18 02:26:38 2016	1460946398	1	2457	2458	2420
Mon Apr 18 02:26:48 2016	1460946408	919	1579	2498	790
Mon Apr 18 02:26:48 2016	1460946408	2	2496	2498	1578
Mon Apr 18 02:26:53 2016	1460946413	919	1614	2532	817
Mon Apr 18 02:26:53 2016	1460946413	2	2531	2532	1613
Mon Apr 18 02:27:45 2016	1460946465	33	2569	2603	1614
Mon Apr 18 02:27:49 2016	1460946469	797	2376	3173	1587
Mon Apr 18 02:28:28 2016	1460946508	796	2379	3175	1596
Mon Apr 18 02:28:29 2016	1460946509	783	2392	3175	1591
Mon Apr 18 02:27:49 2016	1460946469	789	2387	3177	1585
Mon Apr 18 02:27:51 2016	1460946471	785	2393	3178	1593
Mon Apr 18 02:28:27 2016	1460946507	798	2380	3178	1584
Mon Apr 18 02:28:17 2016	1460946497	789	2391	3181	1603
Mon Apr 18 02:28:38 2016	1460946518	802	2380	3183	1592
Mon Apr 18 02:28:39 2016	1460946519	789	2395	3184	1599
Mon Apr 18 02:28:37 2016	1460946517	793	2391	3184	1591
Mon Apr 18 02:28:38 2016	1460946518	800	2387	3188	1585
Mon Apr 18 02:27:50 2016	1460946470	803	2385	3188	1601
Mon Apr 18 02:27:48 2016	1460946468	802	2388	3191	1592
Mon Apr 18 02:27:53 2016	1460946473	801	2390	3191	1599
Mon Apr 18 02:28:36 2016	1460946516	796	2396	3192	1602
Mon Apr 18 02:28:01 2016	1460946481	788	2404	3192	1608
Mon Apr 18 02:27:57 2016	1460946477	793	2400	3192	1604
Mon Apr 18 02:27:47 2016	1460946467	804	2388	3192	1587
Mon Apr 18 02:28:02 2016	1460946482	796	2398	3194	1597
Mon Apr 18 02:28:30 2016	1460946510	801	2393	3194	1598
Mon Apr 18 02:28:03 2016	1460946483	801	2394	3195	1587
Mon Apr 18 02:27:52 2016	1460946472	801	2396	3197	1596
Mon Apr 18 02:28:17 2016	1460946497	789	2409	3198	1602
Mon Apr 18 02:28:08 2016	1460946488	805	2394	3199	1577
Mon Apr 18 02:27:57 2016	1460946477	802	2398	3200	1605
Mon Apr 18 02:28:35 2016	1460946515	812	2389	3201	1593
Mon Apr 18 02:28:30 2016	1460946510	795	2409	3204	1613
Mon Apr 18 02:28:22 2016	1460946502	803	2402	3205	1603
Mon Apr 18 02:27:55 2016	1460946475	795	2411	3206	1595
Mon Apr 18 02:28:00 2016	1460946480	795	2411	3206	1584
Mon Apr 18 02:28:05 2016	1460946485	790	2417	3207	1620
Mon Apr 18 02:28:21 2016	1460946501	807	2400	3207	1597
Mon Apr 18 02:27:53 2016	1460946473	792	2415	3207	1611
Mon Apr 18 02:27:56 2016	1460946476	817	2391	3207	1589
Mon Apr 18 02:28:13 2016	1460946493	800	2408	3208	1611
Mon Apr 18 02:28:23 2016	1460946503	800	2409	3208	1611
Mon Apr 18 02:28:07 2016	1460946487	794	2415	3209	1611
Mon Apr 18 02:28:31 2016	1460946511	796	2413	3209	1611
Mon Apr 18 02:28:18 2016	1460946498	807	2403	3210	1608
Mon Apr 18 02:28:21 2016	1460946501	801	2409	3210	1602
Mon Apr 18 02:28:19 2016	1460946499	796	2414	3210	1608
Mon Apr 18 02:28:12 2016	1460946492	806	2405	3211	1605
Mon Apr 18 02:28:40 2016	1460946520	797	2414	3211	1619
Mon Apr 18 02:28:01 2016	1460946481	828	2385	3213	1597
Mon Apr 18 02:27:46 2016	1460946466	810	2403	3213	1600
Mon Apr 18 02:28:15 2016	1460946495	803	2411	3213	1578
Mon Apr 18 02:28:34 2016	1460946514	815	2401	3216	1590
Mon Apr 18 02:28:20 2016	1460946500	806	2411	3217	1610
Mon Apr 18 02:28:16 2016	1460946496	833	2384	3217	1595
Mon Apr 18 02:27:54 2016	1460946474	804	2413	3217	1619
