Percentage served,Time in ms
0,2616.516
1,2639.873
2,2661.027
3,2668.232
4,2670.843
5,2681.229
6,2682.763
7,2685.328
8,2688.344
9,2694.262
10,2702.587
11,2713.629
12,2733.205
13,2784.598
14,2949.600
15,3566.227
16,3573.547
17,3574.932
18,3578.390
19,3579.712
20,3582.155
21,3582.928
22,3585.831
23,3586.742
24,3588.565
25,3590.641
26,3593.404
27,3594.294
28,3595.971
29,3596.996
30,3598.289
31,3600.245
32,3602.293
33,3603.509
34,3604.002
35,3605.135
36,3605.466
37,3606.117
38,3607.136
39,3607.578
40,3608.289
41,3609.399
42,3610.848
43,3612.313
44,3614.088
45,3615.064
46,3616.014
47,3616.767
48,3617.274
49,3618.463
50,3619.194
51,3620.119
52,3621.070
53,3621.961
54,3623.042
55,3623.473
56,3624.862
57,3625.560
58,3626.335
59,3627.274
60,3627.577
61,3628.041
62,3629.521
63,3630.776
64,3631.692
65,3633.054
66,3635.074
67,3636.114
68,3636.901
69,3638.474
70,3639.213
71,3640.727
72,3641.880
73,3642.467
74,3643.865
75,3644.221
76,3645.939
77,3646.649
78,3648.396
79,3650.244
80,3652.822
81,3654.154
82,3655.617
83,3658.698
84,3662.400
85,3666.889
86,3669.501
87,3670.973
88,3675.167
89,3682.271
90,3694.820
91,3709.595
92,3729.330
93,5318.595
94,5356.229
95,5369.503
96,5390.574
97,5405.048
98,5432.607
99,5616.011
100,33676.442
