starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 18 00:20:50 2016	1460938850	426	840	1266	430
Mon Apr 18 00:20:50 2016	1460938850	2	1264	1266	840
Mon Apr 18 00:20:52 2016	1460938852	432	845	1278	410
Mon Apr 18 00:20:52 2016	1460938852	2	1276	1278	845
Mon Apr 18 00:24:43 2016	1460939083	428	888	1315	447
Mon Apr 18 00:20:38 2016	1460938838	429	896	1325	447
Mon Apr 18 00:20:38 2016	1460938838	2	1323	1325	896
Mon Apr 18 00:20:46 2016	1460938846	443	883	1326	432
Mon Apr 18 00:20:46 2016	1460938846	2	1324	1326	883
Mon Apr 18 00:20:41 2016	1460938841	460	869	1329	425
Mon Apr 18 00:20:41 2016	1460938841	2	1328	1329	869
Mon Apr 18 00:20:35 2016	1460938835	438	898	1337	446
Mon Apr 18 00:20:35 2016	1460938835	2	1335	1337	898
Mon Apr 18 00:20:48 2016	1460938848	456	885	1341	435
Mon Apr 18 00:20:48 2016	1460938848	2	1340	1341	885
Mon Apr 18 00:20:39 2016	1460938839	445	900	1345	450
Mon Apr 18 00:20:39 2016	1460938839	2	1344	1345	900
Mon Apr 18 00:20:45 2016	1460938845	453	897	1350	451
Mon Apr 18 00:20:45 2016	1460938845	2	1348	1350	897
Mon Apr 18 00:20:49 2016	1460938849	437	914	1351	432
Mon Apr 18 00:20:49 2016	1460938849	2	1349	1351	914
Mon Apr 18 00:20:37 2016	1460938837	448	908	1355	455
Mon Apr 18 00:20:37 2016	1460938837	1	1354	1355	907
Mon Apr 18 00:20:44 2016	1460938844	447	913	1360	458
Mon Apr 18 00:20:44 2016	1460938844	1	1358	1360	913
Mon Apr 18 00:20:42 2016	1460938842	461	920	1381	470
Mon Apr 18 00:20:42 2016	1460938842	2	1379	1381	920
Mon Apr 18 00:20:34 2016	1460938834	1	1396	1397	1365
Mon Apr 18 00:20:34 2016	1460938834	32	1365	1397	931
Mon Apr 18 00:20:34 2016	1460938834	466	931	1397	468
Mon Apr 18 00:21:23 2016	1460938883	33	1395	1428	861
Mon Apr 18 00:21:24 2016	1460938884	421	1297	1718	858
Mon Apr 18 00:21:52 2016	1460938912	421	1299	1720	865
Mon Apr 18 00:21:56 2016	1460938916	423	1300	1723	866
Mon Apr 18 00:21:25 2016	1460938885	423	1300	1723	868
Mon Apr 18 00:21:25 2016	1460938885	435	1289	1724	867
Mon Apr 18 00:21:34 2016	1460938894	423	1306	1728	880
Mon Apr 18 00:21:24 2016	1460938884	440	1290	1730	856
Mon Apr 18 00:21:27 2016	1460938887	434	1299	1733	863
Mon Apr 18 00:21:29 2016	1460938889	424	1310	1734	875
Mon Apr 18 00:22:27 2016	1460938947	428	1306	1734	864
Mon Apr 18 00:22:31 2016	1460938951	430	1304	1734	864
Mon Apr 18 00:22:03 2016	1460938923	427	1307	1734	877
Mon Apr 18 00:21:53 2016	1460938913	434	1300	1734	863
Mon Apr 18 00:23:10 2016	1460938990	430	1304	1735	864
Mon Apr 18 00:23:13 2016	1460938993	429	1306	1735	865
Mon Apr 18 00:22:34 2016	1460938954	435	1300	1735	871
Mon Apr 18 00:22:21 2016	1460938941	428	1307	1735	872
Mon Apr 18 00:21:26 2016	1460938886	433	1303	1736	870
Mon Apr 18 00:22:41 2016	1460938961	433	1303	1736	874
Mon Apr 18 00:21:51 2016	1460938911	437	1299	1736	855
Mon Apr 18 00:21:56 2016	1460938916	435	1302	1736	863
Mon Apr 18 00:21:26 2016	1460938886	434	1303	1737	869
Mon Apr 18 00:22:49 2016	1460938969	433	1304	1737	867
Mon Apr 18 00:22:34 2016	1460938954	437	1300	1737	865
Mon Apr 18 00:21:52 2016	1460938912	445	1292	1737	872
Mon Apr 18 00:22:20 2016	1460938940	444	1294	1738	866
Mon Apr 18 00:23:14 2016	1460938994	442	1297	1739	873
Mon Apr 18 00:23:15 2016	1460938995	424	1315	1739	875
Mon Apr 18 00:23:11 2016	1460938991	424	1315	1739	878
Mon Apr 18 00:23:15 2016	1460938995	433	1306	1739	864
Mon Apr 18 00:22:06 2016	1460938926	425	1314	1739	871
Mon Apr 18 00:23:45 2016	1460939025	433	1307	1740	869
Mon Apr 18 00:21:57 2016	1460938917	439	1301	1741	875
Mon Apr 18 00:22:02 2016	1460938922	446	1295	1741	857
Mon Apr 18 00:23:11 2016	1460938991	440	1301	1741	877
Mon Apr 18 00:22:11 2016	1460938931	432	1308	1741	873
Mon Apr 18 00:23:10 2016	1460938990	441	1300	1741	861
