Percentage served,Time in ms
0,953.127
1,1398.000
2,1410.295
3,1413.465
4,1419.169
5,1420.904
6,1426.808
7,1428.136
8,1431.189
9,1431.960
10,1433.603
11,1433.956
12,1435.536
13,1437.651
14,1439.030
15,1440.408
16,1443.116
17,1445.881
18,1446.769
19,1447.582
20,1448.860
21,1449.213
22,1449.974
23,1451.463
24,1454.170
25,1457.128
26,1458.428
27,1461.832
28,1462.392
29,1465.120
30,1465.861
31,1466.593
32,1467.051
33,1468.885
34,1469.027
35,1470.311
36,1472.996
37,1473.847
38,1475.329
39,1477.186
40,1478.222
41,1479.617
42,1481.634
43,1483.676
44,1484.656
45,1486.056
46,1487.857
47,1490.479
48,1490.968
49,1494.054
50,1497.491
51,1498.734
52,1499.486
53,1501.387
54,1503.222
55,1504.956
56,1507.273
57,1509.496
58,1511.377
59,1512.859
60,1515.331
61,1526.696
62,1534.488
63,1543.515
64,1546.608
65,1606.977
66,1731.754
67,2829.249
68,2837.851
69,2857.385
70,2861.454
71,2866.308
72,2871.872
73,2874.726
74,2883.207
75,2885.780
76,2891.835
77,2894.883
78,2898.274
79,2908.402
80,2917.022
81,2923.667
82,2933.083
83,2934.818
84,2947.759
85,2952.187
86,2955.435
87,2962.473
88,2968.863
89,2976.964
90,2981.070
91,2985.996
92,2996.759
93,3003.339
94,3013.422
95,3019.122
96,3025.162
97,3035.248
98,3051.465
99,3125.799
100,3242.714
