starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 18 00:40:29 2016	1460940029	2	951	953	471
Mon Apr 18 00:36:29 2016	1460939789	394	979	1373	488
Mon Apr 18 00:38:18 2016	1460939898	455	941	1396	465
Mon Apr 18 00:38:18 2016	1460939898	2	1394	1396	940
Mon Apr 18 00:37:15 2016	1460939835	467	931	1398	471
Mon Apr 18 00:37:15 2016	1460939835	2	1396	1398	930
Mon Apr 18 00:37:09 2016	1460939829	458	943	1401	464
Mon Apr 18 00:37:09 2016	1460939829	2	1399	1401	943
Mon Apr 18 00:37:55 2016	1460939875	457	944	1401	457
Mon Apr 18 00:37:55 2016	1460939875	2	1399	1401	944
Mon Apr 18 00:37:49 2016	1460939869	472	939	1410	476
Mon Apr 18 00:37:49 2016	1460939869	2	1408	1410	939
Mon Apr 18 00:37:32 2016	1460939852	460	950	1411	467
Mon Apr 18 00:37:32 2016	1460939852	2	1409	1411	950
Mon Apr 18 00:38:06 2016	1460939886	462	951	1413	458
Mon Apr 18 00:38:06 2016	1460939886	2	1412	1413	951
Mon Apr 18 00:37:29 2016	1460939849	458	961	1418	473
Mon Apr 18 00:37:29 2016	1460939849	2	1417	1418	960
Mon Apr 18 00:37:23 2016	1460939843	471	947	1419	459
Mon Apr 18 00:37:23 2016	1460939843	2	1417	1419	947
Mon Apr 18 00:38:04 2016	1460939884	467	952	1419	471
Mon Apr 18 00:38:04 2016	1460939884	2	1418	1419	952
Mon Apr 18 00:37:43 2016	1460939863	462	957	1419	469
Mon Apr 18 00:37:43 2016	1460939863	2	1418	1419	957
Mon Apr 18 00:36:57 2016	1460939817	466	954	1421	466
Mon Apr 18 00:36:57 2016	1460939817	1	1419	1421	954
Mon Apr 18 00:37:51 2016	1460939871	2	1423	1425	944
Mon Apr 18 00:37:51 2016	1460939871	480	945	1425	488
Mon Apr 18 00:38:12 2016	1460939892	2	1424	1426	948
Mon Apr 18 00:38:12 2016	1460939892	477	949	1426	482
Mon Apr 18 00:36:54 2016	1460939814	460	966	1427	474
Mon Apr 18 00:36:54 2016	1460939814	2	1425	1427	966
Mon Apr 18 00:37:06 2016	1460939826	459	968	1428	480
Mon Apr 18 00:37:06 2016	1460939826	2	1426	1428	968
Mon Apr 18 00:38:15 2016	1460939895	465	963	1428	479
Mon Apr 18 00:38:15 2016	1460939895	2	1426	1428	963
Mon Apr 18 00:38:02 2016	1460939882	2	1428	1430	938
Mon Apr 18 00:38:02 2016	1460939882	491	939	1430	476
Mon Apr 18 00:37:26 2016	1460939846	479	951	1430	471
Mon Apr 18 00:37:26 2016	1460939846	2	1428	1430	950
Mon Apr 18 00:36:47 2016	1460939807	488	943	1431	466
Mon Apr 18 00:36:47 2016	1460939807	2	1430	1431	943
Mon Apr 18 00:37:33 2016	1460939853	488	944	1431	468
Mon Apr 18 00:37:33 2016	1460939853	2	1430	1431	944
Mon Apr 18 00:37:39 2016	1460939859	484	948	1432	485
Mon Apr 18 00:37:39 2016	1460939859	2	1430	1432	948
Mon Apr 18 00:37:35 2016	1460939855	478	954	1432	470
Mon Apr 18 00:37:35 2016	1460939855	2	1430	1432	954
Mon Apr 18 00:37:53 2016	1460939873	465	968	1433	493
Mon Apr 18 00:37:53 2016	1460939873	2	1431	1433	968
Mon Apr 18 00:37:12 2016	1460939832	483	951	1434	462
Mon Apr 18 00:37:12 2016	1460939832	2	1432	1434	950
Mon Apr 18 00:38:17 2016	1460939897	467	967	1434	496
Mon Apr 18 00:38:17 2016	1460939897	2	1432	1434	966
Mon Apr 18 00:37:07 2016	1460939827	471	963	1434	479
Mon Apr 18 00:37:07 2016	1460939827	2	1432	1434	963
Mon Apr 18 00:37:52 2016	1460939872	464	971	1435	490
Mon Apr 18 00:37:38 2016	1460939858	460	975	1435	501
Mon Apr 18 00:37:52 2016	1460939872	2	1433	1435	971
Mon Apr 18 00:36:53 2016	1460939813	2	1434	1435	951
Mon Apr 18 00:36:53 2016	1460939813	484	951	1436	476
Mon Apr 18 00:37:46 2016	1460939866	2	1435	1437	954
Mon Apr 18 00:37:46 2016	1460939866	482	954	1437	464
Mon Apr 18 00:36:40 2016	1460939800	482	955	1437	487
Mon Apr 18 00:36:40 2016	1460939800	2	1435	1437	954
Mon Apr 18 00:38:53 2016	1460939933	479	959	1438	474
Mon Apr 18 00:38:53 2016	1460939933	1	1437	1438	959
Mon Apr 18 00:37:45 2016	1460939865	491	948	1438	472
Mon Apr 18 00:37:45 2016	1460939865	2	1437	1439	947
Mon Apr 18 00:38:19 2016	1460939899	495	944	1439	470
Mon Apr 18 00:38:19 2016	1460939899	2	1437	1439	943
Mon Apr 18 00:37:17 2016	1460939837	467	972	1440	478
Mon Apr 18 00:37:17 2016	1460939837	2	1437	1440	972
Mon Apr 18 00:36:52 2016	1460939812	486	954	1440	486
Mon Apr 18 00:36:52 2016	1460939812	2	1438	1440	954
Mon Apr 18 00:37:13 2016	1460939833	493	947	1440	485
Mon Apr 18 00:37:13 2016	1460939833	1	1440	1441	947
Mon Apr 18 00:37:25 2016	1460939845	485	956	1441	489
Mon Apr 18 00:37:25 2016	1460939845	2	1439	1441	956
Mon Apr 18 00:37:59 2016	1460939879	490	953	1443	487
Mon Apr 18 00:37:59 2016	1460939879	2	1441	1443	953
Mon Apr 18 00:37:16 2016	1460939836	487	957	1444	497
Mon Apr 18 00:37:16 2016	1460939836	2	1442	1444	957
Mon Apr 18 00:37:02 2016	1460939822	483	961	1444	493
Mon Apr 18 00:37:02 2016	1460939822	2	1443	1444	961
Mon Apr 18 00:37:42 2016	1460939862	468	978	1446	485
Mon Apr 18 00:37:42 2016	1460939862	2	1444	1446	977
Mon Apr 18 00:38:09 2016	1460939889	493	953	1446	465
Mon Apr 18 00:38:09 2016	1460939889	2	1444	1446	953
Mon Apr 18 00:38:11 2016	1460939891	494	953	1447	491
