Percentage served,Time in ms
0,4721.771
1,5032.700
2,5050.452
3,5062.951
4,5069.688
5,5087.129
6,5089.039
7,5119.952
8,5128.161
9,5260.557
10,6247.584
11,6260.596
12,6267.799
13,6275.612
14,6278.210
15,6280.406
16,6285.090
17,6289.381
18,6290.941
19,6293.554
20,6294.592
21,6296.928
22,6300.478
23,6302.428
24,6305.104
25,6307.093
26,6308.525
27,6312.237
28,6313.641
29,6316.839
30,6322.334
31,6328.865
32,6330.441
33,6335.738
34,6340.610
35,6345.310
36,6347.452
37,6357.549
38,6367.974
39,6402.455
40,6450.887
41,6675.428
42,6902.460
43,6909.894
44,6919.415
45,6931.578
46,6936.878
47,6939.690
48,6943.948
49,6946.781
50,6949.501
51,6954.889
52,6959.034
53,6961.712
54,6963.654
55,6968.078
56,6971.751
57,6974.131
58,6976.147
59,6978.158
60,6978.925
61,6981.263
62,6983.154
63,6986.744
64,6991.703
65,6992.736
66,6994.704
67,6996.686
68,6997.991
69,7001.113
70,7007.598
71,7011.250
72,7014.238
73,7016.717
74,7021.223
75,7023.138
76,7032.627
77,7036.499
78,7041.212
79,7042.643
80,7048.678
81,7052.770
82,7056.105
83,7061.603
84,7067.942
85,7072.913
86,7079.573
87,7092.489
88,7104.537
89,7119.240
90,7127.037
91,7149.615
92,7164.226
93,7173.310
94,7218.994
95,10096.745
96,10132.259
97,10162.061
98,10206.591
99,10773.815
100,36756.031
