Percentage served,Time in ms
0,822.176
1,1266.115
2,1266.930
3,1270.287
4,1273.905
5,1276.147
6,1276.330
7,1278.118
8,1279.569
9,1281.923
10,1283.589
11,1284.492
12,1285.522
13,1287.077
14,1287.749
15,1288.633
16,1289.297
17,1290.071
18,1290.728
19,1291.878
20,1292.270
21,1292.564
22,1292.858
23,1294.004
24,1295.208
25,1295.302
26,1295.739
27,1296.840
28,1297.056
29,1297.465
30,1298.180
31,1298.682
32,1299.217
33,1299.943
34,1300.472
35,1301.540
36,1301.989
37,1303.077
38,1303.457
39,1304.856
40,1305.400
41,1305.898
42,1307.576
43,1308.934
44,1309.220
45,1310.663
46,1311.251
47,1312.385
48,1313.738
49,1314.838
50,1315.297
51,1315.521
52,1316.266
53,1317.789
54,1321.266
55,1323.435
56,1324.725
57,1325.762
58,1327.939
59,1328.509
60,1330.115
61,1338.220
62,1349.646
63,1353.850
64,1355.569
65,1362.348
66,1416.355
67,2519.711
68,2553.214
69,2560.996
70,2570.861
71,2573.684
72,2577.268
73,2581.384
74,2584.058
75,2585.934
76,2589.203
77,2591.908
78,2593.633
79,2595.470
80,2596.824
81,2599.906
82,2601.457
83,2603.740
84,2606.861
85,2608.338
86,2610.335
87,2612.353
88,2613.926
89,2616.130
90,2622.009
91,2623.717
92,2627.863
93,2632.522
94,2634.888
95,2639.931
96,2647.043
97,2651.322
98,2659.658
99,2679.101
100,2735.674
