starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 18 03:08:32 2016	1460948912	2	820	822	379
Mon Apr 18 03:05:28 2016	1460948728	419	831	1250	407
Mon Apr 18 03:05:28 2016	1460948728	2	1248	1250	831
Mon Apr 18 03:05:39 2016	1460948739	422	841	1263	426
Mon Apr 18 03:05:39 2016	1460948739	2	1262	1263	841
Mon Apr 18 03:08:26 2016	1460948906	2	1264	1266	851
Mon Apr 18 03:08:26 2016	1460948906	415	851	1266	409
Mon Apr 18 03:05:23 2016	1460948723	423	843	1266	417
Mon Apr 18 03:05:23 2016	1460948723	2	1265	1266	843
Mon Apr 18 03:05:13 2016	1460948713	426	841	1267	416
Mon Apr 18 03:05:13 2016	1460948713	2	1265	1267	841
Mon Apr 18 03:07:01 2016	1460948821	2	1266	1268	848
Mon Apr 18 03:07:01 2016	1460948821	420	849	1268	427
Mon Apr 18 03:07:33 2016	1460948853	434	835	1270	416
Mon Apr 18 03:07:33 2016	1460948853	2	1268	1270	835
Mon Apr 18 03:05:27 2016	1460948727	421	849	1270	426
Mon Apr 18 03:05:27 2016	1460948727	2	1269	1270	849
Mon Apr 18 03:05:32 2016	1460948732	2	1271	1273	845
Mon Apr 18 03:05:32 2016	1460948732	428	845	1273	429
Mon Apr 18 03:04:57 2016	1460948697	1	1272	1274	850
Mon Apr 18 03:04:57 2016	1460948697	423	851	1274	427
Mon Apr 18 03:05:17 2016	1460948717	425	850	1275	424
Mon Apr 18 03:05:17 2016	1460948717	2	1273	1275	850
Mon Apr 18 03:05:35 2016	1460948735	413	862	1275	437
Mon Apr 18 03:05:35 2016	1460948735	2	1273	1275	862
Mon Apr 18 03:05:31 2016	1460948731	423	853	1276	416
Mon Apr 18 03:05:31 2016	1460948731	2	1274	1276	852
Mon Apr 18 03:05:44 2016	1460948744	427	849	1276	419
Mon Apr 18 03:06:24 2016	1460948784	423	853	1276	431
Mon Apr 18 03:05:44 2016	1460948744	2	1275	1276	849
Mon Apr 18 03:06:24 2016	1460948784	2	1275	1276	853
Mon Apr 18 03:08:15 2016	1460948895	420	857	1277	427
Mon Apr 18 03:08:15 2016	1460948895	2	1276	1278	857
Mon Apr 18 03:06:49 2016	1460948809	428	850	1278	420
Mon Apr 18 03:06:49 2016	1460948809	2	1276	1278	850
Mon Apr 18 03:05:14 2016	1460948714	429	849	1278	427
Mon Apr 18 03:05:14 2016	1460948714	2	1276	1278	849
Mon Apr 18 03:07:31 2016	1460948851	416	863	1279	429
Mon Apr 18 03:07:31 2016	1460948851	2	1276	1279	863
Mon Apr 18 03:05:33 2016	1460948733	426	853	1280	423
Mon Apr 18 03:05:33 2016	1460948733	2	1278	1280	853
Mon Apr 18 03:07:48 2016	1460948868	435	845	1280	427
Mon Apr 18 03:07:48 2016	1460948868	2	1279	1280	845
Mon Apr 18 03:05:11 2016	1460948711	431	850	1280	429
Mon Apr 18 03:05:11 2016	1460948711	2	1279	1281	849
Mon Apr 18 03:05:04 2016	1460948704	431	851	1282	424
Mon Apr 18 03:05:04 2016	1460948704	2	1281	1282	851
Mon Apr 18 03:05:41 2016	1460948741	425	858	1283	428
Mon Apr 18 03:05:41 2016	1460948741	2	1282	1283	858
Mon Apr 18 03:06:27 2016	1460948787	417	867	1284	431
Mon Apr 18 03:06:27 2016	1460948787	2	1282	1284	867
Mon Apr 18 03:05:01 2016	1460948701	429	855	1284	429
Mon Apr 18 03:05:01 2016	1460948701	0	1283	1284	855
Mon Apr 18 03:07:18 2016	1460948838	420	865	1284	430
Mon Apr 18 03:05:53 2016	1460948753	433	852	1284	427
Mon Apr 18 03:07:18 2016	1460948838	2	1283	1284	864
Mon Apr 18 03:05:53 2016	1460948753	2	1282	1285	851
Mon Apr 18 03:08:13 2016	1460948893	420	865	1285	430
Mon Apr 18 03:08:13 2016	1460948893	2	1284	1285	865
Mon Apr 18 03:08:05 2016	1460948885	434	851	1285	421
Mon Apr 18 03:08:05 2016	1460948885	2	1284	1286	851
Mon Apr 18 03:07:26 2016	1460948846	433	854	1287	432
Mon Apr 18 03:05:52 2016	1460948752	434	853	1287	423
Mon Apr 18 03:05:52 2016	1460948752	2	1285	1287	852
Mon Apr 18 03:07:26 2016	1460948846	2	1285	1287	854
Mon Apr 18 03:06:20 2016	1460948780	2	1285	1287	864
Mon Apr 18 03:06:20 2016	1460948780	423	864	1287	433
Mon Apr 18 03:05:10 2016	1460948710	2	1286	1288	848
Mon Apr 18 03:05:10 2016	1460948710	439	849	1288	423
Mon Apr 18 03:05:24 2016	1460948724	424	863	1288	435
Mon Apr 18 03:05:24 2016	1460948724	1	1286	1288	863
Mon Apr 18 03:06:54 2016	1460948814	432	856	1288	429
Mon Apr 18 03:05:48 2016	1460948748	434	854	1288	417
Mon Apr 18 03:06:54 2016	1460948814	2	1287	1288	856
Mon Apr 18 03:05:48 2016	1460948748	2	1287	1288	854
Mon Apr 18 03:07:41 2016	1460948861	2	1287	1289	865
Mon Apr 18 03:06:41 2016	1460948801	434	855	1289	437
Mon Apr 18 03:06:41 2016	1460948801	2	1287	1289	855
