Percentage served,Time in ms
0,1720.572
1,2507.793
2,2513.916
3,2519.536
4,2520.999
5,2524.799
6,2531.718
7,2534.126
8,2537.386
9,2539.341
10,2544.437
11,2545.927
12,2546.985
13,2552.996
14,2553.799
15,2557.884
16,2558.434
17,2563.277
18,2564.155
19,2570.916
20,2571.268
21,2573.703
22,2575.629
23,2584.568
24,2586.000
25,2590.453
26,2596.700
27,2602.974
28,2605.614
29,2605.997
30,2608.495
31,2613.858
32,2618.008
33,2620.991
34,2623.178
35,2626.289
36,2634.901
37,2640.909
38,2642.375
39,2643.968
40,2649.212
41,2651.085
42,2653.763
43,2660.111
44,2663.260
45,2667.831
46,2671.724
47,2674.302
48,2675.974
49,2679.109
50,2681.719
51,2684.635
52,2690.907
53,2696.874
54,2701.471
55,2705.572
56,2707.559
57,2720.596
58,2721.654
59,2730.150
60,2738.545
61,2741.617
62,2752.685
63,2759.449
64,2774.833
65,2826.487
66,2855.925
67,5051.056
68,5073.194
69,5087.157
70,5091.894
71,5103.688
72,5116.418
73,5128.468
74,5134.674
75,5140.075
76,5143.596
77,5155.679
78,5159.864
79,5163.595
80,5169.544
81,5180.282
82,5198.430
83,5208.062
84,5231.226
85,5248.692
86,5271.685
87,5315.188
88,5325.924
89,5335.293
90,5344.766
91,5352.657
92,5368.633
93,5391.732
94,5400.853
95,5409.447
96,5426.813
97,5462.718
98,5514.354
99,5549.826
100,5601.594
