starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 18 03:30:22 2016	1460950222	3	1717	1721	839
Mon Apr 18 03:24:53 2016	1460949893	822	1682	2503	855
Mon Apr 18 03:24:53 2016	1460949893	4	2500	2504	1682
Mon Apr 18 03:23:31 2016	1460949811	818	1687	2505	843
Mon Apr 18 03:23:31 2016	1460949811	4	2502	2505	1687
Mon Apr 18 03:24:58 2016	1460949898	3	2504	2508	1669
Mon Apr 18 03:24:58 2016	1460949898	839	1669	2508	826
Mon Apr 18 03:25:55 2016	1460949955	827	1682	2508	845
Mon Apr 18 03:25:55 2016	1460949955	3	2505	2508	1681
Mon Apr 18 03:24:33 2016	1460949873	822	1691	2514	839
Mon Apr 18 03:24:33 2016	1460949873	4	2510	2514	1691
Mon Apr 18 03:23:57 2016	1460949837	4	2512	2516	1669
Mon Apr 18 03:23:57 2016	1460949837	847	1669	2516	825
Mon Apr 18 03:23:24 2016	1460949804	842	1675	2517	855
Mon Apr 18 03:23:24 2016	1460949804	3	2514	2517	1675
Mon Apr 18 03:24:38 2016	1460949878	4	2516	2520	1675
Mon Apr 18 03:24:38 2016	1460949878	844	1675	2520	826
Mon Apr 18 03:23:52 2016	1460949832	827	1693	2520	850
Mon Apr 18 03:23:52 2016	1460949832	3	2517	2520	1693
Mon Apr 18 03:26:00 2016	1460949960	834	1686	2521	841
Mon Apr 18 03:26:00 2016	1460949960	1	2520	2521	1686
Mon Apr 18 03:23:37 2016	1460949817	4	2518	2522	1679
Mon Apr 18 03:23:37 2016	1460949817	842	1679	2522	837
Mon Apr 18 03:25:45 2016	1460949945	828	1695	2523	840
Mon Apr 18 03:25:45 2016	1460949945	4	2519	2523	1695
Mon Apr 18 03:26:11 2016	1460949971	827	1698	2525	836
Mon Apr 18 03:26:11 2016	1460949971	1	2524	2525	1698
Mon Apr 18 03:24:18 2016	1460949858	846	1682	2528	824
Mon Apr 18 03:24:18 2016	1460949858	4	2524	2528	1681
Mon Apr 18 03:24:23 2016	1460949863	827	1705	2532	843
Mon Apr 18 03:24:23 2016	1460949863	3	2529	2532	1705
Mon Apr 18 03:25:50 2016	1460949950	3	2529	2532	1688
Mon Apr 18 03:25:50 2016	1460949950	844	1688	2532	827
Mon Apr 18 03:24:28 2016	1460949868	855	1678	2533	831
Mon Apr 18 03:24:28 2016	1460949868	3	2530	2533	1678
Mon Apr 18 03:25:35 2016	1460949935	841	1693	2534	855
Mon Apr 18 03:25:35 2016	1460949935	4	2531	2534	1692
Mon Apr 18 03:23:21 2016	1460949801	859	1676	2535	837
Mon Apr 18 03:23:21 2016	1460949801	4	2532	2535	1676
Mon Apr 18 03:24:48 2016	1460949888	849	1688	2537	830
Mon Apr 18 03:24:48 2016	1460949888	3	2534	2537	1688
Mon Apr 18 03:26:16 2016	1460949976	838	1700	2538	851
Mon Apr 18 03:26:16 2016	1460949976	4	2534	2538	1699
Mon Apr 18 03:24:02 2016	1460949842	3	2535	2538	1701
Mon Apr 18 03:24:02 2016	1460949842	837	1702	2538	847
Mon Apr 18 03:25:04 2016	1460949904	851	1689	2539	839
Mon Apr 18 03:25:04 2016	1460949904	2	2537	2539	1689
Mon Apr 18 03:24:12 2016	1460949852	832	1712	2544	851
Mon Apr 18 03:24:12 2016	1460949852	3	2541	2544	1712
Mon Apr 18 03:24:43 2016	1460949883	834	1711	2544	852
