Percentage served,Time in ms
0,1672.815
1,2436.048
2,2445.578
3,2450.625
4,2454.581
5,2455.697
6,2455.888
7,2457.605
8,2459.941
9,2467.902
10,2473.319
11,2474.543
12,2477.120
13,2480.257
14,2482.996
15,2486.218
16,2486.360
17,2489.704
18,2490.488
19,2491.438
20,2493.180
21,2494.553
22,2495.319
23,2497.050
24,2497.521
25,2498.012
26,2498.876
27,2501.835
28,2502.468
29,2503.137
30,2503.656
31,2504.812
32,2505.374
33,2505.824
34,2506.927
35,2509.403
36,2510.514
37,2512.953
38,2513.181
39,2513.528
40,2514.062
41,2515.394
42,2517.165
43,2518.826
44,2520.560
45,2522.882
46,2526.629
47,2527.560
48,2529.848
49,2531.424
50,2532.830
51,2536.615
52,2536.854
53,2539.510
54,2543.568
55,2545.915
56,2546.602
57,2550.127
58,2552.696
59,2556.492
60,2559.117
61,2559.977
62,2560.358
63,2565.250
64,2575.358
65,2581.817
66,2609.410
67,4906.364
68,4934.971
69,4946.141
70,4952.824
71,4962.244
72,4967.394
73,4974.321
74,4979.544
75,4985.215
76,4986.419
77,4993.182
78,4994.896
79,4999.050
80,5003.022
81,5008.487
82,5011.809
83,5014.784
84,5017.640
85,5021.859
86,5030.210
87,5034.658
88,5037.586
89,5039.476
90,5042.426
91,5046.417
92,5050.919
93,5054.088
94,5056.424
95,5062.628
96,5074.435
97,5086.514
98,5094.492
99,5122.297
100,5403.198
