starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 18 03:41:50 2016	1460950910	2	1671	1673	859
Mon Apr 18 03:36:54 2016	1460950614	797	1627	2424	804
Mon Apr 18 03:36:54 2016	1460950614	2	2423	2424	1627
Mon Apr 18 03:39:34 2016	1460950774	797	1631	2428	806
Mon Apr 18 03:39:34 2016	1460950774	2	2426	2428	1631
Mon Apr 18 03:39:02 2016	1460950742	817	1619	2436	811
Mon Apr 18 03:39:02 2016	1460950742	2	2434	2436	1619
Mon Apr 18 03:38:42 2016	1460950722	812	1631	2443	814
Mon Apr 18 03:38:42 2016	1460950722	2	2442	2443	1631
Mon Apr 18 03:38:47 2016	1460950727	809	1636	2445	838
Mon Apr 18 03:38:47 2016	1460950727	2	2444	2446	1636
Mon Apr 18 03:38:07 2016	1460950687	821	1625	2446	820
Mon Apr 18 03:38:07 2016	1460950687	2	2444	2446	1625
Mon Apr 18 03:40:19 2016	1460950819	2	2448	2450	1623
Mon Apr 18 03:40:19 2016	1460950819	826	1624	2450	799
Mon Apr 18 03:40:54 2016	1460950854	808	1642	2451	808
Mon Apr 18 03:40:54 2016	1460950854	2	2449	2451	1642
Mon Apr 18 03:39:14 2016	1460950754	797	1655	2452	817
Mon Apr 18 03:39:14 2016	1460950754	2	2450	2452	1655
Mon Apr 18 03:38:34 2016	1460950714	802	1653	2454	818
Mon Apr 18 03:38:34 2016	1460950714	2	2453	2455	1652
Mon Apr 18 03:35:39 2016	1460950539	817	1638	2455	805
Mon Apr 18 03:35:19 2016	1460950519	2	2453	2455	1627
Mon Apr 18 03:35:19 2016	1460950519	828	1627	2455	804
Mon Apr 18 03:35:39 2016	1460950539	2	2453	2455	1638
Mon Apr 18 03:35:34 2016	1460950534	2	2454	2456	1646
Mon Apr 18 03:35:34 2016	1460950534	809	1646	2456	804
Mon Apr 18 03:39:09 2016	1460950749	816	1640	2456	823
Mon Apr 18 03:39:09 2016	1460950749	2	2454	2456	1640
Mon Apr 18 03:40:34 2016	1460950834	808	1648	2456	806
Mon Apr 18 03:40:34 2016	1460950834	2	2454	2456	1648
Mon Apr 18 03:39:07 2016	1460950747	828	1628	2456	823
Mon Apr 18 03:39:07 2016	1460950747	2	2454	2456	1628
Mon Apr 18 03:35:54 2016	1460950554	808	1649	2457	809
Mon Apr 18 03:35:54 2016	1460950554	2	2455	2457	1648
Mon Apr 18 03:39:29 2016	1460950769	806	1651	2458	832
Mon Apr 18 03:39:29 2016	1460950769	2	2456	2458	1651
Mon Apr 18 03:35:14 2016	1460950514	812	1646	2458	810
Mon Apr 18 03:35:14 2016	1460950514	1	2457	2458	1645
Mon Apr 18 03:37:27 2016	1460950647	830	1630	2460	824
Mon Apr 18 03:37:27 2016	1460950647	1	2459	2460	1630
Mon Apr 18 03:38:22 2016	1460950702	2	2463	2465	1633
Mon Apr 18 03:38:22 2016	1460950702	832	1633	2465	821
Mon Apr 18 03:41:35 2016	1460950895	808	1659	2467	817
Mon Apr 18 03:41:35 2016	1460950895	1	2466	2467	1659
Mon Apr 18 03:38:32 2016	1460950712	2	2466	2468	1643
Mon Apr 18 03:38:32 2016	1460950712	825	1643	2468	822
Mon Apr 18 03:39:49 2016	1460950789	800	1668	2468	845
Mon Apr 18 03:39:49 2016	1460950789	0	2468	2468	1667
Mon Apr 18 03:37:22 2016	1460950642	833	1640	2473	849
Mon Apr 18 03:37:22 2016	1460950642	2	2472	2473	1640
Mon Apr 18 03:39:59 2016	1460950799	821	1653	2474	828
Mon Apr 18 03:39:59 2016	1460950799	2	2472	2474	1653
Mon Apr 18 03:40:02 2016	1460950802	840	1633	2474	813
Mon Apr 18 03:40:02 2016	1460950802	2	2472	2474	1633
Mon Apr 18 03:38:29 2016	1460950709	809	1665	2475	823
Mon Apr 18 03:38:29 2016	1460950709	2	2473	2475	1665
Mon Apr 18 03:37:47 2016	1460950667	827	1649	2476	835
Mon Apr 18 03:37:47 2016	1460950667	2	2474	2476	1648
Mon Apr 18 03:36:34 2016	1460950594	2	2475	2477	1666
Mon Apr 18 03:36:34 2016	1460950594	811	1666	2477	814
Mon Apr 18 03:40:39 2016	1460950839	831	1647	2478	812
Mon Apr 18 03:40:39 2016	1460950839	2	2476	2478	1647
Mon Apr 18 03:37:49 2016	1460950669	806	1672	2478	848
Mon Apr 18 03:37:49 2016	1460950669	2	2476	2478	1671
Mon Apr 18 03:35:59 2016	1460950559	2	2479	2480	1660
Mon Apr 18 03:35:59 2016	1460950559	820	1660	2480	810
Mon Apr 18 03:36:52 2016	1460950612	831	1652	2483	839
Mon Apr 18 03:36:52 2016	1460950612	2	2481	2483	1651
Mon Apr 18 03:40:24 2016	1460950824	2	2481	2483	1644
Mon Apr 18 03:40:24 2016	1460950824	839	1644	2483	814
Mon Apr 18 03:37:09 2016	1460950629	2	2483	2485	1658
Mon Apr 18 03:37:09 2016	1460950629	827	1658	2485	825
Mon Apr 18 03:41:04 2016	1460950864	831	1655	2486	820
Mon Apr 18 03:41:04 2016	1460950864	2	2484	2486	1655
Mon Apr 18 03:38:19 2016	1460950699	2	2485	2486	1664
Mon Apr 18 03:40:09 2016	1460950809	803	1683	2486	866
Mon Apr 18 03:38:19 2016	1460950699	821	1665	2486	801
Mon Apr 18 03:40:09 2016	1460950809	2	2484	2486	1683
Mon Apr 18 03:39:19 2016	1460950759	824	1663	2486	832
Mon Apr 18 03:39:19 2016	1460950759	2	2485	2486	1662
Mon Apr 18 03:37:57 2016	1460950677	832	1654	2487	826
Mon Apr 18 03:37:57 2016	1460950677	2	2485	2487	1654
Mon Apr 18 03:41:09 2016	1460950869	809	1679	2489	850
Mon Apr 18 03:41:09 2016	1460950869	2	2487	2489	1679
Mon Apr 18 03:34:58 2016	1460950498	838	1652	2490	822
Mon Apr 18 03:34:58 2016	1460950498	2	2488	2490	1651
Mon Apr 18 03:39:04 2016	1460950744	841	1649	2490	805
Mon Apr 18 03:39:04 2016	1460950744	2	2488	2490	1649
Mon Apr 18 03:38:49 2016	1460950729	2	2489	2490	1687
Mon Apr 18 03:38:49 2016	1460950729	804	1687	2490	852
Mon Apr 18 03:35:06 2016	1460950506	826	1665	2491	850
Mon Apr 18 03:35:06 2016	1460950506	2	2489	2491	1665
Mon Apr 18 03:36:24 2016	1460950584	831	1660	2491	825
Mon Apr 18 03:36:24 2016	1460950584	2	2490	2491	1660
Mon Apr 18 03:41:14 2016	1460950874	808	1683	2491	816
Mon Apr 18 03:41:14 2016	1460950874	0	2491	2491	1683
Mon Apr 18 03:38:02 2016	1460950682	838	1655	2493	834
Mon Apr 18 03:38:02 2016	1460950682	2	2491	2493	1655
Mon Apr 18 03:38:09 2016	1460950689	805	1688	2493	840
Mon Apr 18 03:38:09 2016	1460950689	2	2491	2493	1688
Mon Apr 18 03:37:54 2016	1460950674	2	2492	2493	1651
Mon Apr 18 03:37:54 2016	1460950674	843	1651	2493	810
Mon Apr 18 03:35:29 2016	1460950529	814	1680	2494	826
Mon Apr 18 03:35:29 2016	1460950529	2	2492	2494	1680
Mon Apr 18 03:36:59 2016	1460950619	830	1664	2495	825
Mon Apr 18 03:36:59 2016	1460950619	2	2493	2495	1664
Mon Apr 18 03:36:47 2016	1460950607	829	1666	2495	849
Mon Apr 18 03:36:47 2016	1460950607	2	2493	2495	1666
Mon Apr 18 03:36:06 2016	1460950566	847	1648	2495	844
Mon Apr 18 03:36:06 2016	1460950566	2	2494	2495	1647
Mon Apr 18 03:38:24 2016	1460950704	802	1693	2496	816
Mon Apr 18 03:38:24 2016	1460950704	2	2494	2496	1693
Mon Apr 18 03:39:24 2016	1460950764	822	1675	2496	827
Mon Apr 18 03:39:24 2016	1460950764	2	2495	2496	1675
Mon Apr 18 03:38:39 2016	1460950719	859	1638	2497	810
Mon Apr 18 03:38:39 2016	1460950719	2	2496	2497	1638
Mon Apr 18 03:37:34 2016	1460950654	828	1669	2497	837
Mon Apr 18 03:37:34 2016	1460950654	2	2496	2497	1669
Mon Apr 18 03:37:07 2016	1460950627	837	1661	2497	848
Mon Apr 18 03:37:07 2016	1460950627	2	2495	2498	1660
Mon Apr 18 03:38:52 2016	1460950732	838	1660	2498	839
Mon Apr 18 03:38:52 2016	1460950732	2	2496	2498	1660
Mon Apr 18 03:39:39 2016	1460950779	842	1655	2498	824
