Percentage served,Time in ms
0,180.143
1,241.643
2,244.300
3,262.601
4,264.323
5,270.708
6,272.539
7,273.967
8,275.919
9,277.323
10,277.914
11,281.630
12,282.630
13,285.968
14,288.164
15,291.365
16,294.619
17,299.987
18,302.378
19,302.885
20,305.544
21,306.291
22,307.051
23,309.242
24,309.382
25,310.221
26,311.135
27,312.423
28,315.192
29,317.627
30,318.485
31,320.255
32,321.733
33,323.250
34,323.372
35,324.832
36,325.114
37,326.609
38,328.716
39,330.782
40,331.117
41,331.901
42,332.535
43,334.597
44,335.598
45,337.833
46,339.214
47,339.665
48,340.131
49,343.216
50,344.337
51,344.600
52,345.366
53,348.986
54,350.121
55,350.600
56,352.351
57,354.948
58,356.577
59,358.432
60,359.004
61,359.436
62,360.723
63,361.191
64,363.930
65,365.360
66,365.463
67,367.647
68,369.494
69,371.288
70,371.935
71,373.743
72,378.411
73,383.244
74,384.016
75,387.430
76,388.067
77,390.029
78,395.763
79,402.954
80,406.854
81,413.360
82,418.315
83,422.401
84,424.867
85,437.076
86,444.079
87,455.254
88,472.839
89,501.262
90,535.783
91,540.336
92,544.058
93,556.516
94,565.420
95,573.400
96,577.465
97,598.189
98,642.618
99,897.160
100,935.386
