starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 23 20:36:52 2016	1461443812	0	254	254	241
Sat Apr 23 20:36:53 2016	1461443813	1	265	266	247
Sat Apr 23 20:36:53 2016	1461443813	1	267	267	250
Sat Apr 23 20:37:01 2016	1461443821	1	308	309	296
Sat Apr 23 20:36:53 2016	1461443813	0	310	310	299
Sat Apr 23 20:36:55 2016	1461443815	1	320	320	264
Sat Apr 23 20:36:53 2016	1461443813	0	322	323	289
Sat Apr 23 20:37:08 2016	1461443828	1	328	329	318
Sat Apr 23 20:37:22 2016	1461443842	1	332	333	322
Sat Apr 23 20:37:22 2016	1461443842	0	335	336	317
Sat Apr 23 20:37:01 2016	1461443821	1	338	338	321
Sat Apr 23 20:37:06 2016	1461443826	0	340	340	329
Sat Apr 23 20:36:51 2016	1461443811	14	328	342	319
Sat Apr 23 20:37:01 2016	1461443821	0	344	344	333
Sat Apr 23 20:36:53 2016	1461443813	0	344	345	322
Sat Apr 23 20:36:52 2016	1461443812	2	343	345	312
Sat Apr 23 20:36:55 2016	1461443815	1	347	347	306
Sat Apr 23 20:37:20 2016	1461443840	3	345	348	329
Sat Apr 23 20:36:55 2016	1461443815	1	350	351	320
Sat Apr 23 20:37:19 2016	1461443839	0	359	360	326
Sat Apr 23 20:37:17 2016	1461443837	1	362	363	333
Sat Apr 23 20:37:05 2016	1461443825	2	363	365	345
Sat Apr 23 20:37:21 2016	1461443841	1	368	368	343
Sat Apr 23 20:37:00 2016	1461443820	0	370	371	359
Sat Apr 23 20:36:58 2016	1461443818	0	374	374	359
Sat Apr 23 20:37:18 2016	1461443838	1	373	374	357
Sat Apr 23 20:37:19 2016	1461443839	0	375	375	334
Sat Apr 23 20:36:56 2016	1461443816	0	376	377	341
Sat Apr 23 20:36:58 2016	1461443818	1	377	378	341
Sat Apr 23 20:37:08 2016	1461443828	1	378	379	350
Sat Apr 23 20:37:13 2016	1461443833	1	379	379	341
Sat Apr 23 20:36:59 2016	1461443819	1	379	380	359
Sat Apr 23 20:37:09 2016	1461443829	0	380	380	363
Sat Apr 23 20:37:05 2016	1461443825	1	379	380	335
Sat Apr 23 20:37:18 2016	1461443838	1	380	381	359
Sat Apr 23 20:37:21 2016	1461443841	0	381	381	367
Sat Apr 23 20:37:08 2016	1461443828	0	381	382	346
Sat Apr 23 20:37:04 2016	1461443824	0	382	383	357
Sat Apr 23 20:36:57 2016	1461443817	1	384	385	353
Sat Apr 23 20:37:08 2016	1461443828	0	386	386	378
Sat Apr 23 20:37:05 2016	1461443825	0	387	388	377
Sat Apr 23 20:37:01 2016	1461443821	0	391	391	372
Sat Apr 23 20:37:13 2016	1461443833	1	393	395	354
Sat Apr 23 20:37:14 2016	1461443834	1	394	395	310
Sat Apr 23 20:37:01 2016	1461443821	1	396	397	381
Sat Apr 23 20:37:02 2016	1461443822	1	397	398	379
Sat Apr 23 20:36:54 2016	1461443814	1	398	398	376
Sat Apr 23 20:37:03 2016	1461443823	0	400	400	375
Sat Apr 23 20:36:55 2016	1461443815	0	401	401	381
Sat Apr 23 20:37:16 2016	1461443836	1	402	403	375
Sat Apr 23 20:37:02 2016	1461443822	1	403	404	378
Sat Apr 23 20:37:19 2016	1461443839	1	405	405	373
Sat Apr 23 20:36:54 2016	1461443814	1	409	410	371
Sat Apr 23 20:37:15 2016	1461443835	0	410	411	395
Sat Apr 23 20:36:55 2016	1461443815	0	411	411	389
Sat Apr 23 20:37:17 2016	1461443837	1	410	411	385
Sat Apr 23 20:37:15 2016	1461443835	1	413	413	392
Sat Apr 23 20:37:14 2016	1461443834	1	413	414	394
Sat Apr 23 20:36:56 2016	1461443816	0	414	415	387
Sat Apr 23 20:36:55 2016	1461443815	1	414	416	387
Sat Apr 23 20:37:16 2016	1461443836	1	416	416	400
Sat Apr 23 20:36:56 2016	1461443816	0	416	416	389
Sat Apr 23 20:37:09 2016	1461443829	2	414	416	399
Sat Apr 23 20:37:02 2016	1461443822	1	416	417	380
Sat Apr 23 20:37:00 2016	1461443820	0	417	417	410
Sat Apr 23 20:36:54 2016	1461443814	1	418	418	374
Sat Apr 23 20:36:55 2016	1461443815	4	416	420	365
Sat Apr 23 20:37:13 2016	1461443833	2	419	420	391
Sat Apr 23 20:37:12 2016	1461443832	0	423	423	397
Sat Apr 23 20:36:58 2016	1461443818	1	423	424	389
Sat Apr 23 20:37:07 2016	1461443827	1	424	425	363
Sat Apr 23 20:37:10 2016	1461443830	0	426	426	416
Sat Apr 23 20:36:54 2016	1461443814	1	426	427	365
Sat Apr 23 20:37:20 2016	1461443840	0	427	427	408
Sat Apr 23 20:37:05 2016	1461443825	0	427	428	415
Sat Apr 23 20:37:00 2016	1461443820	0	427	428	422
Sat Apr 23 20:37:03 2016	1461443823	1	428	428	400
Sat Apr 23 20:36:58 2016	1461443818	1	428	429	406
Sat Apr 23 20:37:06 2016	1461443826	1	430	430	394
Sat Apr 23 20:37:09 2016	1461443829	0	431	431	403
Sat Apr 23 20:37:04 2016	1461443824	1	432	432	416
Sat Apr 23 20:37:16 2016	1461443836	0	434	434	370
Sat Apr 23 20:37:10 2016	1461443830	0	435	435	408
Sat Apr 23 20:37:03 2016	1461443823	1	434	435	402
Sat Apr 23 20:37:16 2016	1461443836	1	435	436	403
Sat Apr 23 20:37:07 2016	1461443827	1	435	436	411
Sat Apr 23 20:37:12 2016	1461443832	0	436	437	405
Sat Apr 23 20:37:09 2016	1461443829	1	437	437	409
Sat Apr 23 20:36:58 2016	1461443818	1	437	437	388
Sat Apr 23 20:36:58 2016	1461443818	1	442	443	431
Sat Apr 23 20:36:54 2016	1461443814	1	442	443	413
Sat Apr 23 20:36:56 2016	1461443816	0	443	443	435
Sat Apr 23 20:37:12 2016	1461443832	0	444	444	431
Sat Apr 23 20:36:57 2016	1461443817	0	444	445	428
Sat Apr 23 20:36:56 2016	1461443816	1	445	445	401
Sat Apr 23 20:37:00 2016	1461443820	1	444	445	310
Sat Apr 23 20:37:14 2016	1461443834	1	444	445	388
Sat Apr 23 20:37:06 2016	1461443826	1	445	446	389
Sat Apr 23 20:36:57 2016	1461443817	1	445	446	371
Sat Apr 23 20:37:11 2016	1461443831	1	445	446	417
Sat Apr 23 20:36:57 2016	1461443817	0	446	446	422
Sat Apr 23 20:36:56 2016	1461443816	0	447	448	433
Sat Apr 23 20:37:18 2016	1461443838	1	449	449	424
Sat Apr 23 20:37:15 2016	1461443835	1	449	450	405
Sat Apr 23 20:36:57 2016	1461443817	0	450	450	427
Sat Apr 23 20:36:57 2016	1461443817	0	450	450	440
Sat Apr 23 20:36:58 2016	1461443818	1	451	451	440
Sat Apr 23 20:37:14 2016	1461443834	0	452	452	439
Sat Apr 23 20:37:14 2016	1461443834	1	452	453	422
Sat Apr 23 20:36:59 2016	1461443819	0	453	454	437
Sat Apr 23 20:36:59 2016	1461443819	0	454	454	438
Sat Apr 23 20:37:09 2016	1461443829	1	454	455	413
Sat Apr 23 20:37:14 2016	1461443834	0	455	455	433
Sat Apr 23 20:37:20 2016	1461443840	0	455	455	444
Sat Apr 23 20:37:10 2016	1461443830	1	455	456	445
Sat Apr 23 20:37:12 2016	1461443832	1	457	458	448
Sat Apr 23 20:37:01 2016	1461443821	1	459	460	441
Sat Apr 23 20:37:11 2016	1461443831	0	459	460	448
Sat Apr 23 20:37:18 2016	1461443838	1	459	460	397
Sat Apr 23 20:36:57 2016	1461443817	1	459	460	365
Sat Apr 23 20:37:06 2016	1461443826	1	460	460	437
Sat Apr 23 20:36:56 2016	1461443816	1	461	461	444
Sat Apr 23 20:37:04 2016	1461443824	1	461	462	434
Sat Apr 23 20:37:15 2016	1461443835	0	462	462	438
Sat Apr 23 20:37:14 2016	1461443834	0	462	462	450
Sat Apr 23 20:37:10 2016	1461443830	0	464	464	451
Sat Apr 23 20:37:04 2016	1461443824	1	464	464	437
Sat Apr 23 20:36:56 2016	1461443816	1	464	465	391
Sat Apr 23 20:37:03 2016	1461443823	1	464	465	381
Sat Apr 23 20:36:55 2016	1461443815	30	435	466	394
Sat Apr 23 20:36:58 2016	1461443818	0	466	466	443
Sat Apr 23 20:36:56 2016	1461443816	1	466	467	400
Sat Apr 23 20:36:54 2016	1461443814	1	467	468	428
Sat Apr 23 20:37:05 2016	1461443825	1	468	469	425
Sat Apr 23 20:37:11 2016	1461443831	1	468	469	403
Sat Apr 23 20:37:16 2016	1461443836	1	469	469	446
Sat Apr 23 20:37:18 2016	1461443838	1	468	469	436
Sat Apr 23 20:37:07 2016	1461443827	1	469	470	448
