Percentage served,Time in ms
0,399.774
1,475.966
2,479.207
3,497.160
4,511.650
5,525.924
6,536.561
7,552.187
8,564.658
9,568.305
10,570.247
11,582.776
12,589.458
13,590.912
14,591.835
15,606.416
16,608.221
17,610.722
18,611.738
19,612.822
20,614.006
21,616.765
22,620.808
23,631.160
24,631.922
25,634.355
26,635.385
27,637.244
28,641.017
29,643.069
30,645.543
31,648.057
32,651.100
33,654.080
34,655.933
35,659.092
36,660.476
37,664.064
38,667.467
39,668.517
40,669.652
41,673.433
42,674.187
43,676.057
44,677.358
45,679.304
46,681.338
47,686.515
48,688.608
49,693.417
50,694.964
51,698.077
52,698.928
53,701.250
54,702.602
55,704.581
56,710.622
57,714.154
58,720.853
59,722.631
60,727.844
61,734.364
62,736.925
63,739.104
64,740.691
65,746.987
66,754.154
67,757.858
68,760.732
69,766.593
70,768.931
71,774.291
72,777.687
73,783.061
74,786.452
75,798.039
76,799.655
77,802.562
78,806.192
79,815.517
80,820.127
81,829.552
82,836.934
83,850.374
84,860.076
85,878.159
86,881.000
87,887.029
88,898.401
89,911.175
90,937.867
91,945.853
92,951.731
93,963.207
94,969.250
95,994.130
96,996.821
97,1008.674
98,1066.952
99,1127.902
100,1223.886
