Percentage served,Time in ms
0,259.868
1,292.474
2,295.725
3,311.010
4,313.167
5,317.058
6,319.413
7,324.394
8,326.578
9,333.033
10,335.615
11,336.243
12,336.891
13,342.867
14,349.329
15,353.028
16,355.190
17,363.052
18,364.496
19,370.609
20,374.133
21,380.406
22,383.913
23,385.296
24,386.788
25,388.158
26,390.097
27,393.260
28,393.865
29,396.113
30,397.051
31,402.501
32,407.263
33,409.420
34,411.238
35,413.492
36,414.120
37,415.018
38,415.400
39,418.785
40,423.211
41,426.325
42,427.522
43,429.080
44,432.497
45,437.566
46,440.112
47,441.098
48,441.813
49,443.968
50,445.132
51,452.674
52,454.534
53,457.637
54,462.247
55,465.938
56,472.541
57,478.400
58,483.513
59,490.933
60,494.156
61,496.595
62,501.339
63,505.370
64,508.272
65,518.738
66,520.818
67,525.814
68,526.460
69,529.078
70,533.845
71,536.593
72,540.789
73,546.661
74,546.910
75,551.915
76,552.364
77,555.675
78,557.108
79,564.645
80,574.008
81,579.535
82,587.952
83,593.740
84,597.717
85,609.722
86,613.772
87,624.273
88,648.148
89,661.830
90,677.293
91,683.839
92,693.858
93,708.681
94,734.637
95,742.781
96,805.341
97,846.607
98,1035.598
99,1200.340
100,1452.401
