starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 23 20:26:20 2016	1461443180	1	259	260	241
Sat Apr 23 20:26:48 2016	1461443208	1	264	265	242
Sat Apr 23 20:26:42 2016	1461443202	0	291	291	267
Sat Apr 23 20:26:28 2016	1461443188	0	292	292	285
Sat Apr 23 20:26:22 2016	1461443182	1	292	293	277
Sat Apr 23 20:26:33 2016	1461443193	0	295	296	278
Sat Apr 23 20:26:39 2016	1461443199	5	295	300	285
Sat Apr 23 20:26:35 2016	1461443195	0	309	310	300
Sat Apr 23 20:26:24 2016	1461443184	1	310	311	295
Sat Apr 23 20:26:35 2016	1461443195	0	312	313	298
Sat Apr 23 20:26:36 2016	1461443196	1	313	313	292
Sat Apr 23 20:26:35 2016	1461443195	0	314	314	286
Sat Apr 23 20:26:34 2016	1461443194	1	316	317	296
Sat Apr 23 20:26:20 2016	1461443180	1	316	317	293
Sat Apr 23 20:26:46 2016	1461443206	1	317	318	299
Sat Apr 23 20:26:40 2016	1461443200	0	319	319	298
Sat Apr 23 20:26:28 2016	1461443188	1	320	321	295
Sat Apr 23 20:26:31 2016	1461443191	0	323	324	288
Sat Apr 23 20:26:44 2016	1461443204	1	323	324	270
Sat Apr 23 20:26:38 2016	1461443198	1	326	326	275
Sat Apr 23 20:26:36 2016	1461443196	1	326	327	311
Sat Apr 23 20:26:35 2016	1461443195	1	328	328	286
Sat Apr 23 20:26:49 2016	1461443209	0	330	330	298
Sat Apr 23 20:26:36 2016	1461443196	0	333	333	308
Sat Apr 23 20:26:40 2016	1461443200	0	333	333	324
Sat Apr 23 20:26:36 2016	1461443196	0	335	336	315
Sat Apr 23 20:26:22 2016	1461443182	1	335	336	299
Sat Apr 23 20:26:27 2016	1461443187	1	335	336	309
Sat Apr 23 20:26:20 2016	1461443180	1	336	336	320
Sat Apr 23 20:26:36 2016	1461443196	1	336	337	306
Sat Apr 23 20:26:49 2016	1461443209	0	336	337	318
Sat Apr 23 20:26:45 2016	1461443205	1	341	342	331
Sat Apr 23 20:26:43 2016	1461443203	1	342	343	325
Sat Apr 23 20:26:24 2016	1461443184	0	342	343	326
Sat Apr 23 20:26:23 2016	1461443183	0	348	348	333
Sat Apr 23 20:26:42 2016	1461443202	1	349	349	319
Sat Apr 23 20:26:31 2016	1461443191	1	349	350	328
Sat Apr 23 20:26:45 2016	1461443205	0	351	352	342
Sat Apr 23 20:26:24 2016	1461443184	3	350	353	323
Sat Apr 23 20:26:30 2016	1461443190	3	351	354	330
Sat Apr 23 20:26:23 2016	1461443183	0	355	355	338
Sat Apr 23 20:26:31 2016	1461443191	1	355	356	342
Sat Apr 23 20:26:45 2016	1461443205	1	361	362	344
Sat Apr 23 20:26:33 2016	1461443193	0	363	363	353
Sat Apr 23 20:26:21 2016	1461443181	0	364	364	354
Sat Apr 23 20:26:40 2016	1461443200	3	362	364	350
Sat Apr 23 20:26:40 2016	1461443200	0	366	366	359
Sat Apr 23 20:26:44 2016	1461443204	0	366	367	354
Sat Apr 23 20:26:47 2016	1461443207	1	370	371	340
Sat Apr 23 20:26:29 2016	1461443189	1	373	374	351
Sat Apr 23 20:26:22 2016	1461443182	0	374	374	341
Sat Apr 23 20:26:34 2016	1461443194	1	374	375	357
Sat Apr 23 20:26:35 2016	1461443195	1	378	379	342
Sat Apr 23 20:26:28 2016	1461443188	0	380	380	354
Sat Apr 23 20:26:24 2016	1461443184	0	380	381	357
Sat Apr 23 20:26:44 2016	1461443204	0	384	384	367
Sat Apr 23 20:26:31 2016	1461443191	1	384	384	358
Sat Apr 23 20:26:22 2016	1461443182	0	384	385	372
Sat Apr 23 20:26:21 2016	1461443181	1	384	385	370
Sat Apr 23 20:26:43 2016	1461443203	1	384	385	332
Sat Apr 23 20:26:36 2016	1461443196	0	386	387	356
Sat Apr 23 20:26:39 2016	1461443199	0	387	387	344
Sat Apr 23 20:26:35 2016	1461443195	0	387	387	375
Sat Apr 23 20:26:39 2016	1461443199	1	388	388	378
Sat Apr 23 20:26:23 2016	1461443183	1	389	390	340
Sat Apr 23 20:26:34 2016	1461443194	0	390	390	357
Sat Apr 23 20:26:34 2016	1461443194	0	392	393	365
Sat Apr 23 20:26:28 2016	1461443188	0	393	393	380
Sat Apr 23 20:26:34 2016	1461443194	1	392	393	375
Sat Apr 23 20:26:29 2016	1461443189	1	393	393	356
Sat Apr 23 20:26:45 2016	1461443205	1	393	394	381
Sat Apr 23 20:26:25 2016	1461443185	1	395	395	373
Sat Apr 23 20:26:32 2016	1461443192	0	396	396	371
Sat Apr 23 20:26:32 2016	1461443192	1	395	396	338
Sat Apr 23 20:26:27 2016	1461443187	1	396	397	378
Sat Apr 23 20:26:33 2016	1461443193	2	395	397	362
Sat Apr 23 20:26:31 2016	1461443191	1	398	398	382
Sat Apr 23 20:26:32 2016	1461443192	1	402	402	380
Sat Apr 23 20:26:39 2016	1461443199	1	402	403	376
Sat Apr 23 20:26:46 2016	1461443206	1	404	405	308
Sat Apr 23 20:26:31 2016	1461443191	0	407	407	362
Sat Apr 23 20:26:29 2016	1461443189	1	408	409	392
Sat Apr 23 20:26:33 2016	1461443193	0	409	409	390
Sat Apr 23 20:26:26 2016	1461443186	1	409	409	365
Sat Apr 23 20:26:21 2016	1461443181	1	409	410	388
Sat Apr 23 20:26:20 2016	1461443180	19	393	411	354
Sat Apr 23 20:26:35 2016	1461443195	1	411	412	389
Sat Apr 23 20:26:35 2016	1461443195	0	412	412	340
Sat Apr 23 20:26:21 2016	1461443181	1	413	413	389
Sat Apr 23 20:26:33 2016	1461443193	0	414	414	401
Sat Apr 23 20:26:26 2016	1461443186	0	414	414	404
Sat Apr 23 20:26:23 2016	1461443183	1	414	415	346
Sat Apr 23 20:26:38 2016	1461443198	10	405	415	387
Sat Apr 23 20:26:31 2016	1461443191	1	414	415	386
Sat Apr 23 20:26:21 2016	1461443181	1	415	415	402
Sat Apr 23 20:26:38 2016	1461443198	0	415	415	404
Sat Apr 23 20:26:22 2016	1461443182	0	417	418	392
Sat Apr 23 20:26:26 2016	1461443186	0	418	418	406
Sat Apr 23 20:26:23 2016	1461443183	0	418	419	354
Sat Apr 23 20:26:41 2016	1461443201	1	422	422	411
Sat Apr 23 20:26:49 2016	1461443209	2	421	423	398
Sat Apr 23 20:26:38 2016	1461443198	0	423	424	412
Sat Apr 23 20:26:21 2016	1461443181	0	424	424	402
Sat Apr 23 20:26:26 2016	1461443186	1	426	426	404
Sat Apr 23 20:26:28 2016	1461443188	1	426	427	394
Sat Apr 23 20:26:46 2016	1461443206	0	427	428	415
Sat Apr 23 20:26:23 2016	1461443183	1	428	429	396
Sat Apr 23 20:26:49 2016	1461443209	1	428	429	418
Sat Apr 23 20:26:25 2016	1461443185	1	428	429	410
Sat Apr 23 20:26:26 2016	1461443186	0	431	432	419
Sat Apr 23 20:26:24 2016	1461443184	1	432	432	418
Sat Apr 23 20:26:34 2016	1461443194	2	435	437	357
Sat Apr 23 20:26:37 2016	1461443197	2	435	437	410
Sat Apr 23 20:26:36 2016	1461443196	0	437	438	419
Sat Apr 23 20:26:35 2016	1461443195	0	439	440	406
Sat Apr 23 20:26:24 2016	1461443184	1	440	440	410
Sat Apr 23 20:26:27 2016	1461443187	0	440	440	420
Sat Apr 23 20:26:26 2016	1461443186	0	440	441	403
Sat Apr 23 20:26:33 2016	1461443193	1	440	441	397
Sat Apr 23 20:26:36 2016	1461443196	0	441	442	406
Sat Apr 23 20:26:27 2016	1461443187	1	441	442	394
Sat Apr 23 20:26:47 2016	1461443207	0	442	442	431
Sat Apr 23 20:26:44 2016	1461443204	1	443	444	426
Sat Apr 23 20:26:31 2016	1461443191	0	444	444	434
Sat Apr 23 20:26:34 2016	1461443194	1	443	444	418
Sat Apr 23 20:26:26 2016	1461443186	0	445	445	426
Sat Apr 23 20:26:40 2016	1461443200	6	440	446	417
Sat Apr 23 20:26:45 2016	1461443205	0	446	446	432
Sat Apr 23 20:26:31 2016	1461443191	1	452	453	432
Sat Apr 23 20:26:33 2016	1461443193	0	453	453	415
Sat Apr 23 20:26:43 2016	1461443203	0	454	455	445
Sat Apr 23 20:26:26 2016	1461443186	1	454	455	386
Sat Apr 23 20:26:20 2016	1461443180	57	399	456	386
Sat Apr 23 20:26:25 2016	1461443185	0	457	458	444
Sat Apr 23 20:26:33 2016	1461443193	0	461	461	440
Sat Apr 23 20:26:37 2016	1461443197	1	461	462	449
Sat Apr 23 20:26:27 2016	1461443187	0	462	463	443
Sat Apr 23 20:26:29 2016	1461443189	0	465	465	430
Sat Apr 23 20:26:24 2016	1461443184	1	465	466	420
Sat Apr 23 20:26:33 2016	1461443193	0	469	469	454
Sat Apr 23 20:26:27 2016	1461443187	0	472	473	464
Sat Apr 23 20:26:32 2016	1461443192	1	472	473	451
Sat Apr 23 20:26:22 2016	1461443182	1	476	477	459
Sat Apr 23 20:26:41 2016	1461443201	0	478	478	466
Sat Apr 23 20:26:28 2016	1461443188	1	481	481	472
Sat Apr 23 20:26:30 2016	1461443190	1	483	484	470
Sat Apr 23 20:26:37 2016	1461443197	1	484	485	470
Sat Apr 23 20:26:47 2016	1461443207	0	488	489	476
Sat Apr 23 20:26:39 2016	1461443199	0	491	491	474
Sat Apr 23 20:26:45 2016	1461443205	1	492	492	476
Sat Apr 23 20:26:25 2016	1461443185	1	494	494	479
Sat Apr 23 20:26:29 2016	1461443189	1	494	495	442
Sat Apr 23 20:26:28 2016	1461443188	1	494	495	428
Sat Apr 23 20:26:27 2016	1461443187	1	495	497	478
Sat Apr 23 20:26:47 2016	1461443207	26	474	500	445
Sat Apr 23 20:26:25 2016	1461443185	10	491	501	460
Sat Apr 23 20:26:43 2016	1461443203	0	502	503	485
Sat Apr 23 20:26:30 2016	1461443190	0	505	505	495
Sat Apr 23 20:26:39 2016	1461443199	1	505	505	467
Sat Apr 23 20:26:20 2016	1461443180	66	442	507	414
Sat Apr 23 20:26:34 2016	1461443194	1	507	508	484
Sat Apr 23 20:26:46 2016	1461443206	1	510	511	483
Sat Apr 23 20:26:38 2016	1461443198	28	488	516	457
Sat Apr 23 20:26:22 2016	1461443182	0	518	519	508
Sat Apr 23 20:26:28 2016	1461443188	0	520	520	515
Sat Apr 23 20:26:41 2016	1461443201	1	520	521	486
Sat Apr 23 20:26:49 2016	1461443209	0	522	522	500
Sat Apr 23 20:26:40 2016	1461443200	0	524	524	501
Sat Apr 23 20:26:41 2016	1461443201	0	525	526	512
Sat Apr 23 20:26:37 2016	1461443197	1	525	526	500
Sat Apr 23 20:26:37 2016	1461443197	0	526	526	519
Sat Apr 23 20:26:22 2016	1461443182	0	527	527	506
Sat Apr 23 20:26:26 2016	1461443186	1	527	527	513
Sat Apr 23 20:26:37 2016	1461443197	0	529	529	512
Sat Apr 23 20:26:41 2016	1461443201	1	529	531	313
