Percentage served,Time in ms
0,420.381
1,483.221
2,501.125
3,533.684
4,546.819
5,556.167
6,563.032
7,569.140
8,579.407
9,580.799
10,584.674
11,594.807
12,595.992
13,607.290
14,607.615
15,614.572
16,620.398
17,624.510
18,626.876
19,629.628
20,633.590
21,638.979
22,645.157
23,647.199
24,650.644
25,654.095
26,656.856
27,665.940
28,666.802
29,670.258
30,677.212
31,680.593
32,681.162
33,681.640
34,685.355
35,689.746
36,691.516
37,694.463
38,694.568
39,698.817
40,703.715
41,707.717
42,709.307
43,711.471
44,713.062
45,721.655
46,724.000
47,724.231
48,727.800
49,730.122
50,730.866
51,731.866
52,735.328
53,740.268
54,745.188
55,748.375
56,749.989
57,750.412
58,750.548
59,751.776
60,752.951
61,753.998
62,757.785
63,760.476
64,761.824
65,765.515
66,769.176
67,772.930
68,775.715
69,778.316
70,778.967
71,781.526
72,785.286
73,790.979
74,793.608
75,800.723
76,804.576
77,809.338
78,811.859
79,823.431
80,825.353
81,835.859
82,842.549
83,859.106
84,865.717
85,870.482
86,883.106
87,907.040
88,911.544
89,919.216
90,921.719
91,951.070
92,973.501
93,996.098
94,1011.865
95,1064.244
96,1102.968
97,1190.041
98,1252.196
99,1349.962
100,1832.731
