starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 23 20:29:28 2016	1461443368	0	420	420	398
Sat Apr 23 20:28:51 2016	1461443331	0	473	473	457
Sat Apr 23 20:29:13 2016	1461443353	0	474	474	463
Sat Apr 23 20:29:12 2016	1461443352	1	483	483	423
Sat Apr 23 20:29:31 2016	1461443371	1	483	483	449
Sat Apr 23 20:28:48 2016	1461443328	0	501	501	462
Sat Apr 23 20:28:47 2016	1461443327	1	514	515	494
Sat Apr 23 20:29:29 2016	1461443369	0	517	517	505
Sat Apr 23 20:28:51 2016	1461443331	2	532	534	507
Sat Apr 23 20:28:51 2016	1461443331	1	540	541	509
Sat Apr 23 20:29:10 2016	1461443350	0	546	547	518
Sat Apr 23 20:29:13 2016	1461443353	0	549	550	539
Sat Apr 23 20:28:55 2016	1461443335	1	549	550	539
Sat Apr 23 20:29:26 2016	1461443366	0	556	556	549
Sat Apr 23 20:29:20 2016	1461443360	0	559	559	523
Sat Apr 23 20:29:01 2016	1461443341	1	562	563	546
Sat Apr 23 20:28:59 2016	1461443339	0	567	567	555
Sat Apr 23 20:28:58 2016	1461443338	2	567	569	543
Sat Apr 23 20:28:54 2016	1461443334	0	569	569	521
Sat Apr 23 20:28:57 2016	1461443337	0	570	571	558
Sat Apr 23 20:29:19 2016	1461443359	0	579	579	560
Sat Apr 23 20:28:59 2016	1461443339	1	579	580	536
Sat Apr 23 20:29:07 2016	1461443347	0	580	580	566
Sat Apr 23 20:29:18 2016	1461443358	0	580	581	517
Sat Apr 23 20:29:20 2016	1461443360	0	583	584	574
Sat Apr 23 20:29:23 2016	1461443363	0	584	585	570
Sat Apr 23 20:28:46 2016	1461443326	4	588	592	546
Sat Apr 23 20:29:12 2016	1461443352	0	592	592	583
Sat Apr 23 20:29:18 2016	1461443358	1	594	595	574
Sat Apr 23 20:28:47 2016	1461443327	1	595	596	548
Sat Apr 23 20:28:45 2016	1461443325	0	596	596	575
Sat Apr 23 20:29:03 2016	1461443343	1	602	602	560
Sat Apr 23 20:29:10 2016	1461443350	8	598	606	546
Sat Apr 23 20:29:28 2016	1461443368	0	607	607	585
Sat Apr 23 20:28:45 2016	1461443325	30	577	607	564
Sat Apr 23 20:29:19 2016	1461443359	0	607	608	587
Sat Apr 23 20:29:24 2016	1461443364	0	611	611	596
Sat Apr 23 20:29:23 2016	1461443363	0	611	612	587
Sat Apr 23 20:28:50 2016	1461443330	1	614	615	596
Sat Apr 23 20:29:29 2016	1461443369	0	617	618	584
Sat Apr 23 20:29:18 2016	1461443358	0	620	620	598
Sat Apr 23 20:29:30 2016	1461443370	0	620	621	602
Sat Apr 23 20:29:14 2016	1461443354	0	622	622	600
Sat Apr 23 20:29:17 2016	1461443357	1	623	625	576
Sat Apr 23 20:29:11 2016	1461443351	0	626	626	607
Sat Apr 23 20:29:24 2016	1461443364	0	627	627	613
Sat Apr 23 20:29:16 2016	1461443356	0	628	629	618
Sat Apr 23 20:29:17 2016	1461443357	4	625	629	583
Sat Apr 23 20:28:57 2016	1461443337	0	629	630	608
Sat Apr 23 20:28:56 2016	1461443336	1	632	633	554
Sat Apr 23 20:29:07 2016	1461443347	1	633	634	615
Sat Apr 23 20:29:00 2016	1461443340	0	633	634	580
Sat Apr 23 20:29:17 2016	1461443357	0	637	637	622
Sat Apr 23 20:29:16 2016	1461443356	0	639	639	629
Sat Apr 23 20:28:47 2016	1461443327	1	639	640	562
Sat Apr 23 20:29:16 2016	1461443356	1	645	645	587
Sat Apr 23 20:29:05 2016	1461443345	0	645	645	629
Sat Apr 23 20:29:31 2016	1461443371	0	647	647	599
Sat Apr 23 20:29:04 2016	1461443344	0	647	647	629
Sat Apr 23 20:29:10 2016	1461443350	0	649	650	626
Sat Apr 23 20:28:50 2016	1461443330	4	646	651	619
Sat Apr 23 20:28:50 2016	1461443330	1	650	651	604
Sat Apr 23 20:28:49 2016	1461443329	0	653	654	637
Sat Apr 23 20:29:05 2016	1461443345	0	654	654	645
Sat Apr 23 20:29:09 2016	1461443349	0	655	656	605
Sat Apr 23 20:29:22 2016	1461443362	6	650	657	629
Sat Apr 23 20:29:12 2016	1461443352	0	658	658	643
Sat Apr 23 20:28:55 2016	1461443335	1	658	659	635
Sat Apr 23 20:29:04 2016	1461443344	0	666	666	636
Sat Apr 23 20:29:08 2016	1461443348	1	666	666	559
Sat Apr 23 20:28:58 2016	1461443338	1	666	667	645
Sat Apr 23 20:29:20 2016	1461443360	1	666	667	647
Sat Apr 23 20:29:28 2016	1461443368	1	667	667	636
Sat Apr 23 20:29:10 2016	1461443350	1	669	670	650
Sat Apr 23 20:29:30 2016	1461443370	0	672	673	658
Sat Apr 23 20:29:25 2016	1461443365	0	677	677	667
Sat Apr 23 20:29:14 2016	1461443354	1	679	680	660
Sat Apr 23 20:29:26 2016	1461443366	0	680	680	668
Sat Apr 23 20:29:15 2016	1461443355	3	678	681	643
Sat Apr 23 20:29:14 2016	1461443354	0	680	681	657
