Percentage served,Time in ms
0,173.289
1,234.441
2,238.677
3,252.809
4,257.161
5,264.157
6,265.258
7,266.632
8,268.846
9,271.488
10,276.429
11,279.919
12,282.181
13,285.108
14,286.184
15,290.248
16,293.816
17,303.350
18,304.347
19,306.132
20,309.081
21,310.359
22,311.172
23,312.086
24,314.688
25,315.618
26,318.082
27,319.016
28,320.923
29,322.233
30,323.725
31,325.041
32,327.996
33,331.207
34,331.491
35,332.450
36,333.318
37,335.119
38,335.794
39,337.555
40,338.258
41,340.717
42,340.881
43,341.464
44,342.277
45,343.719
46,344.630
47,348.053
48,350.598
49,351.877
50,352.243
51,354.724
52,357.126
53,358.409
54,358.927
55,359.073
56,359.712
57,361.301
58,362.207
59,362.772
60,365.387
61,366.594
62,367.244
63,368.880
64,370.495
65,372.326
66,374.044
67,380.273
68,381.672
69,384.226
70,385.576
71,388.009
72,388.941
73,394.102
74,395.361
75,396.636
76,397.292
77,400.448
78,402.153
79,405.809
80,409.663
81,420.254
82,423.796
83,427.571
84,429.432
85,436.400
86,438.499
87,447.163
88,449.241
89,455.576
90,468.475
91,500.677
92,529.281
93,545.535
94,573.430
95,593.787
96,606.498
97,672.587
98,707.294
99,768.322
100,873.527
